Majority.protein.IDs	Gene.names	Razor.unique.peptides	lfq.hdlbp1.dox1	lfq.ctrl2.nodox2	lfq.hdlbp2.dox2	lfq.ctrl3.nodox3	lfq.hdlbp3.dox3	enrichment1	enrichment2	enrichment3	enriched.yes.no	mean_enrichment	mean_lfq
P35268	RPL22	2	5841700000	1398600000	5883800000	377820000	3174200000	4.17681967681968	4.20692120692121	8.40135514266053	enr	5.59503200880047	4966566666.66667
P49411	TUFM	22	6907600000	3224500000	5513300000	818930000	2.028e+09	2.14222360055823	1.70981547526748	2.47640213449257	NA	2.10948040343943	4816300000
Q12931	TRAP1	33	6771200000	2.102e+09	4942600000	824220000	1.766e+09	3.22131303520457	2.35137963843958	2.14263182160103	NA	2.57177483174839	4493266666.66667
P62280	RPS11	11	5752100000	3.415e+09	5571600000	952760000	1618800000	1.68436310395315	1.63150805270864	1.6990637726185	NA	1.67164497642676	4314166666.66667
P62753	RPS6	9	6136300000	2564600000	4711300000	408230000	2001900000	2.39269281759339	1.83705061218124	4.90385321999853	NA	3.04453221659105	4283166666.66667
P46778	RPL21	8	6191500000	2543200000	5779100000	462130000	866330000	2.43453129915068	2.27237338785782	1.87464566247593	NA	2.19385011649481	4278976666.66667
P61313	RPL15	16	5196300000	2608600000	5115200000	2793700000	2384500000	1.99198803956145	1.96089856628076	0.853527579911945	NA	1.60213806191805	4.232e+09
P55010	EIF5	16	4246900000	49012000	5487900000	14933000	2872800000	86.650208112299	111.970537827471	192.379294180674	enr	130.333346706814	4202533333.33333
Q15366-6;Q15366-3;Q15366;Q15366-2;Q15366-4;Q15366-5	PCBP2	15	5449900000	1.794e+09	4555500000	891530000	2451700000	3.03784838350056	2.53929765886288	2.74999158749565	NA	2.77571254328636	4152366666.66667
P61247	RPS3A	16	4048200000	1143500000	5877400000	0	2252800000	3.54018364669873	5.13983384346305	NA	enr	NA	4059466666.66667
P54886-2;P54886	ALDH18A1	36	5567800000	2232200000	4475500000	951910000	1982500000	2.49431054565003	2.00497267269958	2.08265487283462	NA	2.19397936372808	4008600000
Q9Y230	RUVBL2	27	5616600000	276540000	5178300000	54471000	1174100000	20.3102625298329	18.725320026036	21.5545886802152	enr	20.1967237453614	3989666666.66667
P62244	RPS15A	7	5741700000	1.742e+09	5074400000	390630000	1031600000	3.29603903559127	2.91297359357061	2.64086219696388	NA	2.94995827537525	3949233333.33333
P62917	RPL8	10	3196700000	2447500000	4.3e+09	1870200000	4038100000	1.30610827374872	1.75689479060266	2.1591808362742	NA	1.74072796687519	3844933333.33333
O96024	B3GALT4	1	0	3.8321e+10	1.1384e+10	274770000	0	0	0.297069491923488	0	NA	0.0990231639744961	3794666666.66667
P62081	RPS7	11	5709100000	1.443e+09	3770500000	523650000	1644500000	3.95641025641026	2.61295911295911	3.14045641172539	NA	3.23660859369825	3708033333.33333
P63261;P60709	ACTG1;ACTB	20	4761100000	2776800000	4286800000	947920000	1801300000	1.71459953903774	1.54379141457793	1.90026584521901	NA	1.71955226627823	3616400000
P50991;P50991-2	CCT4	22	4580700000	1692600000	4611700000	546720000	1473200000	2.70630981921305	2.72462483752806	2.69461515949663	NA	2.70851660541258	3555200000
Q9H6J7-2;Q9H6J7;Q9H6J7-4	C11orf49	10	4718600000	84796000	4199800000	0	1680700000	55.6464927590924	49.5282796358319	NA	enr	NA	3533033333.33333
P62263	RPS14	8	4425200000	2114100000	4161900000	795780000	1.658e+09	2.09318386074452	1.96863913722151	2.08349041192289	NA	2.04843780329631	3415033333.33333
Q13283	G3BP1	19	4260100000	169450000	4081700000	43497000	1785200000	25.1407494836235	24.0879315432281	41.0419109363864	enr	30.0901973210793	3375666666.66667
Q9Y265;Q9Y265-2	RUVBL1	22	4863700000	216670000	4298900000	0	911700000	22.4475008076799	19.8407716804357	NA	enr	NA	3358100000
P13639	EEF2	32	3111600000	1405500000	4282800000	450190000	2295900000	2.21387406616862	3.04717182497332	5.09984673138008	NA	3.45363087417401	3230100000
P62829	RPL23	6	4333300000	1.768e+09	4254300000	1684400000	1068200000	2.45096153846154	2.40627828054299	0.634172405604369	NA	1.8304707415363	3218600000
P46060	RANGAP1	26	3565500000	306780000	4.325e+09	0	1556600000	11.622335223939	14.0980507203859	NA	enr	NA	3149033333.33333
P84077;P61204	ARF1;ARF3	12	4654400000	1.875e+09	3970700000	690900000	742470000	2.48234666666667	2.11770666666667	1.07464177160226	NA	1.89156503497853	3122523333.33333
P40429	RPL13A	10	3407200000	2549600000	4.714e+09	760240000	1.219e+09	1.336366488861	1.84891747725133	1.6034410186257	NA	1.59624166157934	3113400000
P61254	RPL26	11	3007600000	2065900000	3492900000	3307800000	2813600000	1.45583038869258	1.69074011326783	0.850595562004958	NA	1.33238868798845	3104700000
P55060-3;P55060	CSE1L	22	3289500000	1854600000	3721500000	0	2099700000	1.77369783241669	2.00663215787771	NA	NA	NA	3036900000
P60866;P60866-2	RPS20	4	2914200000	1047300000	3235100000	355700000	2904300000	2.78258378688055	3.08899073808842	8.16502670789992	NA	4.67886707762296	3017866666.66667
P33993;P33993-3;P33993-2	MCM7	36	4047200000	1996700000	3.605e+09	882330000	1331400000	2.02694445835629	1.80547904041669	1.50895923294006	NA	1.78046091057101	2994533333.33333
Q92616	GCN1L1	95	4377600000	965390000	3532800000	97101000	1059300000	4.53454044479433	3.65945369229016	10.9092594309018	enr	6.36775118932878	2989900000
P36542;P36542-2	ATP5C1	11	4410600000	1305100000	3600600000	356680000	957600000	3.37951114857099	2.75886905217991	2.68475944824493	NA	2.94104654966528	2989600000
P06493;P06493-2	CDK1	20	3620800000	1763600000	3533700000	647730000	1711800000	2.05307325924246	2.00368564300295	2.64276781992497	NA	2.23317557405679	2955433333.33333
P62701	RPS4X	15	3503100000	3523900000	3652100000	1405200000	1.484e+09	0.994097448849286	1.03638014699623	1.05607742670083	NA	1.02885167418211	2879733333.33333
Q96BY7	ATG2B	63	3616200000	0	3319300000	0	1589700000	NA	NA	NA	enr	NA	2841733333.33333
P83731	RPL24	4	3296500000	1.554e+09	3728500000	650650000	1.413e+09	2.12129987129987	2.39929214929215	2.17167447936679	NA	2.23075549998627	2812666666.66667
P12270	TPR	46	4633800000	56664000	3708300000	0	49422000	81.7767894959763	65.4436679373147	NA	NA	NA	2797174000
P63244	GNB2L1	13	3714500000	1302200000	3140800000	750510000	1476800000	2.85248041775457	2.41191829212103	1.96772861121104	NA	2.41070910702888	2777366666.66667
Q8TEQ6	GEMIN5	39	4207200000	47143000	2901300000	8809000	1123100000	89.2433659291942	61.5425407801795	127.49460778749	enr	92.7601714989546	2743866666.66667
O14654	IRS4	32	4.25e+09	1312500000	2872700000	338220000	1e+09	3.23809523809524	2.18872380952381	2.95665543137603	NA	2.79449149299836	2707566666.66667
P36578	RPL4	13	2680400000	3077800000	3440300000	1433500000	1.964e+09	0.870881798687374	1.11777893300409	1.37007324729683	NA	1.1195779929961	2694900000
Q9Y277;Q9Y277-2	VDAC3	9	3806600000	1391900000	2925700000	612980000	1348900000	2.73482290394425	2.10194697894964	2.2005611928611	NA	2.34577702525166	2693733333.33333
P27635	RPL10	7	3.284e+09	2388500000	3810500000	2.17e+09	958490000	1.37492149884865	1.59535273184007	0.441700460829493	NA	1.13732489717274	2684330000
P62266	RPS23	6	3912900000	2129500000	2.876e+09	961100000	1197200000	1.83747358534867	1.3505517727166	1.24565601914473	NA	1.47789379240333	2662033333.33333
Q9NZ01	TECR	11	3911300000	1337300000	2824100000	1023600000	942510000	2.9247737979511	2.11179241755777	0.920779601406799	NA	1.98578193897189	2559303333.33333
P18124	RPL7	14	2686100000	2360200000	3987500000	689230000	992960000	1.13808151851538	1.68947546818066	1.44068017933056	NA	1.42274572200887	2555520000
P18077	RPL35A	8	3.807e+09	2675200000	3372900000	399230000	360450000	1.4230711722488	1.26080293062201	0.902863011296746	NA	1.19557903805585	2513450000
Q92997	DVL3	14	3074400000	79492000	2796100000	0	1521900000	38.6755899964776	35.174608765662	NA	enr	NA	2464133333.33333
P49368;P49368-2	CCT3	28	2860300000	1745800000	2819800000	728680000	1702600000	1.63838927712224	1.61519074349868	2.33655376845803	NA	1.86337792969298	2460900000
Q9H6S0	YTHDC2	44	3512600000	246350000	2928800000	29365000	938140000	14.2585751978892	11.8887761315202	31.9475566150179	enr	19.3649693148091	2459846666.66667
Q99878;Q96KK5;Q9BTM1;P20671;P0C0S8;Q9BTM1-2;Q93077;Q7L7L0;P04908	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AD;HIST1H2AG;HIST1H2AC;HIST3H2A;HIST1H2AB	6	2427300000	2249400000	2008200000	1328400000	2853200000	1.07908775673513	0.892771405708189	2.1478470340259	NA	1.37323539882307	2429566666.66667
P62750	RPL23A	10	2438400000	1567200000	3004500000	1313900000	1824100000	1.55589586523737	1.91711332312404	1.3883096126037	NA	1.6204396003217	2422333333.33333
P26641	EEF1G	17	2890100000	1325700000	3119500000	483630000	1217400000	2.18005581956702	2.35309647733273	2.51721357235903	NA	2.3501219564196	2.409e+09
O00148	DDX39A	15	3109500000	1618200000	2942700000	634910000	1062700000	1.92157953281424	1.81850203930293	1.67378053582398	NA	1.80462070264705	2371633333.33333
P45880-2;P45880;P45880-1	VDAC2	11	3567900000	780810000	2414700000	368810000	1107600000	4.56948553425289	3.0925577285127	3.00317236517448	enr	3.55507187598002	2363400000
Q9UHB9;Q9UHB9-2	SRP68	28	3295200000	0	2982900000	0	770020000	NA	NA	NA	enr	NA	2349373333.33333
P06576	ATP5B	24	2919300000	1680600000	2988500000	404310000	1091800000	1.73705819350232	1.77823396406045	2.70040315599416	NA	2.07189843785231	2333200000
Q00839-2;Q00839	HNRNPU	20	2752700000	1826800000	2287800000	927990000	1953900000	1.50684256623604	1.2523538427852	2.1055183784308	NA	1.62157159581735	2331466666.66667
P49792	RANBP2	73	3575100000	269380000	2380200000	48063000	1032900000	13.2715866062811	8.83584527433366	21.4905436614444	enr	14.5326585140197	2329400000
Q14145	KEAP1	18	2877700000	42767000	3182700000	0	915890000	67.2878621366942	74.4195290761568	NA	enr	NA	2325430000
O43242	PSMD3	34	2719100000	1544200000	2782800000	399180000	1385100000	1.76084704053879	1.80209817381168	3.46986321960018	NA	2.34426947798355	2295666666.66667
P46779;P46779-2;P46779-3	RPL28	9	3411300000	1859200000	2909100000	1427600000	516270000	1.83482142857143	1.56470524956971	0.361634911739983	NA	1.25372052996037	2278890000
Q9NZI8;Q9NZI8-2	IGF2BP1	24	3030500000	949470000	2671100000	347620000	1127500000	3.19178067764121	2.81325370996451	3.24348426442667	NA	3.08283955067746	2276366666.66667
P17812	CTPS1	19	2.621e+09	612080000	2863600000	218520000	1342900000	4.28211998431578	4.67847340216965	6.14543291231924	enr	5.03534209960155	2275833333.33333
O60573	EIF4E2	13	3.835e+09	52691000	2728500000	21851000	186520000	72.7828281869769	51.783036951282	8.53599377602856	enr	44.3672863047625	2250006666.66667
O00763;O00763-2	ACACB	70	3918100000	4.408e+09	2281600000	1803700000	544560000	0.888861161524501	0.517604355716878	0.301912734933747	NA	0.569459417391709	2248086666.66667
P68371	TUBB4B	5	2991100000	1216700000	2162200000	505960000	1424400000	2.45837100353415	1.77710199720556	2.81524231164519	NA	2.35023843746163	2192566666.66667
Q07020	RPL18	7	1848700000	2.312e+09	3220400000	1171300000	1437300000	0.799610726643599	1.39290657439446	1.2270980961325	NA	1.13987179905685	2168800000
P62847-2;P62847-3;P62847;P62847-4	RPS24	5	2642500000	969570000	2330100000	619730000	1508200000	2.72543498664356	2.40323029796714	2.43364045632776	NA	2.52076858031282	2160266666.66667
P26373;P26373-2	RPL13	9	1942100000	1152600000	2872500000	717920000	1479500000	1.68497310428596	2.49219156689224	2.06081457544016	NA	2.07932641553946	2098033333.33333
Q06830	PRDX1	13	2491800000	3841900000	2478700000	1309300000	1314700000	0.648585335380931	0.645175564173976	1.00412434125105	NA	0.765961746935319	2095066666.66667
O75663;O75663-2	TIPRL	13	1.954e+09	73632000	2439100000	0	1870500000	26.5373750543242	33.1255432420687	NA	enr	NA	2087866666.66667
Q14739	LBR	13	2930400000	902790000	2289300000	209360000	1027300000	3.24593759346027	2.53580566909248	4.90685899885365	NA	3.5628674204688	2082333333.33333
P35232	PHB	18	2657200000	1005700000	2418800000	320990000	1019800000	2.6421398031222	2.40509098140599	3.17704601389451	NA	2.74142559947423	2031933333.33333
Q8IZH2-2;Q8IZH2	XRN1	42	2641100000	0	2383600000	16466000	951600000	NA	NA	57.7918134337423	enr	NA	1992100000
Q00325-2;Q00325	SLC25A3	13	2575300000	1148100000	1770900000	548660000	1600300000	2.24309729117673	1.54246145806114	2.91674260926621	NA	2.23410045283469	1982166666.66667
P46109	CRKL	17	1.753e+09	505450000	2226600000	388200000	1923600000	3.46819665644475	4.40518349985162	4.95517774343122	enr	4.27618596657586	1967733333.33333
Q9Y2J2-2;Q9Y2J2;Q9Y2J2-3	EPB41L3	34	2573100000	31034000	2596800000	19115000	717150000	82.9122897467294	83.6759682928401	37.517656290871	enr	68.0353047768135	1962350000
O14641	DVL2	24	3079800000	339410000	2173800000	161120000	632140000	9.0739813205268	6.40464335169854	3.92341112214498	enr	6.46734526479011	1961913333.33333
Q9H425;Q9H425-2	C1orf198	10	1651400000	0	2.95e+09	0	1261800000	NA	NA	NA	enr	NA	1954400000
Q02978	SLC25A11	17	2881500000	883580000	2071700000	362430000	876990000	3.26116480680866	2.34466601779126	2.41975002069365	NA	2.67519361509786	1943396666.66667
Q7Z2W4;Q7Z2W4-2	ZC3HAV1	35	2194800000	23724000	2.561e+09	0	878240000	92.5139099645928	107.949755521834	NA	enr	NA	1878013333.33333
P23528	CFL1	8	2584600000	1126900000	2198400000	293660000	842830000	2.29354867335167	1.95083858372526	2.87008785670503	NA	2.37149170459399	1875276666.66667
Q96HS1;Q96HS1-2	PGAM5	15	2385500000	330940000	2228900000	20234000	927230000	7.20825527285913	6.73505771438932	45.8253434812692	enr	19.9228854895059	1847210000
P62249	RPS16	11	2293800000	2206800000	2205500000	679070000	990480000	1.03942359978249	0.999410911727388	1.45858306212909	NA	1.16580585787966	1829926666.66667
P48643	CCT5	25	2381100000	1181500000	2151400000	499060000	953640000	2.0153195090986	1.82090562843843	1.91087244018755	NA	1.91569919257486	1828713333.33333
Q86T24	ZBTB33	20	2.34e+09	62965000	1900900000	0	1207900000	37.1635035337092	30.1897879774478	NA	enr	NA	1816266666.66667
Q14008;Q14008-3;Q14008-2	CKAP5	63	2774800000	212420000	2099400000	0	462530000	13.0628001129837	9.88325016476791	NA	enr	NA	1778910000
P37802	TAGLN2	11	1147400000	156310000	1631400000	0	2555800000	7.34054123216685	10.4369522103512	NA	enr	NA	1778200000
Q96HC4;Q96HC4-4	PDLIM5	17	1.514e+09	27178000	2551800000	0	1253100000	55.7068216940172	93.8921186253587	NA	enr	NA	1772966666.66667
