chr1	start1	stop1	cluster_id1	tc_rep1	strand	uniq_reads1	ccr1	chr2	start2	stop2	cluster_id2	tc_rep2	uniq_reads2	ccr2	overlap_nt	gene	region
chr1	985811	985971	CID_485465	40	+	52	985901	chr1	985880	985971	CID_335255	19	27	985898	91	AGRN	CDS
chr1	986634	986746	CID_485470	51	+	69	986690	chr1	986633	986746	CID_335258	34	54	986690	112	AGRN	CDS
chr1	987106	987191	CID_485473	25	+	47	987143	chr1	987117	987191	CID_335261	42	69	987138	74	AGRN	CDS
chr1	988966	988992	CID_485481	6	+	6	988967	chr1	988966	988992	CID_335268	5	6	988967	26	AGRN	CDS
chr1	990426	990503	CID_485494	11	+	17	990433	chr1	990428	990467	CID_335278	6	8	990433	39	RP11-54O7.14	UTR3
chr1	1021269	1021389	CID_485581	12	-	26	1021291	chr1	1021269	1021386	CID_335369	5	9	1021291	117	C1orf159	CDS
chr1	1153847	1154014	CID_485875	55	-	65	1153879	chr1	1153858	1154013	CID_335592	30	48	1153880	155	SDF4	CDS
chr1	1154146	1154309	CID_485877	66	-	89	1154177	chr1	1154149	1154280	CID_335593	43	58	1154177	131	SDF4	CDS
chr1	1158630	1158736	CID_485888	33	-	43	1158658	chr1	1158627	1158736	CID_335607	28	34	1158658	106	SDF4	CDS
chr1	1164038	1164164	CID_485903	91	-	119	1164046	chr1	1164037	1164165	CID_335622	41	51	1164046	126	SDF4	CDS
chr1	1192633	1192654	CID_486029	6	-	7	1192650	chr1	1192633	1192654	CID_335715	6	7	1192650	21	UBE2J2	CDS
chr1	1254730	1254770	CID_486260	12	-	14	1254745	chr1	1254703	1254767	CID_335878	6	7	1254745	37	CPSF3L	UTR5
chr1	1254782	1254841	CID_486261	11	-	17	1254806	chr1	1254782	1254828	CID_335879	6	11	1254806	46	CPSF3L	UTR5
chr1	1255825	1255930	CID_486267	70	-	98	1255892	chr1	1255834	1255911	CID_335884	50	79	1255892	77	CPSF3L	UTR5
chr1	1309553	1309650	CID_486472	10	-	12	1309570	chr1	1309561	1309615	CID_336014	5	8	1309570	54	AURKAIP1	CDS
chr1	1477301	1477527	CID_486908	63	-	94	1477403	chr1	1477286	1477523	CID_336315	44	64	1477396	222	SSU72	stop
chr1	1479296	1479335	CID_486917	9	-	15	1479309	chr1	1479261	1479335	CID_336318	12	13	1479315	39	SSU72	CDS
chr1	1480321	1480381	CID_486920	15	-	17	1480342	chr1	1480321	1480366	CID_336320	6	9	1480342	45	SSU72	CDS
chr1	1509897	1509968	CID_486982	12	-	18	1509950	chr1	1509858	1509968	CID_336369	10	12	1509950	71	SSU72	start
chr1	1602948	1603005	CID_487259	9	-	14	1602981	chr1	1602948	1603005	CID_336567	11	12	1602981	57	SLC35E2B	CDS
chr1	1650855	1650880	CID_487401	9	-	11	1650873	chr1	1650855	1650880	CID_336658	3	6	1650873	25	RP1-283E3.8	CDS
chr1	1685516	1685585	CID_487527	6	-	8	1685545	chr1	1685516	1685596	CID_336756	3	7	1685545	69	NADK	CDS
chr1	1687718	1687755	CID_487539	9	-	9	1687745	chr1	1687721	1687755	CID_336767	4	5	1687745	34	NADK	CDS
chr1	1716817	1716991	CID_487598	201	-	231	1716884	chr1	1716832	1716971	CID_336812	138	153	1716884	139	GNB1	UTR3
chr1	1717323	1717432	CID_487603	19	-	23	1717344	chr1	1717335	1717409	CID_336819	12	13	1717350	74	GNB1	UTR3
chr1	1717572	1717613	CID_487606	4	-	6	1717598	chr1	1717572	1717613	CID_336823	6	12	1717598	41	GNB1	UTR3
chr1	1717961	1718103	CID_487610	42	-	52	1718017	chr1	1717960	1718037	CID_336828	25	34	1718010	76	GNB1	UTR3
chr1	1718782	1718899	CID_487618	36	-	42	1718823	chr1	1718760	1718858	CID_336838	23	33	1718829	76	GNB1	CDS
chr1	1735858	1736020	CID_487641	106	-	142	1735988	chr1	1735851	1736022	CID_336854	86	125	1735985	162	GNB1	CDS
chr1	1737914	1737984	CID_487645	10	-	14	1737936	chr1	1737914	1737984	CID_336856	7	16	1737941	70	GNB1	CDS
chr1	1747195	1747301	CID_487653	46	-	67	1747263	chr1	1747196	1747301	CID_336859	25	46	1747263	105	GNB1	CDS
chr1	2239176	2239215	CID_488592	84	+	91	2239192	chr1	2239176	2239215	CID_337581	33	37	2239192	39	SKI	UTR3
chr1	2330851	2330953	CID_488831	151	+	186	2330886	chr1	2330851	2330953	CID_337755	105	135	2330886	102	RER1	CDS
chr1	2334607	2334643	CID_488845	9	+	10	2334621	chr1	2334582	2334646	CID_337768	9	13	2334621	36	RER1	UTR3
chr1	2452167	2452227	CID_489190	21	-	32	2452198	chr1	2452167	2452227	CID_338016	9	15	2452195	60	PANK4	CDS
chr1	3712426	3712493	CID_491628	5	-	11	3712447	chr1	3712426	3712470	CID_339812	2	5	3712447	44	LRRC47	CDS
chr1	6246318	6246419	CID_494496	54	-	73	6246351	chr1	6246315	6246419	CID_341883	49	65	6246352	101	RPL22	UTR3
chr1	6257711	6257816	CID_494513	12	-	20	6257807	chr1	6257711	6257816	CID_341893	20	24	6257807	105	RPL22	start
chr1	6284996	6285080	CID_494604	17	-	23	6285057	chr1	6284983	6285121	CID_341955	10	15	6285052	84	ICMT	UTR3
chr1	6293534	6293702	CID_494617	188	-	273	6293625	chr1	6293534	6293703	CID_341963	61	96	6293621	168	ICMT	CDS
chr1	6294945	6295034	CID_494619	35	-	47	6294999	chr1	6294946	6295023	CID_341965	12	15	6294999	77	ICMT	CDS
chr1	6295764	6295852	CID_494621	20	-	30	6295801	chr1	6295777	6295849	CID_341966	15	17	6295794	72	ICMT	CDS
chr1	6314970	6315011	CID_494709	46	-	58	6314984	chr1	6314970	6315016	CID_342028	26	29	6314984	41	GPR153	UTR5
chr1	6324435	6324518	CID_494726	15	-	25	6324464	chr1	6324461	6324518	CID_342050	2	5	6324468	57	ACOT7	UTR3
chr1	6324629	6324656	CID_494728	10	-	14	6324634	chr1	6324629	6324662	CID_342054	3	11	6324630	27	ACOT7	stop
chr1	6589165	6589230	CID_495142	44	-	63	6589201	chr1	6589165	6589231	CID_342400	25	41	6589201	65	NOL9	CDS
chr1	6674078	6674151	CID_495311	5	+	10	6674132	chr1	6674112	6674166	CID_342529	2	6	6674132	39	PHF13	start
chr1	6694395	6694452	CID_495396	16	-	17	6694442	chr1	6694395	6694478	CID_342581	5	5	6694442	57	DNAJC11	UTR3
chr1	6700066	6700108	CID_495416	19	-	28	6700076	chr1	6700072	6700098	CID_342595	16	20	6700076	26	DNAJC11	CDS
chr1	6931825	6931900	CID_495640	22	+	47	6931875	chr1	6931825	6931900	CID_342777	13	31	6931875	75	CAMTA1	stop
chr1	7486168	7486189	CID_496249	2	+	128	7486171	chr1	7486166	7486189	CID_343239	2	121	7486171	21	CAMTA1	CDS
chr1	8037713	8037741	CID_496962	7	+	7	8037730	chr1	8037712	8037741	CID_343733	4	5	8037730	28	PARK7	CDS
chr1	8044952	8045032	CID_496971	32	+	41	8045002	chr1	8044990	8045043	CID_343744	7	8	8045001	42	PARK7	CDS
chr1	8045122	8045265	CID_496973	29	+	31	8045174	chr1	8045117	8045206	CID_343746	14	20	8045174	84	PARK7	UTR3
chr1	8045277	8045314	CID_496974	5	+	7	8045285	chr1	8045268	8045314	CID_343748	5	5	8045287	37	PARK7	UTR3
chr1	8418275	8418329	CID_497393	9	-	15	8418299	chr1	8418275	8418330	CID_343995	5	8	8418298	54	RERE	CDS
chr1	8921065	8921486	CID_497850	223	-	301	8921456	chr1	8921065	8921467	CID_344343	142	202	8921456	402	ENO1	stop
chr1	8922946	8923057	CID_497851	36	-	47	8922977	chr1	8922946	8923048	CID_344344	29	36	8922977	102	ENO1	CDS
chr1	8923294	8923401	CID_497853	133	-	183	8923335	chr1	8923294	8923399	CID_344345	110	141	8923327	105	ENO1	CDS
chr1	8923949	8924149	CID_497857	352	-	493	8924051	chr1	8923949	8924143	CID_344346	259	351	8924051	194	ENO1	CDS
chr1	8925344	8925540	CID_497858	309	-	395	8925477	chr1	8925344	8925544	CID_344347	187	249	8925477	196	ENO1	CDS
chr1	8926336	8926583	CID_497859	205	-	272	8926542	chr1	8926337	8926560	CID_344348	146	189	8926546	223	ENO1	CDS
chr1	8927173	8927304	CID_497861	319	-	392	8927209	chr1	8927173	8927304	CID_344351	248	298	8927209	131	ENO1	CDS
chr1	8930511	8930567	CID_497872	32	-	53	8930531	chr1	8930511	8930566	CID_344357	24	41	8930531	55	ENO1	CDS
chr1	8931950	8932045	CID_497875	32	-	59	8931974	chr1	8931950	8932046	CID_344361	27	47	8931974	95	ENO1	CDS
chr1	9305217	9305271	CID_498323	1	+	6	9305239	chr1	9305226	9305264	CID_344690	2	5	9305248	38	H6PD	CDS
chr1	9305354	9305441	CID_498325	8	+	16	9305416	chr1	9305396	9305441	CID_344691	8	12	9305423	45	H6PD	CDS
chr1	9305488	9305621	CID_498327	22	+	22	9305533	chr1	9305488	9305578	CID_344692	11	16	9305533	90	H6PD	CDS
chr1	9323565	9323668	CID_498357	11	+	29	9323582	chr1	9323568	9323688	CID_344720	11	17	9323591	100	H6PD	CDS
chr1	9324211	9324254	CID_498364	10	+	11	9324246	chr1	9324205	9324282	CID_344728	4	7	9324239	43	H6PD	CDS
chr1	9661163	9661313	CID_498826	25	+	50	9661241	chr1	9661163	9661264	CID_345036	5	9	9661234	101	TMEM201	CDS
chr1	9669898	9669969	CID_498862	11	+	14	9669941	chr1	9669898	9669963	CID_345057	8	9	9669947	65	TMEM201	CDS
chr1	9789199	9789300	CID_499056	15	-	17	9789259	chr1	9789226	9789279	CID_345193	3	5	9789253	53	CLSTN1	UTR3
chr1	9789487	9789539	CID_499059	8	-	12	9789492	chr1	9789487	9789539	CID_345197	6	7	9789495	52	CLSTN1	UTR3
chr1	9790630	9790702	CID_499074	4	-	10	9790682	chr1	9790635	9790709	CID_345215	1	9	9790682	67	CLSTN1	CDS
chr1	9791264	9791454	CID_499079	173	-	250	9791384	chr1	9791265	9791445	CID_345217	122	175	9791384	180	CLSTN1	CDS
chr1	9791819	9791951	CID_499082	47	-	80	9791925	chr1	9791819	9791951	CID_345221	34	54	9791925	132	CLSTN1	CDS
chr1	9793453	9793604	CID_499083	75	-	98	9793491	chr1	9793456	9793608	CID_345223	40	57	9793491	148	CLSTN1	CDS
chr1	9795524	9795673	CID_499090	165	-	211	9795610	chr1	9795524	9795673	CID_345230	89	128	9795610	149	CLSTN1	CDS
chr1	9795943	9796099	CID_499093	358	-	469	9796045	chr1	9795946	9796099	CID_345232	177	256	9796045	153	CLSTN1	CDS
chr1	9803951	9804078	CID_499106	224	-	322	9804042	chr1	9803948	9804063	CID_345241	127	198	9804042	112	CLSTN1	CDS
chr1	9804453	9804700	CID_499107	377	-	554	9804472	chr1	9804453	9804698	CID_345243	235	337	9804472	245	CLSTN1	CDS
chr1	9809516	9809699	CID_499110	106	-	157	9809637	chr1	9809581	9809704	CID_345248	77	110	9809643	118	CLSTN1	CDS
chr1	9809892	9809970	CID_499112	21	-	36	9809921	chr1	9809889	9809970	CID_345250	25	41	9809921	78	CLSTN1	CDS
chr1	9811531	9811708	CID_499116	189	-	248	9811658	chr1	9811534	9811717	CID_345252	108	143	9811658	174	CLSTN1	CDS
chr1	9815171	9815269	CID_499120	132	-	168	9815235	chr1	9815171	9815269	CID_345254	80	102	9815235	98	CLSTN1	CDS
chr1	10197154	10197263	CID_499542	20	+	29	10197208	chr1	10197154	10197233	CID_345561	11	15	10197206	79	UBE4B	CDS
chr1	10436740	10436837	CID_499800	12	+	13	10436759	chr1	10436751	10436837	CID_345715	5	6	10436759	86	KIF1B	UTR3
chr1	10459116	10459177	CID_499838	16	+	20	10459151	chr1	10459116	10459169	CID_345741	7	10	10459141	53	PGD	start
chr1	10459688	10459743	CID_499839	4	+	8	10459707	chr1	10459691	10459737	CID_345744	3	5	10459707	46	PGD	start
chr1	10473134	10473254	CID_499860	18	+	25	10473187	chr1	10473120	10473214	CID_345761	15	21	10473187	80	PGD	CDS
chr1	10477047	10477171	CID_499864	12	+	15	10477098	chr1	10477047	10477123	CID_345765	12	12	10477098	76	PGD	CDS
chr1	10477434	10477485	CID_499865	7	+	10	10477454	chr1	10477435	10477489	CID_345767	5	7	10477454	50	PGD	CDS
chr1	10477490	10477558	CID_499868	23	+	25	10477518	chr1	10477492	10477563	CID_345768	11	13	10477521	66	PGD	CDS
chr1	10478906	10478983	CID_499869	11	+	20	10478966	chr1	10478909	10478971	CID_345770	9	13	10478966	62	PGD	CDS
chr1	10479475	10479597	CID_499871	52	+	74	10479543	chr1	10479475	10479597	CID_345771	55	73	10479543	122	PGD	CDS
chr1	10479688	10479915	CID_499872	104	+	144	10479885	chr1	10479691	10479915	CID_345772	78	129	10479885	224	PGD	stop
chr1	10521429	10521505	CID_499956	6	-	10	10521459	chr1	10521429	10521529	CID_345825	7	14	10521456	76	DFFA	UTR3
chr1	10684399	10684446	CID_500143	2	+	17	10684426	chr1	10684399	10684446	CID_345961	2	6	10684417	47	PEX14	CDS
chr1	11073849	11073923	CID_500830	8	+	15	11073868	chr1	11073852	11073931	CID_346413	6	6	11073866	71	TARDBP	UTR5
chr1	11078813	11078862	CID_500836	18	+	26	11078825	chr1	11078808	11078862	CID_346422	7	11	11078826	49	TARDBP	CDS
chr1	11078900	11078930	CID_500837	21	+	30	11078923	chr1	11078889	11078930	CID_346423	11	17	11078923	30	TARDBP	CDS
chr1	11083046	11083090	CID_500858	14	+	15	11083076	chr1	11083046	11083127	CID_346442	6	10	11083076	44	TARDBP	UTR3
chr1	11114659	11114929	CID_500925	324	-	497	11114675	chr1	11114650	11114805	CID_346503	152	236	11114675	146	SRM	stop
chr1	11115063	11115141	CID_500928	22	-	25	11115130	chr1	11115023	11115135	CID_346505	19	23	11115131	72	SRM	CDS
chr1	11116660	11116808	CID_500937	37	-	46	11116769	chr1	11116716	11116816	CID_346515	22	28	11116769	92	SRM	CDS
chr1	11118862	11118943	CID_500942	18	-	21	11118925	chr1	11118854	11118943	CID_346517	11	12	11118925	81	SRM	CDS
chr1	11119286	11119435	CID_500945	30	-	35	11119312	chr1	11119286	11119402	CID_346518	13	16	11119304	116	SRM	CDS
chr1	11137449	11137491	CID_500984	6	-	9	11137458	chr1	11137446	11137491	CID_346550	4	7	11137458	42	EXOSC10	CDS
chr1	11140932	11140969	CID_500993	18	-	23	11140965	chr1	11140920	11140969	CID_346559	13	17	11140965	37	EXOSC10	CDS
chr1	11142758	11142847	CID_500998	27	-	32	11142816	chr1	11142774	11142847	CID_346561	9	13	11142812	73	EXOSC10	CDS
chr1	11147865	11147951	CID_501002	20	-	37	11147933	chr1	11147887	11147951	CID_346566	13	25	11147929	64	EXOSC10	CDS
chr1	11148212	11148250	CID_501004	17	-	22	11148218	chr1	11148209	11148254	CID_346569	14	17	11148218	38	EXOSC10	CDS
chr1	11151071	11151139	CID_501007	9	-	18	11151108	chr1	11151092	11151139	CID_346572	17	28	11151106	47	EXOSC10	CDS
chr1	11158114	11158143	CID_501014	5	-	5	11158138	chr1	11158114	11158143	CID_346578	5	9	11158137	29	EXOSC10	CDS
chr1	11303259	11303312	CID_501170	2	-	5	11303261	chr1	11303257	11303357	CID_346725	2	5	11303257	53	MTOR	CDS
chr1	11345702	11345759	CID_501230	29	+	60	11345749	chr1	11345715	11345766	CID_346774	4	11	11345745	44	UBIAD1	CDS
chr1	11734693	11734761	CID_501744	12	-	19	11734739	chr1	11734693	11734761	CID_347196	13	14	11734739	68	MAD2L2	UTR3
chr1	11735139	11735230	CID_501748	19	-	24	11735186	chr1	11735151	11735230	CID_347200	17	20	11735186	79	MAD2L2	CDS
chr1	11807508	11807588	CID_501862	7	+	8	11807510	chr1	11807508	11807591	CID_347292	4	7	11807510	80	AGTRAP	CDS
chr1	11808487	11808645	CID_501864	51	+	89	11808523	chr1	11808470	11808643	CID_347296	22	43	11808528	156	AGTRAP	CDS
chr1	11888528	11888590	CID_501995	3	+	5	11888542	chr1	11888538	11888584	CID_347380	3	8	11888552	46	CLCN6	CDS
chr1	11893988	11894082	CID_502002	5	+	5	11893991	chr1	11893964	11894040	CID_347389	3	5	11893989	52	CLCN6	UTR3
chr1	11980071	11980115	CID_502129	30	-	39	11980080	chr1	11980053	11980109	CID_347483	16	23	11980080	38	KIAA2013	UTR3
chr1	11982734	11982836	CID_502140	43	-	69	11982751	chr1	11982734	11982836	CID_347488	13	23	11982757	102	KIAA2013	CDS
chr1	11985385	11985447	CID_502150	7	-	12	11985410	chr1	11985390	11985429	CID_347499	4	7	11985410	39	KIAA2013	CDS
chr1	12010457	12010578	CID_502200	25	+	33	12010536	chr1	12010448	12010567	CID_347540	14	20	12010536	110	PLOD1	CDS
chr1	12014886	12014953	CID_502205	58	+	88	12014925	chr1	12014870	12014951	CID_347545	32	51	12014925	65	PLOD1	CDS
chr1	12016974	12017073	CID_502207	30	+	52	12017052	chr1	12016977	12017071	CID_347547	19	35	12017042	94	PLOD1	CDS
chr1	12017899	12017998	CID_502210	38	+	67	12017910	chr1	12017899	12017979	CID_347549	20	37	12017910	80	PLOD1	CDS
chr1	12023591	12023694	CID_502215	25	+	35	12023625	chr1	12023591	12023688	CID_347553	17	27	12023625	97	PLOD1	CDS
chr1	12025534	12025640	CID_502222	103	+	161	12025570	chr1	12025534	12025640	CID_347560	57	94	12025570	106	PLOD1	CDS
chr1	12027044	12027148	CID_502230	56	+	66	12027064	chr1	12027044	12027148	CID_347565	25	38	12027064	104	PLOD1	CDS
chr1	12032928	12033035	CID_502237	51	+	100	12033009	chr1	12032939	12033035	CID_347574	25	44	12033003	96	PLOD1	CDS
chr1	12632769	12632885	CID_502965	42	-	76	12632786	chr1	12632762	12632885	CID_348126	7	20	12632786	116	DHRS3	CDS
chr1	12638799	12638973	CID_502967	44	-	59	12638850	chr1	12638826	12638953	CID_348130	9	15	12638850	127	DHRS3	CDS
chr1	12639321	12639437	CID_502970	37	-	55	12639342	chr1	12639321	12639387	CID_348131	11	14	12639342	66	DHRS3	CDS
chr1	13936893	13936939	CID_503790	4	+	5	13936913	chr1	13936893	13936939	CID_348755	2	6	13936912	46	PDPN	CDS
chr1	13940812	13940860	CID_503795	8	+	10	13940838	chr1	13940823	13940883	CID_348760	3	5	13940838	37	PDPN	CDS
chr1	13942419	13942563	CID_503798	37	+	51	13942471	chr1	13942420	13942563	CID_348763	14	27	13942471	143	PDPN	UTR3
chr1	14107372	14107528	CID_503972	5	+	14	14107390	chr1	14107372	14107479	CID_348878	2	5	14107394	107	PRDM2	CDS
chr1	15863103	15863149	CID_505678	19	+	29	15863117	chr1	15863103	15863150	CID_350155	8	10	15863111	46	DNAJC16	CDS
chr1	15870961	15871023	CID_505691	33	+	45	15870995	chr1	15870961	15871013	CID_350164	8	13	15870995	52	DNAJC16	CDS
chr1	16046340	16046378	CID_505925	10	+	15	16046357	chr1	16046340	16046394	CID_350328	6	16	16046348	38	PLEKHM2	CDS
chr1	16460966	16461055	CID_506585	24	-	30	16461034	chr1	16460966	16461056	CID_350797	8	10	16461041	89	EPHA2	CDS
chr1	16475188	16475259	CID_506615	3	-	6	16475229	chr1	16475195	16475248	CID_350825	5	5	16475228	53	EPHA2	CDS
chr1	17301774	17301837	CID_507677	26	-	33	17301798	chr1	17301784	17301824	CID_351603	19	22	17301798	40	MFAP2	CDS
chr1	17303215	17303287	CID_507679	7	-	12	17303219	chr1	17303215	17303254	CID_351608	5	5	17303222	39	MFAP2	CDS
chr1	17303392	17303418	CID_507680	4	-	8	17303401	chr1	17303392	17303418	CID_351610	3	6	17303403	26	MFAP2	CDS
chr1	17312636	17312719	CID_507702	8	-	12	17312660	chr1	17312585	17312713	CID_351629	15	20	17312660	77	ATP13A2	stop
chr1	17318573	17318624	CID_507727	9	-	10	17318589	chr1	17318524	17318624	CID_351647	9	11	17318589	51	ATP13A2	CDS
chr1	17318786	17318893	CID_507729	35	-	51	17318849	chr1	17318810	17318878	CID_351649	29	39	17318849	68	ATP13A2	CDS
chr1	17319017	17319061	CID_507731	11	-	12	17319026	chr1	17319017	17319070	CID_351651	8	12	17319026	44	ATP13A2	CDS
chr1	17322726	17322800	CID_507742	13	-	24	17322768	chr1	17322744	17322797	CID_351658	17	28	17322764	53	ATP13A2	CDS
chr1	17326904	17327015	CID_507756	126	-	178	17326935	chr1	17326904	17327031	CID_351669	122	180	17326935	111	ATP13A2	CDS
chr1	17349103	17349194	CID_507793	68	-	81	17349146	chr1	17349103	17349182	CID_351713	41	58	17349146	79	SDHB	CDS
chr1	17354303	17354336	CID_507801	8	-	13	17354329	chr1	17354310	17354359	CID_351722	9	17	17354329	26	SDHB	CDS
chr1	17355094	17355230	CID_507803	172	-	251	17355135	chr1	17355115	17355230	CID_351724	100	155	17355135	115	SDHB	CDS
chr1	17359562	17359600	CID_507804	51	-	60	17359580	chr1	17359562	17359600	CID_351725	19	23	17359575	38	SDHB	CDS
chr1	17733436	17733487	CID_508237	9	-	10	17733462	chr1	17733436	17733487	CID_352046	6	6	17733462	51	RCC2	UTR3
chr1	17735507	17735660	CID_508268	38	-	72	17735552	chr1	17735523	17735608	CID_352071	10	28	17735552	85	RCC2	stop
chr1	17766041	17766107	CID_508366	94	-	133	17766069	chr1	17766041	17766100	CID_352139	41	61	17766066	59	RCC2	UTR5
chr1	18704865	18704898	CID_509491	6	+	8	18704870	chr1	18704860	18704898	CID_352970	6	11	18704871	33	IGSF21	UTR3
chr1	19482100	19482143	CID_510578	13	-	15	19482115	chr1	19482100	19482148	CID_353743	12	18	19482115	43	UBR4	CDS
chr1	19493660	19493709	CID_510611	2	-	5	19493671	chr1	19493660	19493696	CID_353768	3	6	19493668	36	UBR4	CDS
chr1	19499947	19499995	CID_510622	3	-	5	19499957	chr1	19499940	19500003	CID_353777	2	5	19499963	48	UBR4	CDS
chr1	19503960	19504035	CID_510630	6	-	14	19504009	chr1	19503972	19504086	CID_353786	12	17	19504005	63	UBR4	CDS
chr1	19510308	19510369	CID_510643	7	-	9	19510335	chr1	19510328	19510363	CID_353796	4	6	19510330	35	UBR4	CDS
chr1	19523646	19523760	CID_510660	30	-	57	19523686	chr1	19523671	19523745	CID_353814	31	52	19523677	74	UBR4	CDS
chr1	19524198	19524267	CID_510662	18	-	24	19524216	chr1	19524186	19524275	CID_353815	17	18	19524216	69	UBR4	CDS
chr1	19543680	19543726	CID_510700	7	-	8	19543693	chr1	19543680	19543726	CID_353845	5	5	19543689	46	EMC1	UTR3
chr1	19546063	19546195	CID_510725	40	-	51	19546135	chr1	19546063	19546143	CID_353863	19	29	19546135	80	EMC1	CDS
chr1	19547258	19547342	CID_510727	110	-	153	19547315	chr1	19547268	19547343	CID_353865	89	117	19547316	74	EMC1	CDS
chr1	19549890	19550057	CID_510730	110	-	158	19549995	chr1	19549890	19550061	CID_353872	69	98	19549994	167	EMC1	CDS
chr1	19557338	19557457	CID_510740	128	-	159	19557351	chr1	19557338	19557456	CID_353878	72	100	19557351	118	EMC1	CDS
chr1	19559115	19559267	CID_510742	217	-	299	19559157	chr1	19559127	19559267	CID_353880	121	169	19559157	140	EMC1	CDS
chr1	19559511	19559629	CID_510744	76	-	119	19559569	chr1	19559511	19559632	CID_353882	48	95	19559569	118	EMC1	CDS
chr1	19561624	19561747	CID_510747	34	-	49	19561637	chr1	19561624	19561747	CID_353885	20	24	19561638	123	EMC1	CDS
chr1	19563637	19563733	CID_510750	50	-	70	19563694	chr1	19563643	19563729	CID_353887	37	50	19563694	86	EMC1	CDS
chr1	19564514	19564633	CID_510752	110	-	165	19564597	chr1	19564521	19564633	CID_353890	73	108	19564597	112	EMC1	CDS
chr1	19565296	19565343	CID_510755	30	-	36	19565319	chr1	19565296	19565347	CID_353891	18	21	19565323	47	EMC1	CDS
chr1	19565725	19565782	CID_510756	14	-	18	19565730	chr1	19565725	19565796	CID_353893	11	13	19565730	57	EMC1	CDS
chr1	19566312	19566479	CID_510758	189	-	248	19566391	chr1	19566311	19566482	CID_353894	120	160	19566391	167	EMC1	CDS
chr1	19567513	19567634	CID_510763	138	-	173	19567564	chr1	19567510	19567634	CID_353897	66	94	19567564	121	EMC1	CDS
chr1	19568839	19568970	CID_510766	90	-	143	19568894	chr1	19568839	19568970	CID_353899	41	70	19568894	131	EMC1	CDS
chr1	19571404	19571521	CID_510770	41	-	56	19571477	chr1	19571445	19571510	CID_353904	21	25	19571479	65	EMC1	CDS
chr1	19582448	19582533	CID_510786	21	+	37	19582480	chr1	19582448	19582498	CID_353916	7	9	19582487	50	MRTO4	CDS
chr1	19634968	19635085	CID_510909	29	-	32	19635019	chr1	19634968	19635044	CID_354023	16	18	19635019	76	AKR7A2	CDS
chr1	19651149	19651247	CID_510945	22	+	39	19651221	chr1	19651173	19651244	CID_354049	6	8	19651221	71	PQLC2	start
chr1	19665536	19665604	CID_510975	6	-	7	19665559	chr1	19665518	19665642	CID_354070	10	11	19665556	68	CAPZB	UTR3
