gene_id	Symbol	baseMean.tumor.KO.WT	log2FoldChange.tumor.KO.WT	padj.tumor.KO.WT	gene_biotype	reg_tumor	tpm.Tumor_HDLBP_KO_2	tpm.Tumor_HDLBP_KO_3	tpm.Tumor_HDLBP_KO_4	tpm.Tumor_HDLBP_KO_5	tpm.Tumor_WT_1	tpm.Tumor_WT_2	tpm.Tumor_WT_3	tpm.Tumor_WT_4	tpm.Tumor_WT_5	tpm.Tumor_WT_6	tpm.Tumor_WT_7	tpm.Tumor_WT_8
ENSG00000112837.12	TBX18	848.984631389461	-2.48871874422646	4.80937462437196e-63	protein_coding	down_tumor	5.07	12.7	4.5	10.24	40.46	33.39	54.38	44.51	40.59	47.19	41.35	37.44
ENSG00000138449.6	SLC40A1	186.542395831404	-2.41285215153679	6.78581120526205e-38	protein_coding	down_tumor	1.38	2	3.11	2.29	11.73	14.5	11.26	13.62	11.66	12.27	12.35	10.39
ENSG00000214274.5	ANG	380.69795116922	-2.38457435548773	9.34705203165009e-09	protein_coding	down_tumor	4.11	43.28	18.89	36.57	90.27	144.48	121.42	102.53	137.12	94.72	140	76.36
ENSG00000165474.5	GJB2	135.988057806568	-2.37328173827465	6.08488216071192e-07	protein_coding	down_tumor	0.36	5.03	0.8	3.28	8.11	21.59	10.67	11.88	15.18	12.93	16.85	10.78
ENSG00000169031.14	COL4A3	468.894973600657	-2.35877556749693	2.25804593561551e-06	protein_coding	down_tumor	0.17	6.29	1.89	9.03	14.79	19.21	24.66	15.02	21.64	19.25	20.39	18.11
ENSG00000196352.9	CD55	3617.6456810914	-2.24431959156407	1.21827534808134e-09	protein_coding	down_tumor	18.18	117.86	36.52	134.24	306	478.19	419.17	425	524.55	367.31	598.4	377.63
ENSG00000197565.11	COL4A6	88.7666691490989	-2.20165472127449	1.1953167730987e-14	protein_coding	down_tumor	0.68	1.02	1.09	0.46	4.18	2.44	4.08	4.6	3.9	5.21	3.43	3.53
ENSG00000198478.6	SH3BGRL2	222.178396403582	-2.19862887902504	6.09151597811325e-17	protein_coding	down_tumor	1.21	3.37	1.45	1.78	8.47	15.31	11.03	8.64	11.05	9.16	11.74	8.84
ENSG00000073849.10	ST6GAL1	125.432821849295	-2.18470932557035	3.66221734799259e-15	protein_coding	down_tumor	0.51	2.45	1.96	1.79	5.63	9.2	10.17	6.51	8.61	6.52	8.12	4.88
ENSG00000258818.2	RNASE4	1451.68141570259	-2.14520950812074	1.75442072208076e-05	protein_coding	down_tumor	4.21	97.89	14.02	81.86	218.04	268.16	238.98	210.98	253.49	250.36	251.28	187.67
ENSG00000223572.5	CKMT1A	136.526684206082	-2.02655006904942	9.38497868045039e-11	protein_coding	down_tumor	1.03	6.03	3.7	4.21	15.01	23.47	23.72	18.31	16.34	12.35	23.14	11.37
ENSG00000223572.5	CKMT1A	136.526684206082	-2.02655006904942	9.38497868045039e-11	protein_coding	down_tumor	1.03	6.03	3.7	4.21	15.01	23.47	23.72	18.31	16.34	12.35	23.14	11.37
ENSG00000165929.8	TC2N	785.284544101194	-2.02547121922337	6.6830414009196e-10	protein_coding	down_tumor	2.95	18	7.43	11.98	39.68	58.01	61.84	41.64	58.41	42.14	56.51	36.9
ENSG00000273170.1	ANKRD18A	71.4802020244853	-2.00780833217711	0.000428419064184703	protein_coding	down_tumor	0.44	2.95	0	3.33	9.1	7.53	10.38	7.56	7.34	7.46	4.28	6.67
ENSG00000110492.11	MDK	167.734984034037	-1.99650764128763	1.76809563513698e-24	protein_coding	down_tumor	10.1	17.49	5.77	9.88	53.26	36.09	55.92	50.36	52.65	52.54	54.87	48.37
ENSG00000117114.15	LPHN2	217.401485878901	-1.99418390285993	2.54546060511965e-13	protein_coding	down_tumor	2.17	2.15	4.22	2.66	13.95	17.21	23.77	17.42	15.57	15.97	18.36	14.45
ENSG00000113231.9	PDE8B	209.584880317757	-1.98238791464686	2.61920808802857e-14	protein_coding	down_tumor	2.39	4.4	3.15	3.78	14.53	13.3	14.14	10.99	15.44	14.14	12.29	12.68
ENSG00000141639.7	MAPK4	427.515832728356	-1.95649743087193	4.89664253966512e-15	protein_coding	down_tumor	2.16	7.42	2.56	6.6	16.64	22.77	26.24	19.81	21.78	16.52	25.07	21.44
ENSG00000112715.16	VEGFA	1201.95009050905	-1.94492521692529	3.27813497531897e-06	protein_coding	down_tumor	5.57	33.72	8.96	38.63	59.99	111.61	107.24	62.64	126.08	108.37	118.37	65.42
ENSG00000181625.13	SLX1B	192.701491225023	-1.94065079823261	0.0945133922979264	protein_coding	down_tumor	0.22	39.1	6.08	8.65	29.14	87.5	40.8	19.29	69.22	68.22	96.59	2.86
ENSG00000162745.6	OLFML2B	206.76105978856	-1.94023652281117	3.38361753608251e-05	protein_coding	down_tumor	2.18	7.93	2.19	8.66	18.73	8.78	31.16	28.52	23.92	24.31	26.35	23.22
ENSG00000138640.10	FAM13A	687.063682675026	-1.92720481605137	3.19444088021362e-07	protein_coding	down_tumor	2.56	13.44	4.18	11.99	19.99	42.5	50.56	24.68	51.96	34.87	49.35	25.99
ENSG00000139832.3	RAB20	161.677006982829	-1.91403532964046	1.59693752932418e-17	protein_coding	down_tumor	6.51	5.57	3.24	5.21	20.53	21	23.91	23.82	28.08	28.76	23.92	18.94
ENSG00000198064.9	RP11-347C12.1	181.408763726603	-1.89583570132488	0.0379107838444713	protein_coding	down_tumor	1.18	10.71	0.29	21.09	30.01	36.84	45.51	35.63	38.93	39.49	45.63	29.37
ENSG00000107281.5	NPDC1	517.469951231598	-1.89469155421512	1.40983418965326e-10	protein_coding	down_tumor	8.77	29.42	14.54	32.68	58.53	138.14	85.38	66.21	94.05	89.71	100.39	76.46
ENSG00000188153.8	COL4A5	431.065231424655	-1.89070118616471	1.07840097501042e-06	protein_coding	down_tumor	3.94	5.76	2.3	8.33	33.87	20.12	30.59	27.75	26.49	29.59	27.77	37.89
ENSG00000119514.5	GALNT12	320.493896944655	-1.88942117435329	7.84434864817827e-05	protein_coding	down_tumor	0.67	11.96	2.09	11.32	25.69	35.59	30.74	25.09	34.7	27.86	30.41	26
ENSG00000128590.4	DNAJB9	255.085421828446	-1.88202688720773	1.19440021520967e-11	protein_coding	down_tumor	3.05	8.56	2.57	5.39	14.09	23.08	20.58	17.24	24.22	19.73	27.66	17.24
ENSG00000177283.4	FZD8	121.466471283411	-1.85480952249625	5.17857193514631e-19	protein_coding	down_tumor	1.34	2.43	1.9	1.98	6.64	8.59	8.41	10.68	7.36	8.41	6.7	9.21
ENSG00000112699.6	GMDS	456.035545435424	-1.84998666837152	7.14349775101458e-55	protein_coding	down_tumor	14.13	23.98	15.57	32.16	70.63	81.15	78.43	69.97	80.01	73.27	81.83	70.94
ENSG00000109586.7	GALNT7	1042.19370367527	-1.84581357425943	8.52520943920757e-15	protein_coding	down_tumor	9.91	20.73	8.13	17.79	46.46	51.88	61.76	49.3	56.77	56.2	54.27	46.88
ENSG00000111261.9	MANSC1	206.393264814146	-1.8007279342585	1.04093036269948e-16	protein_coding	down_tumor	2.33	8.49	2.75	5.82	18.39	18.03	18.47	20.45	18.84	19.74	25.17	18.89
ENSG00000128567.12	PODXL	239.800878884185	-1.78748827343843	1.20921742785634e-25	protein_coding	down_tumor	3.91	3.11	1.91	2.34	8.44	6.68	11.63	8.7	9.56	7.66	8.66	8.46
ENSG00000145703.11	IQGAP2	251.254886249998	-1.77862080657141	6.33855610798495e-37	protein_coding	down_tumor	2.42	5.3	3.69	3.22	21.21	19.73	24.65	19.47	19.73	23.57	21.92	20.96
ENSG00000153162.8	BMP6	268.359375742954	-1.76786479125237	4.68606940844316e-07	protein_coding	down_tumor	1.24	9.52	3.21	7.77	16.36	15.39	20.7	24.09	26.4	22.41	27.21	15.12
ENSG00000130821.11	SLC6A8	226.288294529943	-1.76718411769801	7.25450983306194e-09	protein_coding	down_tumor	4.44	4.4	5.66	4.26	9.76	23.07	18.82	10.9	25.47	11.95	20.8	10.79
ENSG00000134755.10	DSC2	241.076470901456	-1.75395355828788	1.49377367476428e-09	protein_coding	down_tumor	1.09	5.39	1.25	3.2	11.48	9.56	11	10.73	11.09	9.78	9.48	11.9
ENSG00000119888.6	EPCAM	1103.00285328407	-1.74916733154925	5.97503460088092e-05	protein_coding	down_tumor	6.79	82.65	13.19	53.09	142.39	155.81	163.33	142.62	174.64	142.1	156.57	137.35
ENSG00000176532.3	PRR15	415.125349723369	-1.73878920485857	3.00602316257688e-10	protein_coding	down_tumor	4.53	26.92	9.36	16.35	67.33	67.09	66.28	59.07	61.53	58.15	59.54	56.74
ENSG00000113369.4	ARRDC3	637.79340415763	-1.719533890683	2.36527119117797e-13	protein_coding	down_tumor	4	14.01	7.44	8.7	25.77	36.95	34.96	29.21	38.32	41	39.48	21.97
ENSG00000244187.3	TMEM141	983.700837517115	-1.71600608644455	4.27578512630083e-12	protein_coding	down_tumor	36.99	97.29	59.31	124.39	245	407.55	293.32	262.99	318.43	250.01	330.11	223.72
ENSG00000143153.8	ATP1B1	3495.37140173474	-1.71533160155191	7.52247550959978e-11	protein_coding	down_tumor	38.8	134.74	54.85	118.44	257.51	345.18	327.51	293.89	381.8	347.43	360.26	274.72
ENSG00000157214.9	STEAP2	398.750206713287	-1.71463032296091	4.7957150711408e-15	protein_coding	down_tumor	3.28	9.62	2.26	7.24	16.99	17.9	19.43	19.15	18.76	17.96	19.03	15.92
ENSG00000130762.10	ARHGEF16	268.817074898685	-1.69893780721384	1.11941838976536e-06	protein_coding	down_tumor	1.22	12.94	4.56	8.99	26.1	23.8	27.13	20.25	27.31	18.64	22.27	19.7
ENSG00000041982.10	TNC	256.340539874448	-1.69603323290531	0.000435693233146266	protein_coding	down_tumor	1.79	4.47	3.51	3.37	7.83	1.97	21.34	12.04	13.79	7.14	12.5	8.17
ENSG00000087245.8	MMP2	136.610348356916	-1.69312395124813	0.00359518515827679	protein_coding	down_tumor	8.01	4.94	4.45	3.93	15.7	6.61	40.04	24.99	23.29	14.26	29.85	9
ENSG00000120756.8	PLS1	552.2863287489	-1.69272557618967	3.64126161756274e-19	protein_coding	down_tumor	10.09	14.48	12.7	8.03	26.84	38.81	38.88	27.97	36.26	30.49	36.56	25.88
ENSG00000075142.9	SRI	894.363893865409	-1.67666524893649	4.90160617081188e-13	protein_coding	down_tumor	61.57	60.51	59.62	56.24	169.71	298.19	211.05	193.94	282.03	180.1	305.31	136.7
ENSG00000187239.12	FNBP1	474.78216053712	-1.66959711980238	3.46221680832108e-26	protein_coding	down_tumor	5.98	10.08	14.07	9.87	22.92	27.06	33.15	23.96	30.76	28.63	27.65	19.49
ENSG00000122026.6	RPL21	1330.57050887043	-1.66934994464893	4.97370134816122e-09	protein_coding	down_tumor	193.69	110.3	51.13	193.66	663.97	679.74	649.37	710.47	750.66	702.11	644.42	612.15
ENSG00000018236.10	CNTN1	1247.21256761485	-1.66853084184607	1.23537935501014e-19	protein_coding	down_tumor	16.24	20.65	12.34	13.66	46	49.29	58.51	55.64	49.56	47.24	49.61	41.72
ENSG00000237289.5	CKMT1B	161.510325518722	-1.66610868700687	1.10735791238001e-09	protein_coding	down_tumor	4.64	9.46	3.89	5.61	14.47	25.67	20.16	14.91	22.58	18.69	23.36	17.2
ENSG00000233024.3	RP11-1212A22.4	107.936098863569	-1.66524882804162	0.000438153419340052	protein_coding	down_tumor	6.74	8.43	7.67	1.89	23.4	21.9	29.23	17.02	25.54	27.86	23.07	12.73
ENSG00000123689.5	G0S2	9.90389308195866	-1.65986899784045	0.00696357241185568	protein_coding	down_tumor	0.98	1.2	0	0.52	2.32	1.31	3.72	3.82	2.2	2.14	2.15	2.66
ENSG00000185189.11	NRBP2	324.553233962095	-1.65469190912326	8.97290478808573e-07	protein_coding	down_tumor	3.03	9.04	3.3	9.26	20.82	19.06	34.6	16.36	29.28	24.63	22.46	15.08
ENSG00000175274.14	TP53I11	658.117925865724	-1.65341235856975	9.56557095509285e-14	protein_coding	down_tumor	8.28	16.13	10.59	16.33	36.1	54.56	57.55	43.31	50.56	34.87	59.3	33.27
ENSG00000197930.8	ERO1L	1531.51450709542	-1.65190690972919	8.2065728026907e-13	protein_coding	down_tumor	26.11	51.86	42.51	41.47	84.25	124.76	98.64	86.7	137.16	106.85	116.79	97.94
ENSG00000127418.10	FGFRL1	397.024039194815	-1.64817383360432	1.83558320705103e-14	protein_coding	down_tumor	3.53	11.22	5.24	10.5	25.6	20.33	34.16	24.78	33.75	27.66	29.91	23.97
ENSG00000057294.9	PKP2	211.54652225028	-1.64321418331627	1.58429710630817e-20	protein_coding	down_tumor	1.97	4.78	4.14	2.9	10.93	12.24	15.59	11.52	16.87	9.8	17.58	9.06
ENSG00000110080.14	ST3GAL4	595.628069229961	-1.63365964649631	1.91464493365802e-15	protein_coding	down_tumor	12.36	38.73	20.16	31.11	80.02	105.62	106.65	77.13	102.29	79.91	110.64	66.08
ENSG00000106537.7	TSPAN13	608.014391911913	-1.63341013719881	5.28142519023909e-06	protein_coding	down_tumor	5.2	34.1	6.98	25.67	55.21	70.28	61.39	63.49	58.62	62.54	64.79	60.67
ENSG00000214530.3	STARD10	523.05170392677	-1.61831811939027	6.29588243122992e-09	protein_coding	down_tumor	23.82	35.02	54.31	43.83	92.8	196.27	97.21	79.96	95.98	71.22	104.95	89.15
ENSG00000107902.9	LHPP	211.777935936075	-1.61443916958859	3.8407117606311e-12	protein_coding	down_tumor	5.34	9.09	12.41	12.4	23.93	40.03	35.42	26.35	33.18	24.89	36.83	22.61
ENSG00000106733.16	NMRK1	100.273999237211	-1.61182391580774	3.95513616672764e-07	protein_coding	down_tumor	2.88	7.54	3.29	8.74	15.41	22.52	16.86	16.55	19.96	21.68	23.59	14.89
ENSG00000242574.4	HLA-DMB	237.904213412676	-1.60876198490909	2.65269384548206e-05	protein_coding	down_tumor	4.69	29.95	7.16	28.83	55.4	57.89	37.4	43.85	38.86	27.12	55.57	31.39
ENSG00000172197.9	MBOAT1	176.617924190676	-1.60286918286712	1.02101471707313e-13	protein_coding	down_tumor	0.93	4.73	3.18	4.32	12.79	11.54	13.41	10.57	13.55	11.96	11.4	12.56
ENSG00000167306.14	MYO5B	209.783118599017	-1.60204198992593	8.52520943920757e-15	protein_coding	down_tumor	3.46	6.17	6.57	4.45	15.57	21.99	21.63	19.15	18.55	12.05	19.77	15.65
ENSG00000101187.11	SLCO4A1	175.22290698353	-1.60100972652078	1.10879686327475e-06	protein_coding	down_tumor	1.15	15.59	7.08	18.96	32.1	29.59	31.07	21.78	38.16	26.92	30.37	28.22
ENSG00000150687.7	PRSS23	1764.13184795717	-1.59461163844779	1.13302366591615e-24	protein_coding	down_tumor	70.54	55.43	55.17	44.5	158.29	187.9	226.5	222.84	210.3	183.88	220.08	148.63
ENSG00000168743.8	NPNT	224.309959718055	-1.59364013119188	0.0115491898582311	protein_coding	down_tumor	0.61	15.48	1.35	10.12	19.48	21.31	16.18	16.5	17.25	15.68	14.3	19.64
ENSG00000272617.1	RP11-343C2.12	46.8636748620639	-1.59046657268872	0.0525597984885609	protein_coding	down_tumor	0	6.17	0	8.1	10.87	14.26	14.25	13.06	11.91	8.82	5.54	14.52
ENSG00000148842.13	CNNM2	188.993520075424	-1.58308302923774	4.7957150711408e-15	protein_coding	down_tumor	1.57	2.31	2.01	2.51	5.45	7.37	12.77	8.42	8.96	8.15	6.63	4.03
ENSG00000122884.8	P4HA1	475.049999882819	-1.58071234855365	3.16340851340659e-08	protein_coding	down_tumor	6.37	16.94	6.7	15.88	24.79	35.94	41.69	29.72	48.09	40.86	50.3	26.62
ENSG00000157870.10	FAM213B	278.561270572919	-1.57962193482108	2.73306044155404e-17	protein_coding	down_tumor	14.09	7.24	10.61	6.47	22.17	24.64	32.4	26.4	25.29	16.28	30.21	19.72
ENSG00000178922.12	HYI	53.7736470425004	-1.57572276851527	3.95347619854958e-07	protein_coding	down_tumor	5.02	2.75	4.93	2.37	14.29	11.23	8.23	14.12	13.75	8.72	13.75	9.71
ENSG00000147813.11	NAPRT1	181.594458177879	-1.56058362607055	2.34956542480014e-13	protein_coding	down_tumor	8.18	11.85	10.73	15.24	38.36	31.42	35.25	42.12	39.79	33.27	32.39	40.27
ENSG00000143819.8	EPHX1	854.996037893869	-1.5574624945039	1.98499205051405e-20	protein_coding	down_tumor	37.1	27.71	33.56	31.05	108.55	103.35	131.47	125.45	111.79	109.37	118	90.72
ENSG00000120149.7	MSX2	102.715071711671	-1.55646759754462	3.18725249242998e-10	protein_coding	down_tumor	3	4.86	2.32	2.77	10.96	8.31	11.89	10.79	9.97	12.03	7.66	8.73
ENSG00000235162.4	C12orf75	973.285453550383	-1.54806263392714	4.80657394882068e-13	protein_coding	down_tumor	77.87	72.23	70.02	39.5	222.6	207.37	295.14	297.37	224.93	206.85	225.58	177.18
ENSG00000038427.11	VCAN	2519.41195521356	-1.54217066080022	4.60186735293992e-06	protein_coding	down_tumor	5.34	54.95	39.45	49.79	83.06	61.39	94.74	80.32	75.8	94.04	68.74	88.74
ENSG00000130193.7	THEM6	206.954075200581	-1.52425854300583	1.34735224125653e-17	protein_coding	down_tumor	5.51	5.63	4.92	6.2	14.66	18.29	19.62	21.43	22.01	16.88	23.98	17.83
ENSG00000047634.10	SCML1	171.383146276682	-1.51994349683346	6.92918640629562e-13	protein_coding	down_tumor	1.94	5.62	2.72	6.09	11.26	12.35	14.34	12.54	11.02	11.54	12.4	12.78
ENSG00000115414.14	FN1	2316.64660031285	-1.51939540194697	3.03078592337316e-15	protein_coding	down_tumor	32.62	54.34	20.63	37.19	195.75	125.36	230.79	244.48	213.17	207.01	251.47	138.2
ENSG00000141655.11	TNFRSF11A	99.6293141238462	-1.51785664878199	2.28919030750395e-07	protein_coding	down_tumor	0.35	1.69	1.55	1.31	4.63	7.93	5.54	3.89	5.86	5.36	5.82	4.03
ENSG00000133872.9	TMEM66	1693.46777371406	-1.50913271607449	8.86157217574181e-12	protein_coding	down_tumor	29.17	84.09	35.03	78.24	174.2	181.4	188.21	177.67	199.11	198.2	195.76	166.68
ENSG00000047346.8	FAM214A	294.734115684284	-1.50116600613996	1.31581215275955e-07	protein_coding	down_tumor	6.8	17.89	5.01	13.41	22.67	48.2	39.48	31.91	39.13	35.07	40.39	31.81
ENSG00000103089.4	FA2H	613.718714864972	-1.49913846253214	3.27473414382924e-06	protein_coding	down_tumor	5.67	31.45	9.9	28.59	51.74	65.98	63.93	49.85	62.7	47.36	57.57	47.9
ENSG00000164379.4	FOXQ1	242.171367502247	-1.48863905879956	0.000119114358454953	protein_coding	down_tumor	2.2	13.66	2.71	9.35	22.2	13.89	24.15	19.11	20.66	34.54	18.79	23.72
ENSG00000163513.13	TGFBR2	768.434917419168	-1.48764857930119	2.16582222310382e-24	protein_coding	down_tumor	9.63	13.27	9.83	8.07	32.46	32.62	36.32	40.09	34.69	35.19	37.27	29.45
ENSG00000059377.11	TBXAS1	97.6232818810214	-1.47756913347203	1.38923382702085e-10	protein_coding	down_tumor	5.58	3.83	5.42	5.59	12.24	11.64	12.86	13.08	11.38	12.07	14.26	14.51
ENSG00000079691.15	LRRC16A	221.277232976975	-1.47562362451045	1.75138847203909e-20	protein_coding	down_tumor	2.65	14.75	4.29	11.09	22.09	24.28	23.41	23.42	19.74	25.17	23.6	31.79
ENSG00000257093.2	KIAA1147	549.224563440676	-1.47444162144562	5.94619976320982e-16	protein_coding	down_tumor	4.01	6.64	3.43	5.26	14.45	18.36	18.12	13.39	17.01	16.97	14.76	11.58
ENSG00000261652.2	C15orf65	43.0045193461607	-1.47184348489351	3.58330463422093e-07	protein_coding	down_tumor	1.08	6.08	5.06	4.79	14.69	15.9	11.7	11.47	12.84	14.27	13.53	11.31
ENSG00000163412.8	EIF4E3	241.473687229461	-1.47082423321449	4.05227941339387e-14	protein_coding	down_tumor	12.68	7.98	3.95	5.01	11.68	15.8	14.92	13.04	14.91	13.73	16.7	10.4
ENSG00000164120.9	HPGD	969.656737976297	-1.46341471103394	2.05655001605388e-12	protein_coding	down_tumor	35.93	35.38	45.13	16.81	102.51	81.23	133.85	113.06	98.86	78.06	79.15	81.26
ENSG00000108375.8	RNF43	360.324904935431	-1.46194316767147	3.56713471899696e-08	protein_coding	down_tumor	1.92	10.71	3.41	10.25	23.89	15.49	21.27	20.81	18.09	19.82	19.78	18.59
ENSG00000168216.6	LMBRD1	185.60015623441	-1.46138441937021	1.40983418965326e-10	protein_coding	down_tumor	3.8	8.91	3.09	6.69	14.83	18.07	19.79	17.6	24.3	18.16	21.06	14.68
ENSG00000134970.13	TMED7	735.218679331295	-1.45594551989853	2.1291600384346e-23	protein_coding	down_tumor	20.3	19.02	9.27	13.25	35.71	40.76	44.35	42.95	44.94	38.89	45.99	34.13
ENSG00000116574.4	RHOU	407.668112077872	-1.45500930400439	1.42448714445131e-13	protein_coding	down_tumor	6.24	48.15	11.68	29.97	60.67	74.99	51.2	43.19	55.1	65.21	52.29	67.1
ENSG00000104419.10	NDRG1	3103.47474954102	-1.44519965740998	0.000334780719601727	protein_coding	down_tumor	48.1	148.64	59.46	141.4	146.46	472.03	317.07	160.6	515.64	303.25	419.95	175.41
ENSG00000117335.14	CD46	3533.31605205053	-1.44279710771808	3.35735967180497e-05	protein_coding	down_tumor	35.89	206.08	32.09	187.86	281.26	236.67	288.25	305.74	290.08	326.16	306.51	287.37
ENSG00000116815.11	CD58	160.388391432775	-1.44273994184854	6.49577878520457e-07	protein_coding	down_tumor	4.18	18.93	4.96	13.71	28.06	27.63	32.34	34.67	35.31	33.11	34.69	30.91
ENSG00000101439.4	CST3	3979.96593552922	-1.43837428882273	9.83516506913185e-06	protein_coding	down_tumor	112.93	519.88	142.36	557.12	910.86	1021.04	973.67	953.4	1129.28	1040.33	1234.69	964.59
ENSG00000104805.11	NUCB1	1330.13602067155	-1.43481820139619	6.52015264957941e-14	protein_coding	down_tumor	32.1	68.93	32.14	84.51	157.57	175.21	184.06	192.44	209.48	165.04	204.72	147.53
ENSG00000135750.10	KCNK1	237.773482659509	-1.43477776647007	6.39610062730091e-07	protein_coding	down_tumor	2.84	18.3	10.49	12.25	24.24	20.64	25.36	28.78	25.05	22.76	23.14	32.44
ENSG00000065154.7	OAT	1136.64933142796	-1.43449274815455	2.126989321626e-11	protein_coding	down_tumor	24.17	56.5	26.06	54.91	98.66	174.27	135.38	104.15	128.14	145.57	145.03	108.8
ENSG00000102554.9	KLF5	1573.3986785388	-1.42869683077456	1.15161960203727e-08	protein_coding	down_tumor	11.13	51.21	20.18	38.62	87.91	103.2	96.39	95.48	99.44	90.68	97.81	88.93
ENSG00000030582.12	GRN	1272.29000187642	-1.42683936109105	3.46387924205976e-12	protein_coding	down_tumor	40.14	118.93	37.35	91.45	147.65	142.01	168.47	166.92	177.17	138.26	201.93	122.84
ENSG00000260916.1	CCPG1	1074.35448514433	-1.42218314955936	1.93731116317843e-37	protein_coding	down_tumor	20.7	29.01	39.87	27.67	65.4	73.56	81.44	62.5	77.26	72.59	84.94	63.24
ENSG00000071967.7	CYBRD1	211.236367184865	-1.42114025863329	9.34705203165009e-09	protein_coding	down_tumor	9.22	3.99	21.73	4.9	11.15	15.18	11.91	10.58	14.23	9.87	12.93	8.25
ENSG00000125398.5	SOX9	663.959901269599	-1.42107441874117	0.000139974550619089	protein_coding	down_tumor	2.18	23.03	6.68	15.32	31.35	36.48	35.12	32.87	35.32	37.02	36.01	35.36
ENSG00000181885.14	CLDN7	113.979421752189	-1.41732050142128	0.00145572796759212	protein_coding	down_tumor	1.49	12.37	2.19	11.09	17.96	27	22.15	14.07	25.39	21.53	31.03	21.61
ENSG00000112977.11	DAP	1242.40966707911	-1.41656887389937	1.23877962720753e-27	protein_coding	down_tumor	28.14	45.49	34.52	38.39	110.61	121.79	119.71	117.07	113	91.73	130.77	89.99
ENSG00000137944.12	CCBL2	154.953617963884	-1.41594628834434	8.19799488980789e-14	protein_coding	down_tumor	3.29	8.25	4.42	6.07	13.3	18.35	19.94	16.3	18.44	19.66	19.15	14.33
ENSG00000196950.9	SLC39A10	457.180591942444	-1.40306341309791	1.41626348271768e-19	protein_coding	down_tumor	5.57	9.69	6.14	10.1	21.51	18.24	29.89	26.55	24.66	20.69	23.25	21.33
ENSG00000138604.5	GLCE	296.573194247028	-1.4019771160492	1.3250277859511e-09	protein_coding	down_tumor	4.64	6.91	4.46	5.55	12.97	15.39	17.06	14.32	17.21	14.09	17.81	10.35
ENSG00000250021.3	C15orf38-AP3S2	134.19200636367	-1.4018555083888	0.0136604863375947	protein_coding	down_tumor	7.62	6.11	0.11	4.47	11.84	10.1	13.93	14.57	12.51	9.75	13.96	7.68
ENSG00000135535.10	CD164	1152.85396785545	-1.3995443640077	1.13563639629299e-12	protein_coding	down_tumor	22.58	38.88	23.74	27.48	68.79	93.09	98.75	83.43	98.71	77.07	103.64	64.1
ENSG00000162496.4	DHRS3	530.914375001985	-1.39864828539833	1.01944413394326e-06	protein_coding	down_tumor	9.45	27.58	14.67	35.66	65.75	78.86	62.16	49.56	82.65	64.89	80.03	44.17
ENSG00000168528.7	SERINC2	834.340490260311	-1.39459112861539	0.000180742868996654	protein_coding	down_tumor	6.94	45.05	14.67	49.43	65.89	112.98	88.87	77.98	101.85	67.03	110.32	66.23
