gene_id	Symbol	gene_biotype	localization	tpm_wt	log2FoldChange.mem.wt.vs.cyt.wt	padj.mem.wt.vs.cyt.wt
ENSG00000003509.11	NDUFAF7	protein_coding	cytosolic	13.355	-0.450774122672009	0.106283829004009
ENSG00000003756.12	RBM5	protein_coding	NA	35.595	0.68511117494255	0.00171502686282315
ENSG00000003987.9	MTMR7	protein_coding	cytosolic	5.16	-0.0148606295690932	0.976571288595165
ENSG00000003989.12	SLC7A2	protein_coding	membrane	26.06	3.11208317913861	1.5290571799351e-75
ENSG00000004059.6	ARF5	protein_coding	cytosolic	207.575	0.338408849810481	0.0578923337925783
ENSG00000004139.9	SARM1	protein_coding	cytosolic	14.855	0.246057163487954	0.487163507049894
ENSG00000004142.7	POLDIP2	protein_coding	cytosolic	129.245	-0.000202150474821651	1
ENSG00000004399.8	PLXND1	protein_coding	membrane	17.01	1.9361711468756	3.97745655059476e-07
ENSG00000004455.12	AK2	protein_coding	cytosolic	309.63	-0.392977051913533	0.00181507422216825
ENSG00000004478.5	FKBP4	protein_coding	cytosolic	344.43	-0.763109496871219	4.45898027823316e-08
ENSG00000004487.11	KDM1A	protein_coding	cytosolic	105.23	-0.770952671198154	2.82178483868549e-10
ENSG00000004534.10	RBM6	protein_coding	cytosolic	19.94	-0.508516814511821	0.0281109125139744
ENSG00000004660.10	CAMKK1	protein_coding	cytosolic	16.675	-0.14478354463184	0.598780364523775
ENSG00000004700.11	RECQL	protein_coding	cytosolic	20.565	-1.5978220509666	1.4487669085842e-20
ENSG00000004766.11	CCDC132	protein_coding	cytosolic	6.135	-0.446738277502764	0.0212651518536241
ENSG00000004777.14	ARHGAP33	protein_coding	cytosolic	3.45	0.3969860527461	0.652672434710541
ENSG00000004779.5	NDUFAB1	protein_coding	cytosolic	393.275	-0.285599179786521	0.106433240851231
ENSG00000004799.7	PDK4	protein_coding	cytosolic	2.535	-1.78985250311788	0.00410986600914327
ENSG00000004864.9	SLC25A13	protein_coding	cytosolic	34.935	-0.65055914681721	0.000378174885885771
ENSG00000004866.14	ST7	protein_coding	membrane	28.33	1.53137720011231	1.59566431552689e-25
ENSG00000004897.7	CDC27	protein_coding	cytosolic	41.745	-0.819276160379688	6.51390737572465e-07
ENSG00000004961.10	HCCS	protein_coding	NA	12.67	0.594552597317324	0.00774905477576034
ENSG00000004975.7	DVL2	protein_coding	cytosolic	35.9	-0.645340755794865	0.000165355409997341
ENSG00000005007.8	UPF1	protein_coding	cytosolic	22.835	-1.06984343516043	1.66409506452148e-05
ENSG00000005020.8	SKAP2	protein_coding	cytosolic	23.2	-0.935716709881809	1.43005807886067e-06
ENSG00000005022.5	SLC25A5	protein_coding	cytosolic	746.985	-0.235206471940161	0.178856356247265
ENSG00000005059.11	CCDC109B	protein_coding	cytosolic	25.455	0.0777774831786336	0.738300161411554
ENSG00000005073.5	HOXA11	protein_coding	cytosolic	21.455	-0.299105179728388	0.159212130349777
ENSG00000005075.11	POLR2J	protein_coding	cytosolic	149.42	-0.0428940364997232	0.889704040242078
ENSG00000005100.8	DHX33	protein_coding	cytosolic	29.755	-0.342213538178789	0.053438116962172
ENSG00000005156.7	LIG3	protein_coding	cytosolic	30.54	-1.04607105693666	3.14530727579056e-08
ENSG00000005175.5	RPAP3	protein_coding	cytosolic	21.77	-1.31750515761588	3.17801366945161e-12
ENSG00000005187.7	ACSM3	protein_coding	cytosolic	3.945	-0.449019813320534	0.486686408371004
ENSG00000005189.15	AC004381.6	protein_coding	cytosolic	13.52	-0.417390704883134	0.118448564782366
ENSG00000005194.10	CIAPIN1	protein_coding	cytosolic	94.13	-0.404625046962899	0.0227642802460052
ENSG00000005206.12	SPPL2B	processed_transcript	membrane	21.42	2.4328893494425	2.70546168957707e-12
ENSG00000005249.8	PRKAR2B	protein_coding	cytosolic	33.995	-0.381115235563248	0.0803252774216739
ENSG00000005302.13	MSL3	protein_coding	cytosolic	35.575	-0.202774909217842	0.371315125395048
ENSG00000005339.8	CREBBP	protein_coding	cytosolic	10.995	0.190008004527185	0.758892672604462
ENSG00000005436.9	GCFC2	protein_coding	cytosolic	17.33	-0.412984743445999	0.0742470865007792
ENSG00000005448.12	WDR54	protein_coding	cytosolic	31.12	0.280177475649982	0.389060012920646
ENSG00000005469.7	CROT	protein_coding	cytosolic	5.665	-0.433757691923737	0.144866376426267
ENSG00000005471.11	ABCB4	protein_coding	membrane	1.865	3.26352444717056	7.63400250890678e-06
ENSG00000005483.15	KMT2E	protein_coding	cytosolic	8.115	-0.0265963121349877	0.957465038895832
ENSG00000005486.12	RHBDD2	protein_coding	membrane	28.68	2.69433107529903	2.0962299499132e-19
ENSG00000005513.9	SOX8	protein_coding	cytosolic	3.38	0.222855419732147	0.827501701528447
ENSG00000005700.10	IBTK	protein_coding	cytosolic	22.07	-0.715198194582918	1.70939169737988e-07
ENSG00000005801.12	ZNF195	protein_coding	cytosolic	11.955	-0.283596372470618	0.227326973349128
ENSG00000005810.13	MYCBP2	protein_coding	cytosolic	20.32	-0.722052814968025	0.0128905315161545
ENSG00000005812.6	FBXL3	protein_coding	cytosolic	23.61	-0.274405405758993	0.115816968971595
ENSG00000005882.7	PDK2	protein_coding	cytosolic	17.135	-0.00442349958701867	0.992318001628274
ENSG00000005884.13	ITGA3	protein_coding	membrane	2.825	2.2221285415485	9.47127507119078e-06
ENSG00000005889.11	ZFX	protein_coding	cytosolic	5.74	-0.10399039543816	0.715930521085562
ENSG00000005893.11	LAMP2	protein_coding	membrane	43.945	4.27774614287942	7.98043433129066e-165
ENSG00000005955.8	GGNBP2	protein_coding	cytosolic	26.975	-0.806825131728375	2.63387557115256e-05
ENSG00000005961.13	ITGA2B	protein_coding	cytosolic	2.425	-0.252298908572745	0.874745684852433
ENSG00000006007.7	GDE1	protein_coding	NA	74.005	1.33486634280342	9.30455362467509e-24
ENSG00000006015.13	C19orf60	protein_coding	cytosolic	29.145	0.357214220221917	0.390876840067574
ENSG00000006016.6	CRLF1	protein_coding	membrane	4.655	2.84062649723331	0.000241023110127672
ENSG00000006025.7	OSBPL7	protein_coding	cytosolic	2.145	0.0501492553296717	0.96792112551109
ENSG00000006042.7	TMEM98	protein_coding	membrane	57.515	2.01469236737692	4.54950306548028e-49
ENSG00000006062.9	MAP3K14	processed_transcript	NA	2.665	0.628563781299926	0.21298246356899
ENSG00000006071.7	ABCC8	protein_coding	membrane	1.695	2.72280653140354	0.208465011601605
ENSG00000006114.11	SYNRG	protein_coding	cytosolic	8.46	-0.0265241186171421	0.946027274711866
ENSG00000006118.10	TMEM132A	protein_coding	membrane	15.985	3.44288875265788	1.20503285172224e-24
ENSG00000006125.12	AP2B1	protein_coding	cytosolic	73.455	-0.553833460113561	0.00188060877207744
ENSG00000006128.7	TAC1	protein_coding	membrane	6.015	2.74865700628765	1.41941309010197e-06
ENSG00000006194.6	ZNF263	protein_coding	cytosolic	40.535	-0.028705884415065	0.931610930498204
ENSG00000006210.6	CX3CL1	protein_coding	membrane	1.01	5.54963374153371	0.0160802304459392
ENSG00000006282.15	SPATA20	protein_coding	cytosolic	12.33	0.396031743801061	0.241912712024808
ENSG00000006327.9	TNFRSF12A	protein_coding	membrane	10.82	2.12871502349204	2.77002094817514e-06
ENSG00000006377.9	DLX6	protein_coding	cytosolic	5.37	0.113311521810998	0.885102672389337
ENSG00000006432.11	MAP3K9	protein_coding	cytosolic	1.93	0.389032576444428	0.508466775243041
ENSG00000006451.3	RALA	protein_coding	cytosolic	21.235	-0.401479861844493	0.00510407985744995
ENSG00000006453.9	BAIAP2L1	protein_coding	cytosolic	17.585	-0.164135950290894	0.487437577090841
ENSG00000006459.6	JHDM1D	protein_coding	cytosolic	4.275	-0.526631423484476	0.0285076726468066
ENSG00000006468.9	ETV1	protein_coding	cytosolic	1.4	-0.887378782076188	0.100801589186805
ENSG00000006530.11	AGK	protein_coding	cytosolic	39.92	-0.194142520645725	0.348522790686801
ENSG00000006576.12	PHTF2	protein_coding	membrane	12.26	2.73341969981568	6.85580863031402e-53
ENSG00000006607.9	FARP2	protein_coding	cytosolic	27.005	-0.444376393057358	0.0320033984405758
ENSG00000006625.13	GGCT	protein_coding	cytosolic	85.735	-0.623077141581732	4.02499101971923e-07
ENSG00000006634.3	DBF4	protein_coding	cytosolic	14.7	-0.271937134970809	0.199087308678701
ENSG00000006638.7	TBXA2R	protein_coding	membrane	1.385	2.38127083461627	0.0138171177225387
ENSG00000006652.9	IFRD1	protein_coding	cytosolic	44.53	-0.168621785955897	0.370295932198434
ENSG00000006695.6	COX10	protein_coding	cytosolic	17.57	0.16139701244274	0.6078146526481
ENSG00000006704.6	GTF2IRD1	protein_coding	cytosolic	14.395	0.382713509774937	0.332324989596639
ENSG00000006712.10	PAF1	protein_coding	cytosolic	108.535	-0.799692832900631	5.80645759243019e-06
ENSG00000006715.11	VPS41	protein_coding	cytosolic	10.77	-0.872045751595757	7.91099384557072e-08
ENSG00000006740.12	ARHGAP44	protein_coding	cytosolic	7.945	0.0633305589806438	0.880829541614816
ENSG00000006744.14	ELAC2	protein_coding	cytosolic	64.015	-0.755742828657096	0.000236271401582637
ENSG00000006747.10	SCIN	protein_coding	cytosolic	5.42	-1.11701890703066	0.000314149168112591
ENSG00000006831.9	ADIPOR2	protein_coding	membrane	59.21	1.56372916674732	1.83210207341291e-26
ENSG00000006837.7	CDKL3	protein_coding	cytosolic	4.12	-0.452596046811553	0.417650421926282
ENSG00000007047.10	MARK4	protein_coding	cytosolic	15.075	0.0439883125562604	0.93469588856893
ENSG00000007062.7	PROM1	protein_coding	membrane	2.145	2.65757265393473	0.00602202589934279
ENSG00000007080.6	CCDC124	protein_coding	cytosolic	172.27	-0.497594251572407	0.00451797252553629
ENSG00000007168.8	PAFAH1B1	protein_coding	cytosolic	40.98	-0.720370109454751	9.53983304466738e-07
ENSG00000007171.12	NOS2	protein_coding	cytosolic	2.925	-0.00318228214221631	1
ENSG00000007202.10	KIAA0100	protein_coding	NA	71.865	1.4191171764517	2.37876016517731e-11
ENSG00000007237.14	GAS7	protein_coding	cytosolic	1.815	-0.0780715380430693	0.922100135818987
ENSG00000007255.6	TRAPPC6A	protein_coding	cytosolic	51.08	-0.358593405581393	0.429586462175541
ENSG00000007264.9	MATK	protein_coding	cytosolic	26.755	-0.144987507101156	0.812770307867763
ENSG00000007341.14	ST7L	protein_coding	membrane	27.23	2.42038736714487	1.37550422513864e-33
ENSG00000007372.16	PAX6	protein_coding	cytosolic	17	-0.256307936743475	0.372111534607164
ENSG00000007376.3	RPUSD1	protein_coding	cytosolic	42.53	0.260555090850185	0.41935155682832
ENSG00000007384.11	RHBDF1	protein_coding	membrane	4.33	2.87280955710226	0.000530033076267423
ENSG00000007392.12	LUC7L	protein_coding	cytosolic	48.165	-0.438308679960608	0.0343068636295387
ENSG00000007402.7	CACNA2D2	protein_coding	membrane	2.825	3.75151614820909	2.33120818375459e-10
ENSG00000007516.9	BAIAP3	protein_coding	cytosolic	2.155	0.494428591046621	0.795343192511403
ENSG00000007520.3	TSR3	protein_coding	cytosolic	48.36	-0.0786335572391713	0.80532820296099
ENSG00000007541.10	PIGQ	protein_coding	membrane	24.7	2.12273237617391	1.54258226221945e-11
ENSG00000007545.11	CRAMP1L	protein_coding	cytosolic	15	0.172705284751985	0.768333225195139
ENSG00000007866.14	TEAD3	protein_coding	cytosolic	5.685	0.00914697937616385	0.991961312850674
ENSG00000007923.11	DNAJC11	protein_coding	cytosolic	44.385	-0.60205552255049	0.000502282337087286
ENSG00000007944.10	MYLIP	protein_coding	cytosolic	10.375	-0.0414559763446834	0.922720889143077
ENSG00000007968.6	E2F2	protein_coding	cytosolic	13.14	0.326988388070164	0.259690711124858
ENSG00000008018.8	PSMB1	protein_coding	cytosolic	403.23	-0.610492708009817	1.71160275037461e-07
ENSG00000008083.9	JARID2	protein_coding	cytosolic	9.16	-0.161111903333666	0.639596160962549
ENSG00000008086.6	CDKL5	protein_coding	cytosolic	1.285	-0.249349387235612	0.820819771560685
ENSG00000008128.18	CDK11A	protein_coding	cytosolic	22.185	-0.690634210313798	0.00503738213765958
ENSG00000008130.11	NADK	protein_coding	cytosolic	61.545	-0.00882425412502287	0.973689332836495
ENSG00000008256.11	CYTH3	protein_coding	cytosolic	9.34	-0.169144999235999	0.599020029826444
ENSG00000008277.10	ADAM22	protein_coding	membrane	4.54	2.98797895281701	8.41260521385153e-38
ENSG00000008282.3	SYPL1	protein_coding	membrane	75.5	3.66668808612487	3.07658931916354e-126
ENSG00000008283.11	CYB561	protein_coding	NA	2.61	1.40169655627211	0.10011833349402
ENSG00000008294.16	SPAG9	protein_coding	cytosolic	38.715	-0.680185652111733	1.00618489079458e-07
ENSG00000008300.10	CELSR3	protein_coding	NA	2.35	1.06476973631216	0.0928479687771928
ENSG00000008311.10	AASS	protein_coding	cytosolic	13.81	0.051587210947973	0.922237210881199
ENSG00000008324.6	SS18L2	protein_coding	cytosolic	30.91	-0.462812984816526	0.0550897379688295
ENSG00000008382.11	MPND	protein_coding	cytosolic	20.03	-0.477438558533659	0.0752498864823236
ENSG00000008394.8	MGST1	protein_coding	membrane	107.01	2.77704338112744	3.09539874686921e-30
ENSG00000008405.7	CRY1	protein_coding	cytosolic	15.595	-0.454329817823344	0.0136772973040711
ENSG00000008441.12	NFIX	protein_coding	cytosolic	11.63	-0.3393472106336	0.422249602556405
ENSG00000008513.10	ST3GAL1	protein_coding	membrane	5.95	2.08114608417626	1.98746260032576e-14
ENSG00000008517.12	IL32	protein_coding	cytosolic	13.695	0.172433194032575	0.880494265471718
ENSG00000008710.13	PKD1	protein_coding	NA	26.435	1.21328958049039	0.0203377828746651
ENSG00000008735.10	MAPK8IP2	protein_coding	cytosolic	17.235	-0.413292593897909	0.257955413402626
ENSG00000008838.13	MED24	protein_coding	cytosolic	75.73	0.183411161443824	0.621212633516849
ENSG00000008853.12	RHOBTB2	protein_coding	cytosolic	4.375	-0.595592735969512	0.166280721593019
ENSG00000008869.7	HEATR5B	protein_coding	cytosolic	5.145	-0.320549070766453	0.360886216643241
ENSG00000008952.12	SEC62	protein_coding	membrane	18.335	2.34949675113607	8.64286029303246e-99
ENSG00000008988.5	RPS20	protein_coding	cytosolic	1904.01	-0.66757524292952	9.83422462321525e-07
ENSG00000009307.11	CSDE1	protein_coding	cytosolic	267.49	-1.04908133826029	3.52360210404743e-13
ENSG00000009335.13	UBE3C	protein_coding	cytosolic	55.34	-0.0483420063305827	0.817626717536536
ENSG00000009413.11	REV3L	protein_coding	cytosolic	5.09	0.0883031042825758	0.826412406084124
ENSG00000009694.9	TENM1	protein_coding	membrane	7.42	1.64680450435356	2.31462571941333e-09
ENSG00000009780.11	FAM76A	protein_coding	cytosolic	6.65	-0.0330865673417301	0.939780940068974
ENSG00000009830.7	POMT2	protein_coding	membrane	9.035	2.25360920158089	2.75664364953519e-14
ENSG00000009844.11	VTA1	protein_coding	cytosolic	36.005	-0.680563900784042	3.47169882834416e-06
ENSG00000009950.11	MLXIPL	protein_coding	cytosolic	4.325	-0.170925822022808	0.885200661863069
ENSG00000009954.6	BAZ1B	protein_coding	cytosolic	30.375	-0.875661903346239	1.77960182902191e-11
ENSG00000010017.9	RANBP9	protein_coding	cytosolic	24.395	-0.279944768096504	0.149934655971409
ENSG00000010072.11	SPRTN	protein_coding	cytosolic	23.905	-0.546501745349067	0.00319691292769129
ENSG00000010165.15	METTL13	protein_coding	cytosolic	25.195	-0.535792199736716	0.000425499875948475
ENSG00000010219.9	DYRK4	protein_coding	cytosolic	37.305	-0.0975710488872038	0.793169746832362
ENSG00000010244.12	ZNF207	protein_coding	cytosolic	126.28	-0.508499569112474	0.00424514180445346
ENSG00000010256.6	UQCRC1	protein_coding	cytosolic	218.74	-0.283854261485902	0.139571974809612
ENSG00000010270.9	STARD3NL	protein_coding	NA	40.755	0.954370799489649	7.92969759335454e-10
ENSG00000010278.7	CD9	protein_coding	membrane	102.54	4.66246827052286	8.57125303910293e-98
ENSG00000010292.8	NCAPD2	protein_coding	cytosolic	103.145	-0.316127065002878	0.0939170935426528
ENSG00000010295.15	IFFO1	protein_coding	cytosolic	13.075	0.353595963546654	0.479749927659536
ENSG00000010318.15	PHF7	protein_coding	NA	7.6	0.623577091175898	0.368037632819837
ENSG00000010322.11	NISCH	protein_coding	NA	20.305	0.536669908346671	0.0586818152070176
ENSG00000010361.9	FUZ	protein_coding	cytosolic	63.14	0.0595896889947338	0.864679522918618
ENSG00000010404.13	IDS	protein_coding	cytosolic	16.655	0.175290701903751	0.376239604594481
ENSG00000010539.7	ZNF200	protein_coding	cytosolic	13.09	0.00256072220499757	0.997078247821366
ENSG00000010626.10	LRRC23	protein_coding	cytosolic	6.005	-0.340692350395555	0.682914578235952
ENSG00000010803.12	SCMH1	protein_coding	cytosolic	28.4	-0.10696232184087	0.684454973252877
ENSG00000010810.13	FYN	protein_coding	cytosolic	56.785	0.279205761201238	0.203845323487975
ENSG00000010818.4	HIVEP2	protein_coding	cytosolic	3.545	-0.32063833834069	0.374808032648966
ENSG00000011007.8	TCEB3	protein_coding	cytosolic	23.355	-0.613392176765694	0.000670128352497507
ENSG00000011009.6	LYPLA2	protein_coding	cytosolic	41.895	-0.246081511497278	0.284328444567018
ENSG00000011021.17	CLCN6	protein_coding	membrane	2.89	1.64831835597003	1.29825175426458e-05
ENSG00000011028.9	MRC2	protein_coding	membrane	4.39	3.04783627078172	5.56410273517719e-07
ENSG00000011052.17	NME2	protein_coding	cytosolic	231.435	-0.0226363509690594	0.967631476625386
ENSG00000011105.7	TSPAN9	protein_coding	membrane	10.05	3.33879114153387	3.46726401248487e-19
ENSG00000011114.10	BTBD7	protein_coding	cytosolic	8.63	0.0593115435119646	0.892157110645667
ENSG00000011132.7	APBA3	protein_coding	cytosolic	14.925	0.360176606146212	0.404895993703467
ENSG00000011143.12	MKS1	protein_coding	cytosolic	23.995	-0.380587018190506	0.111437291381694
ENSG00000011198.3	ABHD5	protein_coding	cytosolic	10.46	0.0535665210296918	0.919367582464468
ENSG00000011201.6	KAL1	protein_coding	membrane	11.395	4.78583669265132	1.66272995881408e-115
ENSG00000011243.13	AKAP8L	protein_coding	cytosolic	48.785	-0.701389449735713	0.000316885094768687
ENSG00000011258.11	MBTD1	protein_coding	cytosolic	15.765	-0.450528105899872	0.0175462041078031
ENSG00000011260.9	UTP18	protein_coding	cytosolic	73.06	-1.39297556941331	9.26303637128259e-14
ENSG00000011275.14	RNF216	protein_coding	cytosolic	11.28	-0.38325791403659	0.043403884580441
ENSG00000011295.11	TTC19	protein_coding	cytosolic	43.965	0.42512411406118	0.0130467789978718
ENSG00000011304.12	PTBP1	protein_coding	cytosolic	243.045	-1.06576064240736	6.27477508077869e-11
ENSG00000011332.15	DPF1	protein_coding	cytosolic	12.125	0.04525958596644	0.941572899031146
ENSG00000011347.5	SYT7	protein_coding	membrane	1.805	1.78463753298962	0.00117199241799925
ENSG00000011376.5	LARS2	protein_coding	cytosolic	13.935	-0.470940407791881	0.0803885065220001
ENSG00000011405.9	PIK3C2A	protein_coding	cytosolic	9.875	-0.390519933583169	0.0700893837879206
ENSG00000011422.7	PLAUR	protein_coding	NA	8.145	1.321972926665	0.0080404566067377
ENSG00000011426.6	ANLN	protein_coding	NA	19.275	1.00694988322863	3.44161095959381e-08
ENSG00000011451.13	WIZ	protein_coding	cytosolic	20.26	-0.0296510909785369	0.957324616780255
ENSG00000011454.12	RABGAP1	protein_coding	cytosolic	11.25	-0.855525064330856	1.85057719938303e-07
ENSG00000011478.7	QPCTL	protein_coding	membrane	10.905	3.12639585099598	3.64048967188693e-20
ENSG00000011485.10	PPP5C	protein_coding	cytosolic	122.29	-0.692730034824073	2.56836981515287e-08
ENSG00000011523.9	CEP68	protein_coding	cytosolic	6.375	-0.130597819963926	0.615146083893013
ENSG00000011566.10	MAP4K3	protein_coding	cytosolic	7.295	-0.467372918478959	0.0215780297114938
ENSG00000011638.6	TMEM159	protein_coding	NA	13.095	1.08748066330892	0.000459065967914054
ENSG00000012048.15	BRCA1	protein_coding	cytosolic	21.6	-0.434247981353749	0.00210827665766115
ENSG00000012061.11	ERCC1	protein_coding	cytosolic	43.01	-0.115056033754894	0.621163567017027
ENSG00000012174.7	MBTPS2	protein_coding	membrane	23.815	3.79709781637833	4.42302802967791e-116
ENSG00000012211.8	PRICKLE3	protein_coding	cytosolic	8.335	0.189159434564547	0.795445690210532
ENSG00000012232.4	EXTL3	protein_coding	membrane	22.665	2.41839119088242	7.49858101636911e-41
ENSG00000012660.9	ELOVL5	protein_coding	membrane	94.685	2.523688950508	1.34518740474627e-58
ENSG00000012822.11	CALCOCO1	protein_coding	cytosolic	19.125	-0.949384946833876	0.000888411240242054
ENSG00000012963.9	UBR7	protein_coding	cytosolic	43.02	-0.437831483533596	0.000253418882451944
ENSG00000012983.7	MAP4K5	protein_coding	cytosolic	15.68	-0.855021446081233	3.28646545593605e-06
ENSG00000013016.10	EHD3	protein_coding	cytosolic	3.93	-0.49867735008309	0.202712368102132
ENSG00000013275.3	PSMC4	protein_coding	cytosolic	195.875	-0.396457972840308	0.0521642139390936
ENSG00000013288.4	MAN2B2	protein_coding	membrane	3.45	4.11767103877035	5.54618246832411e-25
ENSG00000013306.11	SLC25A39	protein_coding	cytosolic	133.01	0.153409865750476	0.466928148094444
ENSG00000013364.14	MVP	protein_coding	cytosolic	2.655	-0.433122117783588	0.740159216089066
ENSG00000013374.11	NUB1	protein_coding	cytosolic	45.775	-0.842388869969218	1.32857456251824e-08
ENSG00000013375.11	PGM3	protein_coding	cytosolic	22.18	-0.835584738855693	1.03150991038877e-08
ENSG00000013392.6	RWDD2A	protein_coding	cytosolic	5.145	-0.0167565639913659	0.981320411695758
ENSG00000013441.11	CLK1	protein_coding	cytosolic	11.48	-0.190487821910859	0.755460367672195
ENSG00000013503.5	POLR3B	protein_coding	cytosolic	6.32	-1.2704371089158	2.9861524131728e-07
ENSG00000013523.5	ANGEL1	protein_coding	membrane	21.775	2.42519435026666	8.37784947821989e-38
ENSG00000013561.13	RNF14	protein_coding	cytosolic	30.19	-0.42370267103208	0.0108111970505306
ENSG00000013563.9	DNASE1L1	protein_coding	NA	32.27	0.935871402041856	1.20975326476714e-08
ENSG00000013573.12	DDX11	protein_coding	cytosolic	52.815	0.0894550068849484	0.774849572589561
ENSG00000013583.4	HEBP1	protein_coding	cytosolic	31.775	-0.12237654681366	0.728906095982437
ENSG00000013588.5	GPRC5A	protein_coding	membrane	5.54	3.1405753983194	2.41027557744838e-14
ENSG00000013619.9	MAMLD1	protein_coding	cytosolic	3.475	-0.111381502876948	0.887273128276357
ENSG00000013810.14	TACC3	protein_coding	cytosolic	76.865	-0.47763251687617	0.00353543717514847
ENSG00000014123.9	UFL1	protein_coding	membrane	9.645	2.67442559286264	1.0335148743779e-46
ENSG00000014138.4	POLA2	protein_coding	cytosolic	33.09	-0.639486765902252	8.99173230286757e-05
ENSG00000014164.6	ZC3H3	protein_coding	cytosolic	4.845	-0.576548427556342	0.278189467706338
ENSG00000014216.11	CAPN1	protein_coding	cytosolic	30.15	-0.611193398017194	0.00860607518231426
ENSG00000014641.13	MDH1	protein_coding	cytosolic	195.435	-0.806271645266546	0.000140625299607269
ENSG00000014824.9	SLC30A9	protein_coding	cytosolic	28.725	-0.340612719563016	0.0286629199659772
ENSG00000014919.8	COX15	protein_coding	cytosolic	44.27	-0.260720438188411	0.188106251093081
ENSG00000015133.14	CCDC88C	protein_coding	cytosolic	6.85	-0.196295926648031	0.667029260846321
ENSG00000015153.10	YAF2	protein_coding	cytosolic	12.82	-0.278454879522141	0.0868580428711061
ENSG00000015171.14	ZMYND11	protein_coding	cytosolic	18.095	-0.784483539949295	8.83535481902178e-07
ENSG00000015475.14	BID	protein_coding	cytosolic	52.845	0.0888791285053909	0.742154942321178
ENSG00000015479.13	MATR3	protein_coding	cytosolic	293.52	-1.11887086477673	2.09584613577918e-17
ENSG00000015532.5	XYLT2	protein_coding	membrane	9.46	3.25989590676227	3.38901043115101e-27
ENSG00000015568.8	RGPD5	protein_coding	cytosolic	3.875	-0.670608870552965	0.700193487535115
ENSG00000015676.13	NUDCD3	protein_coding	cytosolic	46.12	-0.00463338597285677	0.986030171484079
ENSG00000016391.6	CHDH	protein_coding	cytosolic	3.275	-0.044078579572075	0.919367582464468
ENSG00000016864.12	GLT8D1	protein_coding	membrane	32.88	2.64618490589176	6.11221802893379e-41
