Animal	ID	Cage	Tag	Date	Left flank	Right flank	Amount of cells	Length	Width	Height	Volume	tumor_weight_mg	status	time
4	M08513	1	RRL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,5	3,9	0,7	4,9686	NA	KO	14
5	M08514	2	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4	3,8	0,7	5,5328	NA	KO	14
6	M08515	2	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	NA	KO	14
7	M08516	2	L	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	NA	KO	14
8	M08508	2	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	NA	KO	14
1	M08507	1	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	6	5	1,7	26,52	84	WT	21
2	M08511	1	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	13	8	3	162,24	265	WT	21
3	M08512	1	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	7,8	7,6	3,8	117,13728	156	WT	21
4	M08513	1	RRL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	6,4	4,7	1,2	18,76992	78	WT	21
5	M08514	2	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	8,3	7,6	3	98,4048	145	WT	21
6	M08515	2	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	7,8	5,4	2,6	56,94624	95	WT	21
7	M08516	2	L	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	7,6	6,9	3,2	87,26016	141	WT	21
8	M08508	2	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	6,5	6,3	2,5	53,235	98	WT	21
1	M08507	1	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	0	KO	21
2	M08511	1	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,3	2,7	0,7	4,22604	13	KO	21
3	M08512	1	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	6,6	4,2	1,1	15,85584	52	KO	21
4	M08513	1	RRL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,7	3,5	0,8	5,3872	22	KO	21
5	M08514	2	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,9	4,8	1,2	14,67648	41	KO	21
6	M08515	2	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	0	KO	21
7	M08516	2	L	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	0	KO	21
8	M08508	2	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	0	KO	21
