gene_id	Symbol	Transcript.stable.ID.version	l_utr5	l_cds	l_utr3	start
ENSG00000074695.5	LMAN1	ENST00000251047.5	718	1533	3270	1
ENSG00000074842.3	C19orf10	ENST00000262947.3	36	522	460	1
ENSG00000076706.10	MCAM	ENST00000264036.4	15	1941	1355	1
ENSG00000076716.7	GPC4	ENST00000370828.3	525	1671	2764	1
ENSG00000077147.10	TM9SF3	ENST00000371142.4	217	1770	4154	1
ENSG00000077942.13	FBLN1	ENST00000262722.7	103	2052	96	1
ENSG00000078808.12	SDF4	ENST00000360001.6	263	1089	604	1
ENSG00000079931.10	MOXD1	ENST00000367963.3	119	1842	1098	1
ENSG00000082781.7	ITGB5	ENST00000296181.4	297	2400	1675	1
ENSG00000083444.12	PLOD1	ENST00000196061.4	27	2184	729	1
ENSG00000084234.12	APLP2	ENST00000528499.1	84	2088	358	1
ENSG00000085063.10	CD59	ENST00000395850.3	76	387	1426	1
ENSG00000086598.6	TMED2	ENST00000262225.3	106	606	1840	1
ENSG00000086619.9	ERO1LB	ENST00000354619.5	202	1404	2961	1
ENSG00000088035.11	ALG6	ENST00000371108.4	305	1524	1542	1
ENSG00000089327.10	FXYD5	ENST00000392219.2	67	537	268	1
ENSG00000089597.12	GANAB	ENST00000356638.3	17	2835	756	1
ENSG00000090520.6	DNAJB11	ENST00000265028.3	220	1077	391	1
ENSG00000090581.5	GNPTG	ENST00000204679.4	43	918	260	1
ENSG00000090776.5	EFNB1	ENST00000204961.4	780	1041	1493	1
ENSG00000090863.7	GLG1	ENST00000422840.2	0	3540	1208	1
ENSG00000091129.15	NRCAM	ENST00000351718.4	428	3552	2248	1
ENSG00000091136.9	LAMB1	ENST00000222399.6	231	5361	133	1
ENSG00000092445.7	TYRO3	ENST00000263798.3	224	2673	1052	1
ENSG00000094975.9	SUCO	ENST00000263688.3	219	3765	1572	1
ENSG00000095739.7	BAMBI	ENST00000375533.3	556	783	538	1
ENSG00000099999.10	RNF215	ENST00000382363.3	75	1134	783	1
ENSG00000100234.11	TIMP3	ENST00000266085.6	301	636	3666	1
ENSG00000100473.11	COCH	ENST00000396618.3	56	1653	827	1
ENSG00000100600.10	LGMN	ENST00000334869.4	243	1302	510	1
ENSG00000100926.10	TM9SF1	ENST00000261789.4	359	1821	272	1
ENSG00000101000.4	PROCR	ENST00000216968.4	82	717	549	1
ENSG00000101144.8	BMP7	ENST00000395863.3	506	1296	2211	1
ENSG00000101160.9	CTSZ	ENST00000217131.5	119	912	464	1
ENSG00000101337.11	TM9SF4	ENST00000398022.2	235	1929	1814	1
ENSG00000101439.4	CST3	ENST00000376925.3	164	441	268	1
ENSG00000101464.6	PIGU	ENST00000217446.3	0	1308	324	1
ENSG00000102181.15	CD99L2	ENST00000370377.3	118	789	2697	1
ENSG00000102393.5	GLA	ENST00000218516.3	22	1290	6	1
ENSG00000103226.13	NOMO3	ENST00000399336.4	172	3669	512	1
ENSG00000103512.10	NOMO1	ENST00000287667.7	171	3669	515	1
ENSG00000103855.13	CD276	ENST00000318443.5	302	1605	1562	1
ENSG00000103978.11	TMEM87A	ENST00000389834.4	265	1668	1176	1
ENSG00000104213.8	PDGFRL	ENST00000398074.3	61	1128	306	1
ENSG00000104290.6	FZD3	ENST00000240093.3	478	2001	11247	1
ENSG00000104368.13	PLAT	ENST00000220809.4	257	1689	760	1
ENSG00000104635.9	SLC39A14	ENST00000381237.1	119	1479	3043	1
ENSG00000104723.16	TUSC3	ENST00000503731.1	148	1047	303	1
ENSG00000104805.11	NUCB1	ENST00000263273.5	13	1386	841	1
ENSG00000104870.8	FCGRT	ENST00000426395.3	247	1098	214	1
ENSG00000105426.10	PTPRS	ENST00000353284.2	234	4506	1266	1
ENSG00000105429.8	MEGF8	ENST00000334370.4	635	8337	1994	1
ENSG00000105612.4	DNASE2	ENST00000222219.3	93	1083	779	1
ENSG00000105767.2	CADM4	ENST00000222374.2	49	1167	962	1
ENSG00000105976.10	MET	ENST00000397752.3	200	4173	2262	1
ENSG00000106066.9	CPVL	ENST00000265394.5	119	1431	541	1
ENSG00000106080.6	FKBP14	ENST00000222803.5	176	636	4148	1
ENSG00000106236.3	NPTX2	ENST00000265634.3	165	1296	1239	1
ENSG00000106397.7	PLOD3	ENST00000223127.3	399	2217	304	1
ENSG00000106799.8	TGFBR1	ENST00000374994.4	117	1512	4887	1
ENSG00000107731.8	UNC5B	ENST00000373192.4	59	2805	3587	1
ENSG00000107789.11	MINPP1	ENST00000371996.4	41	1464	910	1
ENSG00000107798.13	LIPA	ENST00000336233.5	323	1200	1259	1
ENSG00000108582.7	CPD	ENST00000225719.4	76	4143	5175	1
ENSG00000108588.9	CCDC47	ENST00000225726.5	383	1452	1631	1
ENSG00000108679.8	LGALS3BP	ENST00000262776.3	309	1758	338	1
ENSG00000109255.7	NMU	ENST00000264218.3	106	525	185	1
ENSG00000109472.9	CPE	ENST00000402744.4	280	1431	710	1
ENSG00000109861.11	CTSC	ENST00000227266.5	115	1392	414	1
ENSG00000110108.5	TMEM109	ENST00000227525.3	403	732	1278	1
ENSG00000110492.11	MDK	ENST00000395566.4	84	432	312	1
ENSG00000110917.3	MLEC	ENST00000228506.3	428	879	5319	1
ENSG00000111897.6	SERINC1	ENST00000339697.4	85	1362	1690	1
ENSG00000112655.11	PTK7	ENST00000230419.4	221	3213	838	1
ENSG00000112763.11	BTN2A1	ENST00000312541.5	248	1584	1088	1
ENSG00000113621.10	TXNDC15	ENST00000358387.4	625	1083	1840	1
ENSG00000114631.10	PODXL2	ENST00000342480.6	39	1818	329	1
ENSG00000115414.14	FN1	ENST00000336916.4	266	7068	1101	1
ENSG00000115828.11	QPCT	ENST00000338415.3	158	1086	495	1
ENSG00000115884.6	SDC1	ENST00000254351.4	245	933	1969	1
ENSG00000116005.7	PCYOX1	ENST00000433351.2	28	1518	3799	1
ENSG00000116209.7	TMEM59	ENST00000234831.5	250	972	474	1
ENSG00000116260.12	QSOX1	ENST00000367600.5	11	1815	693	1
ENSG00000116857.12	TMEM9	ENST00000367334.5	86	552	891	1
ENSG00000116962.10	NID1	ENST00000264187.6	83	3744	2037	1
ENSG00000117114.15	LPHN2	ENST00000319517.6	216	4212	1051	1
ENSG00000117122.9	MFAP2	ENST00000375535.3	290	552	418	1
ENSG00000117335.14	CD46	ENST00000357714.1	156	1110	1922	1
ENSG00000117385.11	LEPRE1	ENST00000296388.5	52	2211	322	1
ENSG00000117500.8	TMED5	ENST00000370290.3	274	363	3210	1
ENSG00000117862.7	TXNDC12	ENST00000371626.4	1075	519	802	1
ENSG00000117899.6	MESDC2	ENST00000261758.4	87	705	3465	1
ENSG00000117906.9	RCN2	ENST00000394885.3	223	954	1038	1
ENSG00000118705.12	RPN2	ENST00000237530.6	311	1896	304	1
ENSG00000119537.11	KDSR	ENST00000406396.3	392	999	4056	1
ENSG00000119888.6	EPCAM	ENST00000263735.4	358	945	421	1
ENSG00000119977.16	TCTN3	ENST00000371217.5	24	1824	666	1
ENSG00000120256.5	LRP11	ENST00000239367.2	6	1503	1751	1
ENSG00000120725.8	SIL1	ENST00000394817.2	140	1386	397	1
ENSG00000121064.8	SCPEP1	ENST00000262288.3	55	1359	528	1
ENSG00000121940.11	CLCC1	ENST00000356970.2	108	1656	3039	1
ENSG00000122642.6	FKBP9	ENST00000242209.4	169	1713	1580	1
ENSG00000122884.8	P4HA1	ENST00000373008.2	117	1605	1005	1
ENSG00000123131.8	PRDX4	ENST00000379341.4	125	816	64	1
ENSG00000123146.15	CD97	ENST00000357355.3	89	2361	604	1
ENSG00000124145.5	SDC4	ENST00000372733.3	40	597	1976	1
ENSG00000124155.12	PIGT	ENST00000279036.6	80	1737	418	1
ENSG00000124508.12	BTN2A2	ENST00000356709.4	111	1572	1907	1
ENSG00000124783.8	SSR1	ENST00000479365.1	62	801	255	1
ENSG00000125304.8	TM9SF2	ENST00000376387.4	190	1992	1248	1
ENSG00000125827.4	TMX4	ENST00000246024.2	216	1050	4903	1
ENSG00000127022.10	CANX	ENST00000247461.4	200	1779	2281	1
ENSG00000127463.9	EMC1	ENST00000477853.1	43	2982	3639	1
ENSG00000128011.4	LRFN1	ENST00000248668.4	0	2316	1065	1
ENSG00000128228.4	SDF2L1	ENST00000248958.4	76	666	123	1
ENSG00000128567.12	PODXL	ENST00000541194.1	258	1683	4047	1
ENSG00000128602.5	SMO	ENST00000249373.3	280	2364	1094	1
ENSG00000128791.7	TWSG1	ENST00000262120.5	191	672	2893	1
ENSG00000129103.13	SUMF2	ENST00000434526.2	31	963	1058	1
ENSG00000129636.8	ITFG1	ENST00000320640.6	229	1839	1332	1
ENSG00000130175.5	PRKCSH	ENST00000252455.2	336	1587	339	1
ENSG00000130202.5	PVRL2	ENST00000252483.5	0	1617	849	1
ENSG00000130309.6	COLGALT1	ENST00000252599.4	120	1869	1715	1
ENSG00000130508.6	PXDN	ENST00000252804.4	51	4440	2317	1
ENSG00000131238.12	PPT1	ENST00000433473.3	465	921	1354	1
ENSG00000131507.9	NDFIP1	ENST00000253814.4	470	666	2712	1
ENSG00000131591.13	C1orf159	ENST00000421241.2	174	597	1070	1
ENSG00000131724.6	IL13RA1	ENST00000371666.3	67	1284	2685	1
ENSG00000132182.7	NUP210	ENST00000254508.5	83	5664	1444	1
ENSG00000132386.6	SERPINF1	ENST00000254722.4	163	1257	128	1
ENSG00000132670.16	PTPRA	ENST00000216877.6	400	2382	943	1
ENSG00000132824.9	SERINC3	ENST00000342374.4	158	1422	2865	1
ENSG00000133872.9	TMEM66	ENST00000256255.6	258	1020	876	1
ENSG00000134153.5	EMC7	ENST00000256545.4	109	729	317	1
ENSG00000134243.7	SORT1	ENST00000256637.6	59	2496	4473	1
ENSG00000134247.9	PTGFRN	ENST00000393203.2	147	2640	3391	1
ENSG00000134250.13	NOTCH2	ENST00000256646.2	220	7416	3753	1
ENSG00000134285.6	FKBP11	ENST00000550765.1	399	606	25	1
ENSG00000134824.9	FADS2	ENST00000257261.6	30	1269	1665	1
ENSG00000134851.8	TMEM165	ENST00000381334.5	233	975	720	1
ENSG00000134871.13	COL4A2	ENST00000360467.5	306	5139	836	1
ENSG00000134901.8	KDELC1	ENST00000376004.4	337	1509	214	1
ENSG00000135333.9	EPHA7	ENST00000369303.4	185	2997	3406	1
ENSG00000135346.4	CGA	ENST00000369582.2	101	351	258	1
ENSG00000135503.8	ACVR1B	ENST00000257963.4	77	1518	2968	1
ENSG00000135506.11	OS9	ENST00000257966.8	17	1842	646	1
ENSG00000135535.10	CD164	ENST00000310786.4	66	594	2333	1
ENSG00000135862.5	LAMC1	ENST00000258341.4	257	4830	2802	1
ENSG00000135919.8	SERPINE2	ENST00000409304.1	212	1194	755	1
ENSG00000136770.6	DNAJC1	ENST00000376980.3	291	1665	150	1
ENSG00000136816.11	TOR1B	ENST00000259339.2	60	1011	1698	1
ENSG00000137509.6	PRCP	ENST00000313010.3	195	1491	1404	1
ENSG00000137563.7	GGH	ENST00000260118.6	403	957	247	1
ENSG00000137845.10	ADAM10	ENST00000260408.3	444	2247	2343	1
ENSG00000138085.12	ATRAID	ENST00000606999.1	58	690	208	1
ENSG00000138600.5	SPPL2A	ENST00000261854.5	275	1563	491	1
ENSG00000138744.10	NAAA	ENST00000286733.4	102	1080	715	1
ENSG00000138760.4	SCARB2	ENST00000264896.2	350	1437	2976	1
ENSG00000138821.8	SLC39A8	ENST00000356736.4	383	1383	1378	1
ENSG00000138829.6	FBN2	ENST00000262464.4	439	8739	1546	1
ENSG00000139219.13	COL2A1	ENST00000380518.3	165	4464	442	1
ENSG00000139263.7	LRIG3	ENST00000379141.4	64	3180	423	1
ENSG00000139292.8	LGR5	ENST00000266674.5	311	2724	1576	1
ENSG00000139921.8	TMX1	ENST00000457354.2	125	843	1522	1
ENSG00000140511.7	HAPLN3	ENST00000359595.3	215	1083	682	1
ENSG00000140545.10	MFGE8	ENST00000268150.8	92	1164	681	1
ENSG00000140564.6	FURIN	ENST00000268171.3	279	2385	1580	1
ENSG00000140943.12	MBTPS1	ENST00000343411.3	496	3159	683	1
ENSG00000141424.8	SLC39A6	ENST00000269187.5	214	2268	1061	1
ENSG00000141458.8	NPC1	ENST00000269228.5	555	3837	765	1
ENSG00000141696.8	LEPREL4	ENST00000393928.1	284	1314	1003	1
ENSG00000141756.14	FKBP10	ENST00000321562.4	104	1749	805	1
ENSG00000142156.10	COL6A1	ENST00000361866.3	114	3087	1037	1
ENSG00000142166.8	IFNAR1	ENST00000270139.3	152	1674	4313	1
ENSG00000142192.16	APP	ENST00000357903.3	167	2256	1120	1
ENSG00000142627.9	EPHA2	ENST00000358432.5	155	2931	878	1
ENSG00000142892.10	PIGK	ENST00000370812.3	24	1188	3384	1
ENSG00000142949.12	PTPRF	ENST00000372413.3	46	5697	1669	1
ENSG00000143061.13	IGSF3	ENST00000369486.3	766	3585	2903	1
ENSG00000143126.7	CELSR2	ENST00000271332.3	61	8772	1701	1
ENSG00000143162.7	CREG1	ENST00000370509.4	26	663	1285	1
ENSG00000143183.12	TMCO1	ENST00000392129.6	151	567	1228	1
ENSG00000143537.9	ADAM15	ENST00000271836.6	81	2445	273	1
ENSG00000143641.8	GALNT2	ENST00000366672.4	72	1716	2666	1
ENSG00000143819.8	EPHX1	ENST00000272167.5	80	1368	212	1
ENSG00000143870.8	PDIA6	ENST00000272227.3	148	1323	867	1
ENSG00000144749.9	LRIG1	ENST00000273261.3	525	3282	1466	1
ENSG00000145147.15	SLIT2	ENST00000504154.1	252	4590	1548	1
ENSG00000145431.6	PDGFC	ENST00000274071.2	412	153	2422	1
ENSG00000145882.6	PCYOX1L	ENST00000274569.4	62	1485	999	1
ENSG00000146242.5	TPBG	ENST00000543496.1	425	1263	1193	1
ENSG00000147257.9	GPC3	ENST00000543339.1	0	1581	0	1
ENSG00000147475.10	ERLIN2	ENST00000276461.5	67	1020	4986	1
ENSG00000148358.15	GPR107	ENST00000372410.3	227	1716	5048	1
ENSG00000148468.12	FAM171A1	ENST00000378116.4	7	2673	1272	1
ENSG00000149257.9	SERPINH1	ENST00000358171.3	268	1257	700	1
ENSG00000150093.14	ITGB1	ENST00000302278.3	65	2397	1178	1
ENSG00000150403.13	TMCO3	ENST00000434316.2	359	2034	657	1
ENSG00000152291.9	TGOLN2	ENST00000398263.2	289	1140	4709	1
ENSG00000152558.10	TMEM123	ENST00000361236.3	216	570	2535	1
ENSG00000152894.10	PTPRK	ENST00000368226.4	316	4323	1448	1
ENSG00000152952.7	PLOD2	ENST00000360060.3	178	2214	1273	1
ENSG00000152990.9	GPR125	ENST00000334304.5	270	3966	321	1
ENSG00000153162.8	BMP6	ENST00000283147.6	159	1542	1079	1
ENSG00000153956.11	CACNA2D1	ENST00000356860.3	339	3276	3948	1
ENSG00000154305.12	MIA3	ENST00000344922.5	25	5724	2393	1
ENSG00000154734.10	ADAMTS1	ENST00000284984.3	455	2904	1832	1
ENSG00000155304.4	HSPA13	ENST00000285667.3	68	1416	2502	1
ENSG00000155660.6	PDIA4	ENST00000286091.4	233	1938	732	1
ENSG00000156642.12	NPTN	ENST00000345330.4	198	1197	1049	1
ENSG00000157193.10	LRP8	ENST00000306052.6	102	2892	1473	1
ENSG00000159322.13	ADPGK	ENST00000311669.8	94	1491	972	1
ENSG00000161921.10	CXCL16	ENST00000293778.6	423	822	977	1
ENSG00000162337.7	LRP5	ENST00000294304.7	106	4848	205	1
ENSG00000162604.8	TM2D1	ENST00000606498.1	21	624	324	1
ENSG00000162736.11	NCSTN	ENST00000294785.5	125	2130	681	1
ENSG00000163162.4	RNF149	ENST00000295317.3	108	1203	1147	1
ENSG00000163430.5	FSTL1	ENST00000295633.3	357	927	4659	1
ENSG00000163479.9	SSR2	ENST00000295702.4	72	552	492	1
ENSG00000163902.7	RPN1	ENST00000296255.3	49	1824	437	1
ENSG00000164099.3	PRSS12	ENST00000296498.3	283	2628	1898	1
ENSG00000164176.8	EDIL3	ENST00000380138.3	12	1413	2819	1
ENSG00000164251.4	F2RL1	ENST00000296677.4	206	1194	1514	1
ENSG00000164291.12	ARSK	ENST00000504763.1	112	141	835	1
ENSG00000164733.16	CTSB	ENST00000530640.2	137	1020	232	1
ENSG00000164930.7	FZD6	ENST00000358755.4	317	2121	1350	1
ENSG00000165194.10	PCDH19	ENST00000420881.2	0	3303	4633	1
ENSG00000166086.8	JAM3	ENST00000299106.4	159	933	2820	1
ENSG00000166340.10	TPP1	ENST00000299427.6	61	1692	1777	1
ENSG00000166557.8	TMED3	ENST00000299705.5	188	654	633	1
ENSG00000166598.8	HSP90B1	ENST00000299767.5	182	2412	264	1
ENSG00000166710.13	B2M	ENST00000561424.1	38	360	206	1
ENSG00000167123.14	CERCAM	ENST00000372838.4	398	1788	499	1
ENSG00000167323.5	STIM1	ENST00000300737.4	569	2058	1411	1
ENSG00000167397.10	VKORC1	ENST00000394975.2	228	492	292	1
ENSG00000167642.8	SPINT2	ENST00000301244.7	435	759	608	1
ENSG00000167775.6	CD320	ENST00000301458.5	65	849	336	1
ENSG00000167925.11	GHDC	ENST00000587427.1	189	1593	614	1
ENSG00000168476.7	REEP4	ENST00000306306.3	469	774	467	1
ENSG00000168615.7	ADAM9	ENST00000487273.2	78	2460	1301	1
ENSG00000168763.11	CNNM3	ENST00000305510.3	28	2124	1295	1
ENSG00000168938.5	PPIC	ENST00000306442.4	116	639	625	1
ENSG00000169446.4	MMGT1	ENST00000305963.2	388	396	2954	1
ENSG00000169692.8	AGPAT2	ENST00000371696.2	66	837	609	1
ENSG00000169783.8	LINGO1	ENST00000355300.6	175	1863	1017	1
ENSG00000169851.11	PCDH7	ENST00000361762.2	1008	3210	1180	1
ENSG00000169919.12	GUSB	ENST00000345660.6	28	1803	196	1
ENSG00000170017.8	ALCAM	ENST00000306107.5	500	1752	2449	1
ENSG00000170266.11	GLB1	ENST00000307363.5	145	2034	437	1
ENSG00000170275.10	CRTAP	ENST00000320954.6	99	1206	5325	1
ENSG00000170348.4	TMED10	ENST00000303575.4	52	660	3415	1
ENSG00000170558.4	CDH2	ENST00000269141.3	424	2721	1187	1
ENSG00000170571.7	EMB	ENST00000303221.5	216	984	3081	1
ENSG00000170965.5	PLAC1	ENST00000359237.4	286	639	206	1
ENSG00000171208.5	NETO2	ENST00000303155.5	97	1557	1587	1
ENSG00000171246.5	NPTX1	ENST00000306773.4	158	1299	3665	1
ENSG00000171298.8	GAA	ENST00000390015.3	144	2859	546	1
ENSG00000171603.12	CLSTN1	ENST00000361311.4	251	2916	1480	1
ENSG00000172037.9	LAMB2	ENST00000305544.4	153	5397	93	1
ENSG00000172270.14	BSG	ENST00000353555.4	57	810	749	1
ENSG00000173402.7	DAG1	ENST00000308775.2	418	2688	2412	1
ENSG00000177830.13	CHID1	ENST00000429789.2	104	1089	96	1
ENSG00000178202.8	KDELC2	ENST00000323468.5	66	1524	2722	1
ENSG00000179163.11	FUCA1	ENST00000374479.3	8	1401	638	1
ENSG00000179218.9	CALR	ENST00000316448.5	73	1254	576	1
ENSG00000179241.8	LDLRAD3	ENST00000315571.5	21	1038	2739	1
ENSG00000181291.5	TMEM132E	ENST00000321639.5	328	2955	1086	1
ENSG00000182220.9	ATP6AP2	ENST00000378438.4	158	1053	882	1
ENSG00000182985.12	CADM1	ENST00000542447.2	129	1245	2849	1
ENSG00000183255.7	PTTG1IP	ENST00000330938.3	221	543	1996	1
ENSG00000183291.11	SEP15	ENST00000331835.5	263	489	1025	1
ENSG00000183722.7	LHFP	ENST00000379589.3	463	603	1044	1
ENSG00000184164.10	CRELD2	ENST00000328268.4	74	1062	221	1
ENSG00000184232.4	OAF	ENST00000328965.4	513	822	1190	1
ENSG00000184613.6	NELL2	ENST00000452445.2	93	2451	652	1
ENSG00000184916.4	JAG2	ENST00000331782.3	404	3717	1714	1
ENSG00000184992.10	BRI3BP	ENST00000341446.8	91	756	5801	1
ENSG00000185127.5	C6orf120	ENST00000332290.2	299	576	3270	1
ENSG00000185164.10	NOMO2	ENST00000330537.6	171	3669	512	1
ENSG00000185475.4	TMEM179B	ENST00000333449.4	5	660	358	1
ENSG00000185624.10	P4HB	ENST00000331483.4	223	1527	853	1
ENSG00000185896.9	LAMP1	ENST00000332556.4	194	1254	1251	1
ENSG00000186283.9	TOR3A	ENST00000367627.3	752	1194	778	1
ENSG00000186866.12	POFUT2	ENST00000349485.5	27	1290	1554	1
ENSG00000187498.10	COL4A1	ENST00000375820.4	122	5010	1392	1
ENSG00000188157.9	AGRN	ENST00000379370.2	50	6138	1135	1
ENSG00000188211.4	NCR3LG1	ENST00000338965.4	244	1365	4829	1
ENSG00000196352.9	CD55	ENST00000367064.3	258	1146	1356	1
ENSG00000196411.5	EPHB4	ENST00000358173.3	469	2964	896	1
ENSG00000196562.10	SULF2	ENST00000484875.1	669	2613	956	1
ENSG00000196576.10	PLXNB2	ENST00000359337.4	109	5517	725	1
ENSG00000196743.4	GM2A	ENST00000357164.3	325	582	2989	1
ENSG00000196776.10	CD47	ENST00000355354.7	117	918	3985	1
ENSG00000196950.9	SLC39A10	ENST00000359634.5	165	2496	2661	1
ENSG00000197081.8	IGF2R	ENST00000356956.1	148	7476	1467	1
ENSG00000197746.9	PSAP	ENST00000394936.3	148	1575	1143	1
ENSG00000197930.8	ERO1L	ENST00000395686.3	224	1407	3654	1
ENSG00000197965.7	MPZL1	ENST00000392121.3	163	360	2898	1
ENSG00000198715.7	C1orf85	ENST00000362007.1	27	1221	356	1
ENSG00000198732.6	SMOC1	ENST00000381280.4	253	1305	2108	1
ENSG00000198843.8	SELT	ENST00000471696.1	75	588	2806	1
ENSG00000198951.7	NAGA	ENST00000396398.3	533	1236	1925	1
ENSG00000205213.9	LGR4	ENST00000389858.4	473	2784	1906	1
ENSG00000234745.5	HLA-B	ENST00000412585.2	29	1089	429	1
ENSG00000243646.4	IL10RB	ENST00000290200.2	108	978	877	1
ENSG00000244038.5	DDOST	ENST00000602624.2	41	1320	602	1
ENSG00000250722.1	SEPP1	ENST00000514985.1	257	1146	840	1
ENSG00000257727.1	CNPY2	ENST00000273308.4	541	549	119	1
