gene_id	Symbol	Transcript.stable.ID.version	l_utr5	l_cds	l_utr3	start
ENSG00000076351.8	SLC46A1	ENST00000440501.1	96	1380	5011	85
ENSG00000077232.12	DNAJC10	ENST00000418559.1	0	828	2160	17
ENSG00000077782.15	FGFR1	ENST00000425967.3	323	2562	2490	406
ENSG00000079215.9	SLC1A3	ENST00000265113.4	476	1629	2065	44
ENSG00000080189.10	SLC35C2	ENST00000372230.5	282	1098	866	12
ENSG00000080815.14	PSEN1	ENST00000357710.4	272	1392	1112	78
ENSG00000080822.12	CLDND1	ENST00000341181.6	213	762	1186	5
ENSG00000081087.10	OSTM1	ENST00000193322.3	86	1005	3376	13
ENSG00000081177.14	EXD2	ENST00000409018.3	128	1866	1258	7
ENSG00000082996.15	RNF13	ENST00000361785.6	128	789	1022	63
ENSG00000084073.4	ZMPSTE24	ENST00000372759.3	165	1428	1515	20
ENSG00000084444.9	KIAA1467	ENST00000197268.8	120	1869	2819	104
ENSG00000085563.10	ABCB1	ENST00000265724.3	418	3843	384	49
ENSG00000086062.8	B4GALT1	ENST00000379731.4	187	1197	2817	21
ENSG00000086289.7	EPDR1	ENST00000199448.4	379	675	1545	15
ENSG00000087253.7	LPCAT2	ENST00000262134.5	184	1635	3572	58
ENSG00000087301.4	TXNDC16	ENST00000281741.4	372	2478	1714	5
ENSG00000089057.10	SLC23A2	ENST00000338244.1	375	1953	4616	98
ENSG00000090054.9	SPTLC1	ENST00000262554.2	6	1422	466	20
ENSG00000090432.5	MUL1	ENST00000264198.3	137	1059	1240	10
ENSG00000090661.7	CERS4	ENST00000559450.1	140	1185	32	39
ENSG00000090971.4	NAT14	ENST00000205194.4	303	621	612	55
ENSG00000091317.7	CMTM6	ENST00000205636.3	663	552	2648	68
ENSG00000091947.5	TMEM101	ENST00000206380.3	25	774	737	21
ENSG00000092931.7	MFSD11	ENST00000336509.4	254	1350	934	10
ENSG00000095209.7	TMEM38B	ENST00000374692.3	117	876	2532	47
ENSG00000099194.5	SCD	ENST00000370355.2	381	1080	3901	71
ENSG00000099219.9	ERMP1	ENST00000339450.5	90	2715	2571	409
ENSG00000099282.5	TSPAN15	ENST00000373290.2	122	885	691	22
ENSG00000099797.7	TECR	ENST00000215567.5	137	927	107	85
ENSG00000099904.11	ZDHHC8	ENST00000320602.7	0	2022	1050	15
ENSG00000099958.10	DERL3	ENST00000406855.3	19	720	324	15
ENSG00000100196.6	KDELR3	ENST00000216014.4	172	645	911	56
ENSG00000100242.11	SUN2	ENST00000216064.4	217	2154	1537	213
ENSG00000100258.13	LMF2	ENST00000474879.2	16	2124	442	12
ENSG00000100321.10	SYNGR1	ENST00000318801.4	86	576	691	27
ENSG00000100528.7	CNIH1	ENST00000216416.4	104	435	878	7
ENSG00000100532.7	CGRRF1	ENST00000216420.7	132	999	466	15
ENSG00000100564.4	PIGH	ENST00000216452.4	84	567	769	36
ENSG00000100612.9	DHRS7	ENST00000557185.1	184	1020	182	5
ENSG00000100997.14	ABHD12	ENST00000339157.5	273	1197	647	76
ENSG00000101187.11	SLCO4A1	ENST00000217159.1	205	2169	402	106
ENSG00000101290.9	CDS2	ENST00000460006.1	307	1338	7653	68
ENSG00000101294.12	HM13	ENST00000340852.5	124	1134	348	32
ENSG00000101474.7	APMAP	ENST00000217456.2	291	1251	888	38
ENSG00000101856.8	PGRMC1	ENST00000217971.7	111	588	1212	20
ENSG00000101974.10	ATP11C	ENST00000433868.1	0	496	2617	25
ENSG00000102003.6	SYP	ENST00000263233.4	73	942	1471	106
ENSG00000102007.6	PLP2	ENST00000376327.5	75	459	545	25
ENSG00000102100.10	SLC35A2	ENST00000445167.2	20	729	977	37
ENSG00000102158.15	MAGT1	ENST00000358075.6	87	1104	2856	39
ENSG00000102471.9	NDFIP2	ENST00000218652.7	52	1011	3562	232
ENSG00000103064.9	SLC7A6	ENST00000219343.6	212	1548	4491	45
ENSG00000103222.14	ABCC1	ENST00000399410.3	175	4596	1781	36
ENSG00000103249.13	CLCN7	ENST00000448525.1	110	2346	1697	102
ENSG00000103257.4	SLC7A5	ENST00000565644.1	310	726	2947	10
ENSG00000103335.15	PIEZO1	ENST00000301015.9	247	7566	259	10
ENSG00000103429.6	BFAR	ENST00000261658.2	277	1353	1409	142
ENSG00000103502.9	CDIPT	ENST00000569956.1	86	642	804	7
ENSG00000104331.4	IMPAD1	ENST00000262644.4	259	1080	5860	7
ENSG00000104341.12	LAPTM4B	ENST00000445593.2	680	954	1539	117
ENSG00000104549.7	SQLE	ENST00000523430.1	103	1440	336	423
ENSG00000104660.13	LEPROTL1	ENST00000321250.8	115	396	2662	7
ENSG00000104853.11	CLPTM1	ENST00000337392.5	150	2010	444	355
ENSG00000105135.11	ILVBL	ENST00000263383.3	140	1899	265	12
ENSG00000105281.8	SLC1A5	ENST00000542575.2	629	1626	627	53
ENSG00000105290.7	APLP1	ENST00000586861.1	65	1935	52	575
ENSG00000105404.6	RABAC1	ENST00000222008.6	98	558	165	78
ENSG00000105409.11	ATP1A3	ENST00000441343.1	138	3680	0	88
ENSG00000105438.4	KDELR1	ENST00000330720.2	195	639	723	56
ENSG00000105518.9	TMEM205	ENST00000593256.2	183	570	39	15
ENSG00000105677.7	TMEM147	ENST00000222284.5	145	675	79	4
ENSG00000105699.12	LSR	ENST00000354900.3	107	1893	105	241
ENSG00000105726.12	ATP13A1	ENST00000291503.5	0	3261	222	144
ENSG00000105854.8	PON2	ENST00000536183.1	184	1128	467	21
ENSG00000105983.15	LMBR1	ENST00000415428.1	0	1590	1867	15
ENSG00000106025.4	TSPAN12	ENST00000222747.3	608	918	1270	13
ENSG00000106460.14	TMEM106B	ENST00000396668.3	187	825	1114	96
ENSG00000106537.7	TSPAN13	ENST00000262067.4	433	615	1045	13
ENSG00000106609.12	TMEM248	ENST00000341567.4	255	945	3029	20
ENSG00000106771.8	TMEM245	ENST00000374586.3	32	2640	5308	54
ENSG00000107281.5	NPDC1	ENST00000371600.3	673	1212	302	260
ENSG00000107566.9	ERLIN1	ENST00000407654.3	83	1047	323	7
ENSG00000108219.10	TSPAN14	ENST00000372164.3	59	762	4655	13
ENSG00000108639.3	SYNGR2	ENST00000225777.3	59	675	1591	26
ENSG00000109016.13	DHRS7B	ENST00000395511.3	320	978	877	21
ENSG00000109084.9	TMEM97	ENST00000226230.6	145	531	1888	12
ENSG00000109099.9	PMP22	ENST00000395938.2	195	483	1139	2
ENSG00000109133.8	TMEM33	ENST00000504986.1	365	744	6373	27
ENSG00000109572.9	CLCN3	ENST00000513761.1	559	2457	3676	128
ENSG00000109586.7	GALNT7	ENST00000265000.4	83	1974	2250	7
ENSG00000109736.10	MFSD10	ENST00000355443.4	112	1368	273	24
ENSG00000109929.5	SC5D	ENST00000264027.4	374	900	1182	36
ENSG00000110328.5	GALNT18	ENST00000227756.4	412	1824	268	13
ENSG00000110651.7	CD81	ENST00000263645.5	256	711	553	13
ENSG00000110660.10	SLC35F2	ENST00000525815.1	421	1125	1624	42
ENSG00000110911.10	SLC11A2	ENST00000262052.5	113	1686	2333	96
ENSG00000111371.11	SLC38A1	ENST00000398637.5	695	1464	5907	75
ENSG00000111666.6	CHPT1	ENST00000229266.3	235	1221	129	60
ENSG00000111670.10	GNPTAB	ENST00000299314.7	263	3771	1667	20
ENSG00000111684.6	LPCAT3	ENST00000261407.4	86	1464	718	40
ENSG00000111711.5	GOLT1B	ENST00000229314.5	109	417	2701	13
ENSG00000111775.2	COX6A1	ENST00000229379.2	37	330	205	40
ENSG00000111885.5	MAN1A1	ENST00000368468.3	442	1962	2610	4
ENSG00000111962.7	UST	ENST00000367463.4	103	1221	2874	48
ENSG00000112378.11	PERP	ENST00000421351.3	171	582	3537	13
ENSG00000112394.12	SLC16A10	ENST00000368851.5	175	1548	785	77
ENSG00000112697.11	TMEM30A	ENST00000230461.6	330	1086	3178	44
ENSG00000112759.12	SLC29A1	ENST00000371755.3	128	1371	613	13
ENSG00000112893.5	MAN2A1	ENST00000261483.4	1052	3435	180	7
ENSG00000113161.11	HMGCR	ENST00000287936.4	156	2667	1762	20
ENSG00000113583.6	C5orf15	ENST00000231512.3	203	798	1349	199
ENSG00000113719.11	ERGIC1	ENST00000393784.3	139	873	1869	20
ENSG00000113732.4	ATP6V0E1	ENST00000519374.1	104	246	1083	6
ENSG00000114395.6	CYB561D2	ENST00000232508.5	231	669	325	20
ENSG00000114529.8	C3orf52	ENST00000264848.5	59	654	1564	66
ENSG00000114544.11	SLC41A3	ENST00000360370.4	44	1464	661	65
ENSG00000114554.7	PLXNA1	ENST00000251772.4	69	5622	3375	1222
ENSG00000114650.14	SCAP	ENST00000265565.5	413	3840	141	20
ENSG00000114770.12	ABCC5	ENST00000334444.6	241	4314	1366	179
ENSG00000114850.2	SSR3	ENST00000265044.2	95	558	3063	29
ENSG00000114902.9	SPCS1	ENST00000602728.1	169	309	354	20
ENSG00000115084.8	SLC35F5	ENST00000245680.2	414	1572	2426	69
ENSG00000115107.15	STEAP3	ENST00000425223.2	74	1467	2311	214
ENSG00000115307.12	AUP1	ENST00000377526.3	310	1233	152	23
ENSG00000115310.13	RTN4	ENST00000317610.7	244	1122	967	206
ENSG00000115446.7	UNC50	ENST00000357765.2	152	780	211	83
ENSG00000115652.10	UXS1	ENST00000409501.3	58	1263	518	20
ENSG00000116133.7	DHCR24	ENST00000371269.3	99	1551	2600	5
ENSG00000116237.11	ICMT	ENST00000343813.5	29	855	3887	16
ENSG00000116521.6	SCAMP3	ENST00000302631.3	108	1044	294	169
ENSG00000116678.14	LEPR	ENST00000371060.3	185	2691	2259	7
ENSG00000116685.11	KIAA2013	ENST00000376572.3	186	1905	724	21
ENSG00000116729.9	WLS	ENST00000262348.4	254	1626	868	13
ENSG00000116815.11	CD58	ENST00000369489.5	67	753	278	13
ENSG00000117262.14	GPR89A	ENST00000313835.9	144	1368	608	4
ENSG00000117298.10	ECE1	ENST00000415912.2	126	2265	2708	53
ENSG00000117362.8	APH1A	ENST00000369109.3	189	798	726	4
ENSG00000117394.15	SLC2A1	ENST00000426263.3	179	1479	1660	12
ENSG00000117410.9	ATP6V0B	ENST00000472174.2	393	618	287	7
ENSG00000117479.8	SLC19A2	ENST00000236137.5	237	1494	1940	29
ENSG00000117620.8	SLC35A3	ENST00000533028.1	227	978	4013	7
ENSG00000117868.11	ESYT2	ENST00000251527.5	66	2682	3212	98
ENSG00000118363.7	SPCS2	ENST00000263672.6	39	681	1988	80
ENSG00000118402.5	ELOVL4	ENST00000369816.4	301	945	1796	47
ENSG00000118855.14	MFSD1	ENST00000471500.1	0	195	1902	38
ENSG00000119899.11	SLC17A5	ENST00000355773.5	269	1488	1698	42
ENSG00000120451.6	SNX19	ENST00000265909.4	570	2979	2986	29
ENSG00000120697.4	ALG5	ENST00000239891.3	67	975	112	4
ENSG00000120889.8	TNFRSF10B	ENST00000276431.4	285	1323	2538	209
ENSG00000120942.9	UBIAD1	ENST00000376810.5	326	1017	2303	83
ENSG00000121039.5	RDH10	ENST00000240285.5	678	1026	2245	5
ENSG00000121057.8	AKAP1	ENST00000337714.3	233	2712	1025	7
ENSG00000121073.9	SLC35B1	ENST00000415270.2	7	1080	500	49
ENSG00000122643.14	NT5C3A	ENST00000610140.1	74	996	600	9
ENSG00000123179.9	EBPL	ENST00000242827.6	51	621	242	10
ENSG00000123353.5	ORMDL2	ENST00000548974.1	91	462	118	21
ENSG00000125037.8	EMC3	ENST00000470827.2	335	235	0	15
ENSG00000125247.11	TMTC4	ENST00000342624.5	259	2283	1060	130
ENSG00000125257.9	ABCC4	ENST00000376887.4	115	3978	1744	91
ENSG00000125266.6	EFNB2	ENST00000245323.4	150	1002	3309	228
ENSG00000125844.11	RRBP1	ENST00000246043.4	0	4233	504	9
ENSG00000125912.6	NCLN	ENST00000592737.1	0	848	1887	240
ENSG00000125991.14	ERGIC3	ENST00000348547.2	77	1152	130	20
ENSG00000126062.3	TMEM115	ENST00000266025.3	547	1056	594	13
ENSG00000126773.8	PCNXL4	ENST00000404681.2	0	3519	588	39
ENSG00000126777.13	KTN1	ENST00000395314.3	68	4074	476	7
ENSG00000126821.7	SGPP1	ENST00000247225.6	95	1326	1891	131
ENSG00000127526.9	SLC35E1	ENST00000595753.1	18	1233	3848	165
ENSG00000127948.9	POR	ENST00000461988.1	105	2043	374	23
ENSG00000127990.11	SGCE	ENST00000265735.7	111	1314	269	317
ENSG00000128039.6	SRD5A3	ENST00000264228.4	228	957	3005	12
ENSG00000128463.8	EMC4	ENST00000267750.4	116	552	368	88
ENSG00000128699.9	ORMDL1	ENST00000392350.3	103	462	1444	21
ENSG00000128973.7	CLN6	ENST00000249806.5	158	936	1148	47
ENSG00000129128.8	SPCS3	ENST00000503362.1	113	543	3915	10
ENSG00000129255.10	MPDU1	ENST00000250124.6	216	744	641	45
ENSG00000129353.10	SLC44A2	ENST00000407327.4	21	2115	1165	32
ENSG00000129562.6	DAD1	ENST00000250498.4	112	342	277	29
ENSG00000129625.8	REEP5	ENST00000379638.4	349	570	2399	35
ENSG00000130193.7	THEM6	ENST00000336138.3	144	627	1488	2
ENSG00000130303.8	BST2	ENST00000252593.6	73	543	403	22
ENSG00000130714.11	POMT1	ENST00000341012.7	196	2016	700	15
ENSG00000130733.6	YIPF2	ENST00000586748.1	173	951	426	125
ENSG00000130962.13	PRRG1	ENST00000378628.4	162	657	3674	84
ENSG00000131067.12	GGT7	ENST00000336431.5	45	1989	608	109
ENSG00000131389.12	SLC6A6	ENST00000360861.3	303	1863	4340	50
ENSG00000131446.11	MGAT1	ENST00000307826.4	332	1338	1091	7
ENSG00000131748.11	STARD3	ENST00000336308.5	218	1338	576	52
ENSG00000131871.10	VIMP	ENST00000526049.1	29	570	589	26
ENSG00000133027.13	PEMT	ENST00000255389.5	74	711	228	41
ENSG00000133065.6	SLC41A1	ENST00000367137.3	1015	1542	2440	98
ENSG00000133318.9	RTN3	ENST00000537981.1	137	711	1684	69
ENSG00000133657.10	ATP13A3	ENST00000429136.1	0	487	3242	12
ENSG00000133678.9	TMEM254	ENST00000372281.3	30	372	1640	13
ENSG00000133687.11	TMTC1	ENST00000256062.5	474	2325	6006	4
ENSG00000133874.1	RNF122	ENST00000256257.1	402	468	998	37
ENSG00000133935.6	C14orf1	ENST00000256319.6	446	423	1764	5
ENSG00000134109.6	EDEM1	ENST00000256497.4	133	1974	4039	5
ENSG00000134255.9	CEPT1	ENST00000357172.4	155	1251	792	83
ENSG00000134294.9	SLC38A2	ENST00000256689.5	445	1521	2922	69
ENSG00000134910.8	STT3A	ENST00000531491.1	240	1842	78	20
ENSG00000135052.12	GOLM1	ENST00000388712.3	169	1206	1671	13
ENSG00000135124.10	P2RX4	ENST00000337233.4	308	1167	557	28
ENSG00000135211.5	TMEM60	ENST00000257663.3	377	402	244	9
ENSG00000135317.8	SNX14	ENST00000314673.3	177	2841	468	24
ENSG00000135404.7	CD63	ENST00000257857.4	279	717	74	13
ENSG00000135452.5	TSPAN31	ENST00000257910.3	274	633	942	12
ENSG00000135677.6	GNS	ENST00000258145.3	171	1659	3292	21
ENSG00000135750.10	KCNK1	ENST00000366621.3	168	1011	982	20
ENSG00000135916.11	ITM2C	ENST00000326427.6	126	804	1148	58
ENSG00000135926.8	TMBIM1	ENST00000258412.3	152	936	1283	102
ENSG00000136026.9	CKAP4	ENST00000378026.4	137	1809	1147	109
ENSG00000136156.8	ITM2B	ENST00000378565.5	203	801	1100	52
ENSG00000136240.5	KDELR2	ENST00000258739.4	185	639	2060	56
ENSG00000136295.10	TTYH3	ENST00000258796.7	205	1572	3063	42
ENSG00000136720.6	HS6ST1	ENST00000259241.6	14	1236	2682	20
ENSG00000136731.8	UGGT1	ENST00000259253.6	47	4668	5935	13
ENSG00000136802.7	LRRC8A	ENST00000372599.3	63	2433	1665	26
ENSG00000136868.9	SLC31A1	ENST00000374212.4	152	573	4019	58
ENSG00000136986.5	DERL1	ENST00000259512.4	301	756	2283	20
ENSG00000137207.7	YIPF3	ENST00000372422.2	183	1053	340	149
ENSG00000137216.14	TMEM63B	ENST00000323267.6	64	2499	635	40
ENSG00000137404.10	NRM	ENST00000376421.5	18	789	609	5
ENSG00000137414.5	FAM8A1	ENST00000259963.3	55	1242	3380	255
ENSG00000137522.13	RNF121	ENST00000530137.1	38	888	1276	21
ENSG00000137824.11	RMDN3	ENST00000338376.3	185	1413	653	13
ENSG00000137842.2	TMEM62	ENST00000260403.2	279	1932	560	7
ENSG00000138018.13	EPT1	ENST00000260585.7	119	1194	6788	47
ENSG00000138074.10	SLC5A6	ENST00000310574.3	474	1908	849	24
ENSG00000139044.6	B4GALNT3	ENST00000266383.5	13	2997	2058	25
ENSG00000139291.9	TMEM19	ENST00000266673.5	594	1011	3061	15
ENSG00000139324.7	TMTC3	ENST00000266712.6	220	2745	4238	9
ENSG00000139370.6	SLC15A4	ENST00000266771.5	40	1734	1002	15
ENSG00000139514.8	SLC7A1	ENST00000380752.5	387	1890	5070	37
ENSG00000139624.8	CERS5	ENST00000317551.6	125	1179	720	47
ENSG00000139629.11	GALNT6	ENST00000543196.2	206	1869	3132	9
ENSG00000139636.11	LMBR1L	ENST00000267102.8	343	1470	536	20
ENSG00000139641.8	ESYT1	ENST00000394048.5	264	3315	809	68
ENSG00000139644.8	TMBIM6	ENST00000267115.5	85	714	2034	30
ENSG00000140284.6	SLC27A2	ENST00000267842.5	232	1863	299	5
ENSG00000140391.10	TSPAN3	ENST00000561277.1	679	138	775	4
ENSG00000140497.12	SCAMP2	ENST00000268099.9	110	990	1353	152
ENSG00000140688.12	C16orf58	ENST00000327237.2	40	1407	1346	248
ENSG00000140931.15	CMTM3	ENST00000460097.1	251	291	1255	17
ENSG00000141349.4	G6PC3	ENST00000269097.4	231	1041	261	26
ENSG00000141429.9	GALNT1	ENST00000269195.5	103	1680	2064	7
ENSG00000141699.6	FAM134C	ENST00000309428.5	60	1401	2298	79
ENSG00000141736.9	ERBB2	ENST00000541774.1	0	3723	618	638
ENSG00000141873.6	SLC39A3	ENST00000545664.1	195	972	52	5
ENSG00000142188.12	TMEM50B	ENST00000542230.2	215	477	1683	25
ENSG00000142227.6	EMP3	ENST00000270221.6	301	492	83	2
ENSG00000142494.9	SLC47A1	ENST00000270570.4	86	1713	1481	37
ENSG00000142687.13	KIAA0319L	ENST00000325722.3	235	3150	1404	930
ENSG00000143147.10	GPR161	ENST00000271357.5	79	1590	753	31
ENSG00000143153.8	ATP1B1	ENST00000367816.1	529	912	1167	35
ENSG00000143315.5	PIGM	ENST00000368090.2	254	1272	2796	15
ENSG00000143324.9	XPR1	ENST00000367590.4	198	2091	6185	235
ENSG00000143337.14	TOR1AIP1	ENST00000435319.4	170	1389	1838	217
ENSG00000143418.15	CERS2	ENST00000560793.2	0	686	975	28
ENSG00000143515.12	ATP8B2	ENST00000368489.3	0	3672	2189	102
ENSG00000143570.13	SLC39A1	ENST00000356205.4	110	975	999	33
ENSG00000143643.8	TTC13	ENST00000366661.4	8	2583	662	12
ENSG00000143753.8	DEGS1	ENST00000323699.4	166	972	963	43
ENSG00000143771.7	CNIH4	ENST00000366856.3	32	414	362	5
ENSG00000143801.12	PSEN2	ENST00000366783.3	436	1347	519	88
ENSG00000143815.10	LBR	ENST00000272163.4	96	1848	1801	209
ENSG00000144043.7	TEX261	ENST00000272438.4	188	591	2662	7
ENSG00000144136.6	SLC20A1	ENST00000272542.3	539	2040	802	21
ENSG00000144320.9	KIAA1715	ENST00000272748.4	248	1287	6075	44
ENSG00000144468.12	RHBDD1	ENST00000341329.3	242	948	3693	103
ENSG00000144724.14	PTPRG	ENST00000474889.1	377	4338	4306	737
ENSG00000144746.6	ARL6IP5	ENST00000273258.3	104	567	1430	36
ENSG00000144867.7	SRPRB	ENST00000466490.2	285	816	1726	37
ENSG00000145284.7	SCD5	ENST00000319540.4	320	993	1788	45
ENSG00000145354.5	CISD2	ENST00000273986.4	107	408	1812	38
ENSG00000145495.10	MARCH6	ENST00000274140.5	132	2733	6704	92
ENSG00000145569.5	FAM105A	ENST00000274217.3	120	1071	2406	40
ENSG00000145730.16	PAM	ENST00000504691.1	0	752	665	21
ENSG00000145740.14	SLC30A5	ENST00000396591.3	610	2298	1452	58
ENSG00000145860.7	RNF145	ENST00000274542.2	27	2076	1261	81
ENSG00000146072.6	TNFRSF21	ENST00000296861.2	394	1968	1233	350
ENSG00000146409.6	SLC18B1	ENST00000275227.4	97	1371	900	35
ENSG00000146416.12	AIG1	ENST00000357847.4	50	717	628	13
ENSG00000146433.8	TMEM181	ENST00000367090.3	11	1839	3540	154
ENSG00000146842.12	TMEM209	ENST00000397622.2	123	1686	1736	28
ENSG00000147100.5	SLC16A2	ENST00000587091.1	177	1620	2364	98
ENSG00000147649.5	MTDH	ENST00000336273.3	328	1749	4100	50
ENSG00000147955.12	SIGMAR1	ENST00000277010.4	74	672	910	9
ENSG00000148110.11	HIATL1	ENST00000375344.3	269	1521	1630	45
ENSG00000148175.8	STOM	ENST00000286713.2	18	867	2125	32
ENSG00000148248.9	SURF4	ENST00000371989.3	130	810	2044	63
ENSG00000149084.7	HSD17B12	ENST00000278353.4	119	939	1362	4
ENSG00000149150.4	SLC43A1	ENST00000528450.1	118	1680	560	20
ENSG00000149328.10	GLB1L2	ENST00000535456.2	188	1911	1266	13
ENSG00000149485.12	FADS1	ENST00000350997.7	233	1506	2784	188
ENSG00000149541.5	B3GAT3	ENST00000265471.5	228	1008	405	7
ENSG00000149809.10	TM7SF2	ENST00000279263.7	162	1257	303	13
ENSG00000151233.6	GXYLT1	ENST00000398675.3	233	1323	5941	7
ENSG00000151348.9	EXT2	ENST00000533608.1	334	2157	645	24
ENSG00000151353.10	TMEM18	ENST00000355654.2	0	384	391	15
ENSG00000151366.8	NDUFC2	ENST00000528164.1	117	324	120	56
ENSG00000151665.8	PIGF	ENST00000306465.4	103	621	337	9
ENSG00000152127.4	MGAT5	ENST00000409645.1	252	2226	5774	13
ENSG00000152661.7	GJA1	ENST00000282561.3	157	1149	1731	24
ENSG00000152683.10	SLC30A6	ENST00000282587.5	37	1386	3666	34
ENSG00000152939.10	MARVELD2	ENST00000454295.2	59	1641	2676	193
ENSG00000153395.5	LPCAT1	ENST00000283415.3	133	1605	2228	53
ENSG00000153898.8	MCOLN2	ENST00000370608.3	68	1701	1100	292
ENSG00000153982.6	GDPD1	ENST00000284116.4	137	945	739	5
ENSG00000154511.7	FAM69A	ENST00000370310.4	71	1287	1216	28
ENSG00000154889.12	MPPE1	ENST00000588191.1	658	494	0	21
ENSG00000154978.8	VOPP1	ENST00000545390.1	0	510	2241	56
ENSG00000155254.8	MARVELD1	ENST00000285605.6	153	522	2544	31
ENSG00000155256.13	ZFYVE27	ENST00000370613.3	202	861	1606	67
ENSG00000155380.7	SLC16A1	ENST00000369626.3	363	1503	2044	15
ENSG00000155850.7	SLC26A2	ENST00000286298.4	268	2220	5592	112
ENSG00000155957.12	TMBIM4	ENST00000542724.1	131	624	121	10
ENSG00000155984.10	TMEM185A	ENST00000316916.8	305	1053	1455	13
ENSG00000156298.8	TSPAN7	ENST00000378482.2	177	750	982	17
ENSG00000156471.8	PTDSS1	ENST00000337004.4	128	327	1911	37
ENSG00000156599.6	ZDHHC5	ENST00000287169.3	1362	2148	1156	13
ENSG00000156671.8	SAMD8	ENST00000542569.1	103	1248	5431	152
ENSG00000156875.9	HIAT1	ENST00000370152.3	136	1473	1168	37
