gene_id	Symbol	tpm_cutoff	localization_cat	loc_tar_CDS	log2FoldChange.ribo.rna.KO.WT
ENSG00000026508.12	CD44	10.03	membrane	membrane_tc>5.56 & tc<65.26	-0.0157340797852034
ENSG00000027697.8	IFNGR1	22.04	membrane	membrane_tc>1.66 & tc<5.56	0.0638250096516288
ENSG00000027847.9	B4GALT7	13.49	membrane	membrane_tc<1.66	-0.13947827645463
ENSG00000028203.13	VEZT	33.165	membrane	nontarget_membrane	-0.156007880293957
ENSG00000029364.7	SLC39A9	28.43	membrane	membrane_tc>1.66 & tc<5.56	-0.0380874889146569
ENSG00000030582.12	GRN	72.75	membrane	membrane_tc>1.66 & tc<5.56	-0.0701336002234924
ENSG00000033011.7	ALG1	18.025	membrane	membrane_tc>1.66 & tc<5.56	0.0322276445140637
ENSG00000033100.10	CHPF2	11.595	membrane	nontarget_membrane	0.0751624972932834
ENSG00000033170.12	FUT8	11.06	membrane	nontarget_membrane	0.175032991619004
ENSG00000033627.10	ATP6V0A1	27.2	membrane	membrane_tc>5.56 & tc<65.26	-0.021796099074772
ENSG00000035862.8	TIMP2	12.105	membrane	membrane_tc>5.56 & tc<65.26	-0.0679343054936665
ENSG00000037749.7	MFAP3	23.74	membrane	nontarget_membrane	0.0377557587497085
ENSG00000038002.4	AGA	10.42	membrane	membrane_tc<1.66	-0.0883877329396488
ENSG00000040487.8	PQLC2	13.9	membrane	nontarget_membrane	-0.161753018200193
ENSG00000042445.9	RETSAT	12.345	membrane	membrane_tc>5.56 & tc<65.26	-0.147452552880812
ENSG00000044574.7	HSPA5	67.465	membrane	membrane_tc>1.66 & tc<5.56	-0.157521504573315
ENSG00000046604.8	DSG2	24.995	membrane	membrane_tc>5.56 & tc<65.26	-0.202114250243096
ENSG00000046653.10	GPM6B	20.53	membrane	nontarget_membrane	-0.0417517113730382
ENSG00000049449.4	RCN1	102.995	membrane	membrane_tc<1.66	-0.0995857198553063
ENSG00000049656.9	CLPTM1L	100.45	membrane	membrane_tc>1.66 & tc<5.56	0.147739191412714
ENSG00000049860.9	HEXB	74.435	membrane	membrane_tc>1.66 & tc<5.56	-0.273525068822732
ENSG00000050130.13	JKAMP	25.6	membrane	membrane_tc>1.66 & tc<5.56	0.0274001777515062
ENSG00000051108.10	HERPUD1	36.635	membrane	nontarget_membrane	0.117298552479916
ENSG00000051523.6	CYBA	172.77	membrane	membrane_tc<1.66	0.188906364010593
ENSG00000052802.8	MSMO1	31.665	membrane	nontarget_membrane	-0.0691306438947347
ENSG00000052841.10	TTC17	19.04	membrane	membrane_tc>1.66 & tc<5.56	-0.236329530304268
ENSG00000054793.9	ATP9A	12.19	membrane	membrane_tc>1.66 & tc<5.56	0.143017091602422
ENSG00000055211.8	GINM1	32.105	membrane	membrane_tc>1.66 & tc<5.56	0.116188001448806
ENSG00000055732.8	MCOLN3	10.765	membrane	nontarget_membrane	-0.013317644969459
ENSG00000057252.8	SOAT1	15.935	membrane	membrane_tc>5.56 & tc<65.26	-0.194972039981489
ENSG00000058063.11	ATP11B	16.275	membrane	membrane_tc>1.66 & tc<5.56	-0.182991074942776
ENSG00000058262.5	SEC61A1	58.055	membrane	membrane_tc>5.56 & tc<65.26	0.018776373784729
ENSG00000058799.9	YIPF1	18.49	membrane	nontarget_membrane	0.0387354232382634
ENSG00000058804.10	NDC1	58.815	membrane	nontarget_membrane	0.00690214356886752
ENSG00000060656.15	PTPRU	16.845	membrane	membrane_tc>5.56 & tc<65.26	-0.0444724710710913
ENSG00000062716.6	VMP1	41.24	membrane	membrane_tc>1.66 & tc<5.56	-0.066991004604413
ENSG00000064115.6	TM7SF3	52.255	membrane	membrane_tc>1.66 & tc<5.56	0.00567481893574269
ENSG00000064545.10	TMEM161A	36.51	membrane	membrane_tc>1.66 & tc<5.56	-0.0629832235370321
ENSG00000064601.12	CTSA	20.13	membrane	membrane_tc>5.56 & tc<65.26	-0.195633399881223
ENSG00000064651.9	SLC12A2	12.085	membrane	membrane_tc>5.56 & tc<65.26	-0.265341408074642
ENSG00000065320.4	NTN1	11.305	membrane	membrane_tc>1.66 & tc<5.56	0.0538546652222862
ENSG00000065600.8	TMEM206	17.415	membrane	membrane_tc>1.66 & tc<5.56	0.0687035451014267
ENSG00000065665.16	SEC61A2	14.1	membrane	membrane_tc>5.56 & tc<65.26	-0.301358002975727
ENSG00000065923.5	SLC9A7	10.035	membrane	membrane_tc>1.66 & tc<5.56	0.232999197973572
ENSG00000066322.8	ELOVL1	38.61	membrane	membrane_tc>5.56 & tc<65.26	0.0220258174212439
ENSG00000066468.16	FGFR2	18.83	membrane	membrane_tc<1.66	0.00244549864923819
ENSG00000067141.12	NEO1	28.915	membrane	membrane_tc>5.56 & tc<65.26	-0.17980827581211
ENSG00000067167.3	TRAM1	75.995	membrane	membrane_tc>5.56 & tc<65.26	0.0180886583492548
ENSG00000067182.3	TNFRSF1A	21.435	membrane	nontarget_membrane	-0.204880599248718
ENSG00000068001.9	HYAL2	11.205	membrane	nontarget_membrane	-0.267938430991683
ENSG00000068078.13	FGFR3	10.895	membrane	membrane_tc<1.66	-0.0277014153322932
ENSG00000068650.14	ATP11A	15.14	membrane	membrane_tc>1.66 & tc<5.56	0.0927915094412229
ENSG00000068697.6	LAPTM4A	78.855	membrane	membrane_tc>1.66 & tc<5.56	0.0806075027840159
ENSG00000068912.9	ERLEC1	29.525	membrane	membrane_tc<1.66	0.0949159745467131
ENSG00000069849.6	ATP1B3	104.62	membrane	membrane_tc>1.66 & tc<5.56	-0.0278201991127287
ENSG00000070018.4	LRP6	11.375	membrane	membrane_tc>1.66 & tc<5.56	-0.125037146558955
ENSG00000070081.11	NUCB2	28.87	membrane	membrane_tc<1.66	-0.252485102317383
ENSG00000070413.14	DGCR2	20.835	membrane	nontarget_membrane	0.0407611100561635
ENSG00000070886.6	EPHA8	10.825	membrane	membrane_tc<1.66	0.409230334777337
ENSG00000070961.10	ATP2B1	19.085	membrane	membrane_tc>5.56 & tc<65.26	-0.28100483132256
ENSG00000071553.12	ATP6AP1	76.74	membrane	membrane_tc>5.56 & tc<65.26	-0.0273993839108053
ENSG00000072041.12	SLC6A15	29.585	membrane	membrane_tc>5.56 & tc<65.26	-0.141458999488316
ENSG00000072042.8	RDH11	32.775	membrane	membrane_tc<1.66	-0.00486893394947232
ENSG00000072274.8	TFRC	45.82	membrane	nontarget_membrane	-0.123671086322958
ENSG00000072310.12	SREBF1	18.29	membrane	membrane_tc>5.56 & tc<65.26	-0.142900561856698
ENSG00000072682.14	P4HA2	12.915	membrane	membrane_tc>1.66 & tc<5.56	-0.0118062629380627
ENSG00000072849.6	DERL2	34.12	membrane	membrane_tc>1.66 & tc<5.56	0.235905985378004
ENSG00000073008.10	PVR	25.51	membrane	membrane_tc<1.66	0.111454364181938
ENSG00000073060.11	SCARB1	50.075	membrane	membrane_tc>5.56 & tc<65.26	0.0310161803741618
ENSG00000074695.5	LMAN1	38.52	membrane	membrane_tc>5.56 & tc<65.26	-0.168302250977874
ENSG00000074696.8	PTPLAD1	192.935	membrane	membrane_tc>1.66 & tc<5.56	-0.0671143117104326
ENSG00000074842.3	C19orf10	117.325	membrane	membrane_tc<1.66	0.306758061778194
ENSG00000075790.6	BCAP29	27.18	membrane	membrane_tc>1.66 & tc<5.56	-0.113559453708327
ENSG00000076351.8	SLC46A1	10.195	membrane	nontarget_membrane	0.218910795491657
ENSG00000076706.10	MCAM	15.42	membrane	membrane_tc>1.66 & tc<5.56	-0.0162037057280355
ENSG00000076716.7	GPC4	19.895	membrane	membrane_tc>5.56 & tc<65.26	-0.134276959362153
ENSG00000077147.10	TM9SF3	64.1	membrane	membrane_tc>5.56 & tc<65.26	-0.0964722656226153
ENSG00000077232.12	DNAJC10	22.215	membrane	membrane_tc>1.66 & tc<5.56	-0.0512500433726276
ENSG00000077782.15	FGFR1	31.4	membrane	membrane_tc<1.66	0.0964316013543767
ENSG00000077942.13	FBLN1	16.58	membrane	membrane_tc>5.56 & tc<65.26	-0.0913536375034756
ENSG00000078808.12	SDF4	90.995	membrane	membrane_tc>1.66 & tc<5.56	0.126482677499848
ENSG00000079150.13	FKBP7	13.35	membrane	nontarget_membrane	-0.238199718416735
ENSG00000079215.9	SLC1A3	18.03	membrane	membrane_tc>1.66 & tc<5.56	-0.190304732735106
ENSG00000079931.10	MOXD1	24.82	membrane	membrane_tc>5.56 & tc<65.26	0.0118580114483393
ENSG00000080189.10	SLC35C2	32.62	membrane	membrane_tc>1.66 & tc<5.56	0.139462696474724
ENSG00000080815.14	PSEN1	17.37	membrane	nontarget_membrane	-0.0242756399827235
ENSG00000080822.12	CLDND1	41.235	membrane	nontarget_membrane	0.108178935627067
ENSG00000080947.10	CROCCP3	11.435	membrane	nontarget_membrane	0.286950159241948
ENSG00000081087.10	OSTM1	18.86	membrane	membrane_tc>5.56 & tc<65.26	0.0780755915408475
ENSG00000081177.14	EXD2	13.96	membrane	membrane_tc>1.66 & tc<5.56	-0.055455289181989
ENSG00000082641.11	NFE2L1	50.285	membrane	membrane_tc>1.66 & tc<5.56	-0.140006592267953
ENSG00000082781.7	ITGB5	13.885	membrane	membrane_tc>1.66 & tc<5.56	0.139198883788198
ENSG00000082996.15	RNF13	14.29	membrane	membrane_tc<1.66	0.000261475994075854
ENSG00000083444.12	PLOD1	39.74	membrane	membrane_tc>5.56 & tc<65.26	-0.09374164947827
ENSG00000083454.17	P2RX5	18.635	membrane	nontarget_membrane	-0.366620996912036
ENSG00000083857.9	FAT1	19.345	membrane	membrane_tc>5.56 & tc<65.26	-0.224132629161185
ENSG00000084073.4	ZMPSTE24	50.5	membrane	membrane_tc>5.56 & tc<65.26	-0.0117491018495176
ENSG00000084234.12	APLP2	121.635	membrane	membrane_tc>5.56 & tc<65.26	-0.0749178859900677
ENSG00000084444.9	KIAA1467	16.74	membrane	membrane_tc>5.56 & tc<65.26	-0.0623401655154239
ENSG00000085063.10	CD59	63.91	membrane	membrane_tc<1.66	-0.0861505213067215
ENSG00000085365.13	SCAMP1	25.295	membrane	nontarget_membrane	-0.0390755474436834
ENSG00000085563.10	ABCB1	10.195	membrane	membrane_tc>1.66 & tc<5.56	-0.237144188296777
ENSG00000085871.4	MGST2	51.78	membrane	nontarget_membrane	0.0113970425402446
ENSG00000085998.9	POMGNT1	49.29	membrane	nontarget_membrane	-0.0825178806016787
ENSG00000086062.8	B4GALT1	15.44	membrane	membrane_tc>5.56 & tc<65.26	0.267479109330968
ENSG00000086289.7	EPDR1	13.045	membrane	nontarget_membrane	0.216912092451486
ENSG00000086598.6	TMED2	181.36	membrane	membrane_tc<1.66	0.287784355705504
ENSG00000086619.9	ERO1LB	18.295	membrane	membrane_tc>1.66 & tc<5.56	-0.309967516831141
ENSG00000086848.10	ALG9	15.535	membrane	nontarget_membrane	-0.0876862872762545
ENSG00000087253.7	LPCAT2	11.44	membrane	membrane_tc>5.56 & tc<65.26	-0.046692743300589
ENSG00000087301.4	TXNDC16	11.905	membrane	membrane_tc<1.66	-0.216144536149724
ENSG00000087303.12	NID2	13.17	membrane	membrane_tc>5.56 & tc<65.26	-0.435189882398841
ENSG00000087502.13	ERGIC2	33.67	membrane	nontarget_membrane	-0.159443165456275
ENSG00000088035.11	ALG6	17.51	membrane	membrane_tc>1.66 & tc<5.56	-0.297431348174497
ENSG00000088298.8	EDEM2	15.69	membrane	nontarget_membrane	-0.00179796415547712
ENSG00000089057.10	SLC23A2	11.455	membrane	membrane_tc>5.56 & tc<65.26	-0.100939322806729
ENSG00000089248.6	ERP29	72.085	membrane	nontarget_membrane	0.0367256339086014
ENSG00000089327.10	FXYD5	154.695	membrane	membrane_tc>1.66 & tc<5.56	-0.103555452279388
ENSG00000089597.12	GANAB	167.29	membrane	membrane_tc>5.56 & tc<65.26	-0.225088009318777
ENSG00000090054.9	SPTLC1	32.465	membrane	membrane_tc>1.66 & tc<5.56	0.014557244561218
ENSG00000090432.5	MUL1	21.92	membrane	nontarget_membrane	0.130394635653296
ENSG00000090520.6	DNAJB11	44.59	membrane	membrane_tc<1.66	-0.0486169017297671
ENSG00000090581.5	GNPTG	14.835	membrane	membrane_tc<1.66	0.0835770452036284
ENSG00000090661.7	CERS4	15.275	membrane	membrane_tc>5.56 & tc<65.26	0.020709987063858
ENSG00000090776.5	EFNB1	12.995	membrane	membrane_tc<1.66	0.0826184558586445
ENSG00000090863.7	GLG1	18.81	membrane	membrane_tc>5.56 & tc<65.26	-0.279427186724553
ENSG00000090971.4	NAT14	52.43	membrane	nontarget_membrane	0.382220127536606
ENSG00000091129.15	NRCAM	13.81	membrane	membrane_tc>5.56 & tc<65.26	-0.307717154199978
ENSG00000091136.9	LAMB1	41.62	membrane	membrane_tc>1.66 & tc<5.56	-0.409323135852736
ENSG00000091317.7	CMTM6	43.405	membrane	membrane_tc>1.66 & tc<5.56	0.212453701941446
ENSG00000091947.5	TMEM101	35.21	membrane	nontarget_membrane	0.280697642796589
ENSG00000092445.7	TYRO3	20.81	membrane	membrane_tc<1.66	-0.27488531804356
ENSG00000092931.7	MFSD11	13.31	membrane	membrane_tc>1.66 & tc<5.56	-0.184241941548698
ENSG00000093010.7	COMT	102.365	membrane	membrane_tc<1.66	0.204329796334873
ENSG00000094975.9	SUCO	10.005	membrane	membrane_tc>5.56 & tc<65.26	0.0426685282851807
ENSG00000095209.7	TMEM38B	35.285	membrane	membrane_tc>1.66 & tc<5.56	0.135406343376502
ENSG00000095739.7	BAMBI	11.585	membrane	membrane_tc>1.66 & tc<5.56	0.0552862936639806
ENSG00000099194.5	SCD	161.955	membrane	membrane_tc>1.66 & tc<5.56	-0.04517189945856
ENSG00000099203.2	TMED1	39.34	membrane	nontarget_membrane	0.0133088455780812
ENSG00000099219.9	ERMP1	13.04	membrane	membrane_tc>5.56 & tc<65.26	-0.0799392203933594
ENSG00000099282.5	TSPAN15	17.61	membrane	nontarget_membrane	0.0351877843813086
ENSG00000099797.7	TECR	129.78	membrane	membrane_tc<1.66	-0.00144864084361964
ENSG00000099904.11	ZDHHC8	24.76	membrane	membrane_tc<1.66	-0.363543298154263
ENSG00000099958.10	DERL3	12.165	membrane	membrane_tc>1.66 & tc<5.56	0.424660578498273
ENSG00000099999.10	RNF215	10.73	membrane	membrane_tc>1.66 & tc<5.56	0.349457786628143
ENSG00000100196.6	KDELR3	19.615	membrane	membrane_tc>5.56 & tc<65.26	0.0118308314294828
ENSG00000100219.12	XBP1	57.26	membrane	membrane_tc<1.66	0.0517273871635348
ENSG00000100234.11	TIMP3	17.785	membrane	membrane_tc<1.66	-0.0589707819200483
ENSG00000100242.11	SUN2	23.595	membrane	membrane_tc>5.56 & tc<65.26	-0.0385565078787802
ENSG00000100258.13	LMF2	27.235	membrane	membrane_tc>5.56 & tc<65.26	0.102865442280394
ENSG00000100263.9	RHBDD3	29.915	membrane	membrane_tc<1.66	-0.0118823365469379
ENSG00000100321.10	SYNGR1	43.24	membrane	membrane_tc<1.66	0.347506790539199
ENSG00000100473.11	COCH	101.43	membrane	membrane_tc>1.66 & tc<5.56	-0.0372274790732638
ENSG00000100528.7	CNIH1	117.16	membrane	nontarget_membrane	0.150790234768919
ENSG00000100532.7	CGRRF1	11.405	membrane	nontarget_membrane	0.363368001040884
ENSG00000100564.4	PIGH	34.31	membrane	membrane_tc>1.66 & tc<5.56	0.342587310334217
ENSG00000100596.2	SPTLC2	10.875	membrane	membrane_tc>1.66 & tc<5.56	-0.0563348585938064
ENSG00000100600.10	LGMN	39.115	membrane	membrane_tc>5.56 & tc<65.26	-0.226604096032237
ENSG00000100612.9	DHRS7	25.96	membrane	membrane_tc>5.56 & tc<65.26	-0.0415034054159371
ENSG00000100926.10	TM9SF1	19.585	membrane	membrane_tc>5.56 & tc<65.26	0.0156199609724577
ENSG00000100997.14	ABHD12	25.135	membrane	membrane_tc>1.66 & tc<5.56	-0.0492158930765084
ENSG00000101000.4	PROCR	42.04	membrane	membrane_tc<1.66	0.198545679109034
ENSG00000101104.8	PABPC1L	10.945	membrane	nontarget_membrane	-0.900407718215257
ENSG00000101144.8	BMP7	31.235	membrane	membrane_tc<1.66	0.245612006449842
ENSG00000101160.9	CTSZ	33.42	membrane	membrane_tc<1.66	0.137768201961576
ENSG00000101187.11	SLCO4A1	16.4	membrane	membrane_tc>1.66 & tc<5.56	-0.0663157259633417
ENSG00000101290.9	CDS2	23.415	membrane	membrane_tc>5.56 & tc<65.26	0.0493185215992683
ENSG00000101294.12	HM13	124.12	membrane	membrane_tc>1.66 & tc<5.56	-0.0282541654290073
ENSG00000101337.11	TM9SF4	34.48	membrane	membrane_tc>5.56 & tc<65.26	-0.142860618981303
ENSG00000101346.7	POFUT1	37.285	membrane	nontarget_membrane	-0.0961957367636759
ENSG00000101439.4	CST3	121.86	membrane	membrane_tc<1.66	0.195259328557472
ENSG00000101464.6	PIGU	21.21	membrane	membrane_tc>5.56 & tc<65.26	-0.247581363488754
ENSG00000101474.7	APMAP	68.665	membrane	membrane_tc>1.66 & tc<5.56	0.0778386702095643
ENSG00000101856.8	PGRMC1	233.235	membrane	membrane_tc>1.66 & tc<5.56	0.0215281104490679
ENSG00000101974.10	ATP11C	27.825	membrane	membrane_tc>5.56 & tc<65.26	-0.0446031533524347
ENSG00000102003.6	SYP	17.7	membrane	nontarget_membrane	-0.202661790020983
ENSG00000102007.6	PLP2	133.13	membrane	nontarget_membrane	-0.00212408569906558
ENSG00000102100.10	SLC35A2	22.08	membrane	membrane_tc>1.66 & tc<5.56	0.0145039075897963
ENSG00000102158.15	MAGT1	56.675	membrane	nontarget_membrane	-0.148622175221085
ENSG00000102181.15	CD99L2	37.16	membrane	membrane_tc<1.66	-0.0865019400214695
ENSG00000102265.7	TIMP1	72.16	membrane	nontarget_membrane	-0.192261693003362
ENSG00000102393.5	GLA	204.24	membrane	membrane_tc<1.66	-0.0332974047123944
ENSG00000102471.9	NDFIP2	37.11	membrane	membrane_tc<1.66	0.201451686761019
ENSG00000102805.9	CLN5	10.66	membrane	membrane_tc>1.66 & tc<5.56	0.148090172793492
ENSG00000103064.9	SLC7A6	18.43	membrane	membrane_tc>1.66 & tc<5.56	-0.0362708209414009
ENSG00000103222.14	ABCC1	16.495	membrane	membrane_tc>5.56 & tc<65.26	-0.265239618620695
ENSG00000103226.13	NOMO3	39.13	membrane	membrane_tc<1.66	-0.4932079725605
ENSG00000103249.13	CLCN7	18.625	membrane	membrane_tc>5.56 & tc<65.26	-0.0735991250689027
ENSG00000103257.4	SLC7A5	40.485	membrane	membrane_tc>5.56 & tc<65.26	0.010029111631155
ENSG00000103335.15	PIEZO1	58.81	membrane	membrane_tc>1.66 & tc<5.56	-0.139600339885614
ENSG00000103429.6	BFAR	61.125	membrane	membrane_tc<1.66	0.0835778775738401
ENSG00000103502.9	CDIPT	70.15	membrane	membrane_tc>5.56 & tc<65.26	0.196408535638841
ENSG00000103512.10	NOMO1	56.995	membrane	membrane_tc>1.66 & tc<5.56	-0.423221093553361
ENSG00000103855.13	CD276	59.49	membrane	membrane_tc>1.66 & tc<5.56	-0.0133169820964749
ENSG00000103978.11	TMEM87A	13.545	membrane	membrane_tc>1.66 & tc<5.56	0.00908876477051302
ENSG00000104213.8	PDGFRL	11.745	membrane	membrane_tc<1.66	0.0964366587538714
ENSG00000104290.6	FZD3	12.555	membrane	membrane_tc>5.56 & tc<65.26	0.0177668563102167
ENSG00000104331.4	IMPAD1	25.875	membrane	membrane_tc<1.66	0.0780866589473301
ENSG00000104332.7	SFRP1	11.895	membrane	membrane_tc>5.56 & tc<65.26	0.219834806527055
ENSG00000104341.12	LAPTM4B	122.965	membrane	membrane_tc>5.56 & tc<65.26	0.00823049502455192
ENSG00000104368.13	PLAT	10.595	membrane	membrane_tc<1.66	-0.163326687087064
ENSG00000104549.7	SQLE	64.03	membrane	membrane_tc<1.66	-0.116133230332623
ENSG00000104635.9	SLC39A14	50.06	membrane	membrane_tc>5.56 & tc<65.26	0.061234548136618
ENSG00000104660.13	LEPROTL1	36.62	membrane	nontarget_membrane	0.12504345762565
ENSG00000104691.10	UBXN8	21.87	membrane	nontarget_membrane	-0.0697362305763808
ENSG00000104723.16	TUSC3	89.895	membrane	membrane_tc>5.56 & tc<65.26	-0.0473741206565956
ENSG00000104763.13	ASAH1	47.935	membrane	membrane_tc>1.66 & tc<5.56	-0.044600729454995
ENSG00000104805.11	NUCB1	67.765	membrane	membrane_tc<1.66	-0.0403039733899829
ENSG00000104853.11	CLPTM1	51.735	membrane	membrane_tc>5.56 & tc<65.26	-0.196671735474301
ENSG00000104870.8	FCGRT	40.925	membrane	membrane_tc<1.66	0.26661046864057
ENSG00000105135.11	ILVBL	43.975	membrane	membrane_tc>1.66 & tc<5.56	0.0010769941730274
ENSG00000105223.14	PLD3	239.085	membrane	membrane_tc>5.56 & tc<65.26	0.0314889940832437
ENSG00000105281.8	SLC1A5	174.295	membrane	membrane_tc>5.56 & tc<65.26	-0.101413753197503
ENSG00000105290.7	APLP1	26.215	membrane	membrane_tc>1.66 & tc<5.56	0.0417365751189805
ENSG00000105404.6	RABAC1	204.52	membrane	membrane_tc<1.66	0.135773996466431
ENSG00000105409.11	ATP1A3	17.785	membrane	membrane_tc>5.56 & tc<65.26	-0.385122019619551
ENSG00000105426.10	PTPRS	20.925	membrane	membrane_tc>5.56 & tc<65.26	0.363836684918148
ENSG00000105429.8	MEGF8	20.575	membrane	membrane_tc>5.56 & tc<65.26	-0.281799716193044
ENSG00000105438.4	KDELR1	166.735	membrane	membrane_tc>1.66 & tc<5.56	0.0182439729235641
ENSG00000105518.9	TMEM205	94.755	membrane	nontarget_membrane	0.199001343129762
ENSG00000105612.4	DNASE2	33.87	membrane	membrane_tc>5.56 & tc<65.26	-0.104582275742437
ENSG00000105677.7	TMEM147	275.565	membrane	membrane_tc<1.66	0.32066127330653
ENSG00000105699.12	LSR	34.84	membrane	membrane_tc>5.56 & tc<65.26	-0.0186912722768356
ENSG00000105726.12	ATP13A1	16.82	membrane	membrane_tc>5.56 & tc<65.26	-0.140760815034798
ENSG00000105767.2	CADM4	25.645	membrane	membrane_tc>1.66 & tc<5.56	0.23547123583187
ENSG00000105854.8	PON2	26.08	membrane	membrane_tc<1.66	-0.0573890274884134
ENSG00000105976.10	MET	15.65	membrane	membrane_tc>5.56 & tc<65.26	-0.262504672381085
ENSG00000105983.15	LMBR1	38.385	membrane	membrane_tc>5.56 & tc<65.26	0.149541146416874
ENSG00000106025.4	TSPAN12	37.02	membrane	membrane_tc>1.66 & tc<5.56	0.216317485205811
ENSG00000106066.9	CPVL	45.35	membrane	membrane_tc>1.66 & tc<5.56	-0.207698286970473
ENSG00000106080.6	FKBP14	10.075	membrane	membrane_tc<1.66	-0.269261205714822
ENSG00000106236.3	NPTX2	18.18	membrane	membrane_tc>1.66 & tc<5.56	0.199817825091171
ENSG00000106397.7	PLOD3	14.125	membrane	membrane_tc>1.66 & tc<5.56	-0.0439316904223939
ENSG00000106460.14	TMEM106B	17.145	membrane	membrane_tc<1.66	-0.035459003569831
ENSG00000106537.7	TSPAN13	39.935	membrane	membrane_tc<1.66	0.153498248384475
ENSG00000106609.12	TMEM248	23.615	membrane	membrane_tc>5.56 & tc<65.26	0.197425292507238
ENSG00000106638.11	TBL2	21.555	membrane	nontarget_membrane	-0.181703230331173
ENSG00000106771.8	TMEM245	16.155	membrane	membrane_tc>5.56 & tc<65.26	-0.325883082279798
ENSG00000106799.8	TGFBR1	10.64	membrane	membrane_tc>1.66 & tc<5.56	-0.0454936474829999
ENSG00000107281.5	NPDC1	41.335	membrane	membrane_tc>1.66 & tc<5.56	0.349002189986017
ENSG00000107331.12	ABCA2	25	membrane	membrane_tc>1.66 & tc<5.56	-0.276649371095187
ENSG00000107566.9	ERLIN1	29.795	membrane	membrane_tc<1.66	-0.262097435245391
ENSG00000107731.8	UNC5B	11.55	membrane	membrane_tc>5.56 & tc<65.26	-0.14821744416859
ENSG00000107779.7	BMPR1A	11.07	membrane	nontarget_membrane	0.0452953444957152
ENSG00000107789.11	MINPP1	24.81	membrane	membrane_tc<1.66	0.159175441083524
ENSG00000107798.13	LIPA	41.74	membrane	membrane_tc>1.66 & tc<5.56	0.0280231746440903
ENSG00000108219.10	TSPAN14	13.165	membrane	nontarget_membrane	0.0436161711759079
