gene_id	Symbol	tpm_cutoff	log2FoldChange.mem.cyt.293	log2FoldChange.mem.cyt.2A15	labels
ENSG00000005156.7	LIG3	30.54	-1.03736451606678	-0.861049600201778	NA
ENSG00000005175.5	RPAP3	21.77	-1.30613729014372	-0.971888153698372	NA
ENSG00000005189.15	AC004381.6	13.52	-0.41252494172419	-0.308490010903039	NA
ENSG00000005194.10	CIAPIN1	94.13	-0.40221361525438	-0.248607390086238	NA
ENSG00000005249.8	PRKAR2B	33.995	-0.378017222724471	-0.416049060952003	NA
ENSG00000005302.13	MSL3	35.575	-0.201445073200817	-0.0925635332646613	NA
ENSG00000005339.8	CREBBP	10.995	0.184296622297036	0.0505892275277518	NA
ENSG00000005436.9	GCFC2	17.33	-0.409176268312454	-0.331110714667792	NA
ENSG00000005448.12	WDR54	31.12	0.276369193509526	0.63560155368189	NA
ENSG00000005486.12	RHBDD2	28.68	2.63409145539233	3.03644638595228	NA
ENSG00000005700.10	IBTK	22.07	-0.712104883875817	-0.786802285207125	NA
ENSG00000005801.12	ZNF195	11.955	-0.281304761543098	-0.191935847274271	NA
ENSG00000005810.13	MYCBP2	20.32	-0.710397276021777	-0.79597328770574	NA
ENSG00000005812.6	FBXL3	23.61	-0.273026452319432	-0.259159124975045	NA
ENSG00000005882.7	PDK2	17.135	-0.0043704758260183	0.0558742198848449	NA
ENSG00000005893.11	LAMP2	43.945	4.25032048614709	4.24198804140312	NA
ENSG00000005955.8	GGNBP2	26.975	-0.800189935900596	-0.774792653407073	NA
ENSG00000006007.7	GDE1	74.005	1.32896480033794	1.41505679919066	NA
ENSG00000006015.13	C19orf60	29.145	0.349291640354288	-0.147925796510559	NA
ENSG00000006042.7	TMEM98	57.515	2.00500140859891	2.44101668592058	NA
ENSG00000006118.10	TMEM132A	15.985	3.34966432882618	2.7652018940068	NA
ENSG00000006125.12	AP2B1	73.455	-0.55020187401858	-0.47570374561021	NA
ENSG00000006194.6	ZNF263	40.535	-0.0285220165280675	-0.133756555815392	NA
ENSG00000006282.15	SPATA20	12.33	0.389656031704939	0.351919877989636	NA
ENSG00000006327.9	TNFRSF12A	10.82	2.03350302387791	2.24636137553708	NA
ENSG00000006451.3	RALA	21.235	-0.399817147330628	-0.483906024327294	NA
ENSG00000006453.9	BAIAP2L1	17.585	-0.163091136026331	-0.0776221052849549	NA
ENSG00000006530.11	AGK	39.92	-0.193055373373562	0.122473155234125	NA
ENSG00000006576.12	PHTF2	12.26	2.71108446108701	2.76039490394695	NA
ENSG00000006607.9	FARP2	27.005	-0.440861800796185	-0.588956588441203	NA
ENSG00000006625.13	GGCT	85.735	-0.6209190717819	-0.748049492040009	NA
ENSG00000006634.3	DBF4	14.7	-0.270097838256829	-0.114766895997877	NA
ENSG00000006652.9	IFRD1	44.53	-0.167857530160813	0.212230053546453	NA
ENSG00000006695.6	COX10	17.57	0.159819835648315	0.207944130890574	NA
ENSG00000006704.6	GTF2IRD1	14.395	0.374989852524748	0.566060804649523	NA
ENSG00000006712.10	PAF1	108.535	-0.794095300416138	-0.638114113675823	NA
ENSG00000006715.11	VPS41	10.77	-0.866656719459684	-0.763171713866472	NA
ENSG00000006744.14	ELAC2	64.015	-0.748876158645378	-0.172898587551437	NA
ENSG00000006831.9	ADIPOR2	59.21	1.55502720922301	1.62452897785828	NA
ENSG00000007047.10	MARK4	15.075	0.043328831759414	-0.0438236290800119	NA
ENSG00000007080.6	CCDC124	172.27	-0.494526452534399	-0.752723899556561	NA
ENSG00000007168.8	PAFAH1B1	40.98	-0.716813909632341	-0.703500496923177	NA
ENSG00000007202.10	KIAA0100	71.865	1.40383722894038	1.27569635323617	NA
ENSG00000007255.6	TRAPPC6A	51.08	-0.349708148159732	-0.440627491492043	NA
ENSG00000007264.9	MATK	26.755	-0.141083894228779	-0.0255659339008839	NA
ENSG00000007341.14	ST7L	27.23	2.39581372322363	2.67494279818764	NA
ENSG00000007372.16	PAX6	17	-0.253626925676198	-0.0612650358951884	NA
ENSG00000007376.3	RPUSD1	42.53	0.257282293614899	-0.106912304599254	NA
ENSG00000007392.12	LUC7L	48.165	-0.43485958137479	-0.388734724217591	NA
ENSG00000007520.3	TSR3	48.36	-0.0780438359136943	-0.180316105702136	NA
ENSG00000007541.10	PIGQ	24.7	2.07404286285691	1.96314072176399	NA
ENSG00000007545.11	CRAMP1L	15	0.168163699377983	-0.0212771526333055	NA
ENSG00000007923.11	DNAJC11	44.385	-0.598233239479611	-0.560472491985337	NA
ENSG00000007944.10	MYLIP	10.375	-0.0410483419217256	0.060511775103238	NA
ENSG00000007968.6	E2F2	13.14	0.32313906912385	0.219297550089601	NA
ENSG00000008018.8	PSMB1	403.23	-0.60856664243338	-0.275372613731499	NA
ENSG00000008128.18	CDK11A	22.185	-0.682325737227079	-0.54331263257975	NA
ENSG00000008130.11	NADK	61.545	-0.00878473123303175	-0.12457155698639	NA
ENSG00000008282.3	SYPL1	75.5	3.64421729654782	3.85485044376459	NA
ENSG00000008294.16	SPAG9	38.715	-0.677618297308512	-0.701227142696891	NA
ENSG00000008311.10	AASS	13.81	0.0506471880542764	0.592836149897672	NA
ENSG00000008324.6	SS18L2	30.91	-0.45803812188232	-0.0838053695703293	NA
ENSG00000008382.11	MPND	20.03	-0.471451095778397	-0.570309818684327	NA
ENSG00000008394.8	MGST1	107.01	2.71650017857488	3.31960287386193	NA
ENSG00000008405.7	CRY1	15.595	-0.451335335326924	-0.272845095636226	NA
ENSG00000008441.12	NFIX	11.63	-0.332160994384419	-0.57407011859275	NA
ENSG00000008517.12	IL32	13.695	0.159528580473285	0.667951727493478	NA
ENSG00000008710.13	PKD1	26.435	1.15474161292853	1.08511386663485	NA
ENSG00000008735.10	MAPK8IP2	17.235	-0.405688667722677	-0.844902065316156	NA
ENSG00000008838.13	MED24	75.73	0.180948271314897	0.295099799863261	NA
ENSG00000008952.12	SEC62	18.335	2.34193740972197	2.37170074135273	NA
ENSG00000008988.5	RPS20	1904.01	-0.664736848192611	-0.687035994235701	NA
ENSG00000009307.11	CSDE1	267.49	-1.04379802101202	-1.11256860382825	NA
ENSG00000009335.13	UBE3C	55.34	-0.0481888107966373	-0.199279403390036	NA
ENSG00000009844.11	VTA1	36.005	-0.677245064092186	-0.593310650688087	NA
ENSG00000009954.6	BAZ1B	30.375	-0.872111153092235	-0.721098098467814	NA
ENSG00000010017.9	RANBP9	24.395	-0.278267582441242	-0.355039401849844	NA
ENSG00000010072.11	SPRTN	23.905	-0.542662369004076	-0.42349331527787	NA
ENSG00000010165.15	METTL13	25.195	-0.533149603603772	-0.488328121391811	NA
ENSG00000010219.9	DYRK4	37.305	-0.0966114165099871	0.221501260681714	NA
ENSG00000010244.12	ZNF207	126.28	-0.505251293414887	-0.276756603633964	NA
ENSG00000010256.6	UQCRC1	218.74	-0.282176807601597	-0.186041656941781	NA
ENSG00000010270.9	STARD3NL	40.755	0.948913123514837	1.53243249137199	NA
ENSG00000010278.7	CD9	102.54	4.59800601191931	4.34558347367108	NA
ENSG00000010292.8	NCAPD2	103.145	-0.314221841873691	-0.092834098133884	NA
ENSG00000010295.15	IFFO1	13.075	0.34328524075586	0.281491156395651	NA
ENSG00000010322.11	NISCH	20.305	0.529164760457496	0.478501556545015	NA
ENSG00000010361.9	FUZ	63.14	0.0590840718460083	0.0011827034927834	NA
ENSG00000010404.13	IDS	16.655	0.174400402195087	-0.0473744518269755	NA
ENSG00000010539.7	ZNF200	13.09	0.00253087605294411	0.102271555147755	NA
ENSG00000010803.12	SCMH1	28.4	-0.106284527751038	-0.030747837228837	NA
ENSG00000010810.13	FYN	56.785	0.277231381591758	0.173653019539531	NA
ENSG00000011007.8	TCEB3	23.355	-0.609181510122809	-0.442690025232641	NA
ENSG00000011009.6	LYPLA2	41.895	-0.244275251431179	-0.309788442845314	NA
ENSG00000011052.17	NME2	231.435	-0.022273454651705	0.0327183087495452	NA
ENSG00000011105.7	TSPAN9	10.05	3.2246829362087	3.55228560410926	NA
ENSG00000011132.7	APBA3	14.925	0.351695359773182	-0.0771012671717251	NA
ENSG00000011143.12	MKS1	23.995	-0.377016297018879	-0.209916651192855	NA
ENSG00000011198.3	ABHD5	10.46	0.0526715275964614	-0.170329811267305	NA
ENSG00000011201.6	KAL1	11.395	4.73179311785637	4.62993523051338	NA
ENSG00000011243.13	AKAP8L	48.785	-0.695677249710974	-0.62702957745848	NA
ENSG00000011258.11	MBTD1	15.765	-0.447431661850193	-0.435326821874756	NA
ENSG00000011260.9	UTP18	73.06	-1.38119857531715	-1.22066633058337	NA
ENSG00000011275.14	RNF216	11.28	-0.380775726576442	-0.342786720362619	NA
ENSG00000011295.11	TTC19	43.965	0.422711878831128	0.65368067552336	NA
ENSG00000011304.12	PTBP1	243.045	-1.05900819446309	-0.728165243900528	NA
ENSG00000011332.15	DPF1	12.125	0.0443897527366499	-0.248235741218206	NA
ENSG00000011376.5	LARS2	13.935	-0.465127919209374	-0.0312603210466212	NA
ENSG00000011426.6	ANLN	19.275	0.998993741754303	1.33688160473809	NA
ENSG00000011451.13	WIZ	20.26	-0.0291296126482988	-0.235309774407864	NA
ENSG00000011454.12	RABGAP1	11.25	-0.850235718619823	-0.720598684116552	NA
ENSG00000011478.7	QPCTL	10.905	3.03960013211386	3.44400080912548	NA
ENSG00000011485.10	PPP5C	122.29	-0.690228192560244	-0.587891567277369	NA
ENSG00000011638.6	TMEM159	13.095	1.06638972920538	1.21116516029824	NA
ENSG00000012048.15	BRCA1	21.6	-0.432461862616584	-0.415179367219449	NA
ENSG00000012061.11	ERCC1	43.01	-0.114450290483521	-0.0187798706080463	NA
ENSG00000012174.7	MBTPS2	23.815	3.77114015639553	3.8035086081148	NA
ENSG00000012232.4	EXTL3	22.665	2.39840503145545	2.40672443593109	NA
ENSG00000012660.9	ELOVL5	94.685	2.5079414102409	2.73335563534085	NA
ENSG00000012822.11	CALCOCO1	19.125	-0.933031593346386	-0.794842506277067	NA
ENSG00000012963.9	UBR7	43.02	-0.436479332792742	-0.404799396604773	NA
ENSG00000012983.7	MAP4K5	15.68	-0.848471251071498	-0.784719815397515	NA
ENSG00000013275.3	PSMC4	195.875	-0.393516416178023	-0.269497734589735	NA
ENSG00000013306.11	SLC25A39	133.01	0.152616249088153	-0.0438983428840667	NA
ENSG00000013374.11	NUB1	45.775	-0.838064890854705	-0.734294049824903	NA
ENSG00000013375.11	PGM3	22.18	-0.831408847076137	-0.613764546911377	NA
ENSG00000013441.11	CLK1	11.48	-0.184850495347486	0.0254232983164671	NA
ENSG00000013523.5	ANGEL1	21.775	2.40320172648656	2.36422340737471	NA
ENSG00000013561.13	RNF14	30.19	-0.421420672440291	-0.434935406831646	NA
ENSG00000013563.9	DNASE1L1	32.27	0.929779069124322	0.914749319362815	NA
ENSG00000013573.12	DDX11	52.815	0.0887123996797273	0.157889954947421	NA
ENSG00000013583.4	HEBP1	31.775	-0.121135703126189	-0.249543151568282	NA
ENSG00000013810.14	TACC3	76.865	-0.475033429966983	-0.339855523113955	NA
ENSG00000014138.4	POLA2	33.09	-0.635755571976542	-0.486603968988755	NA
ENSG00000014216.11	CAPN1	30.15	-0.604761659859991	-0.306188114005498	NA
ENSG00000014641.13	MDH1	195.435	-0.798406971903231	-0.343380847426533	NA
ENSG00000014824.9	SLC30A9	28.725	-0.339073230146426	-0.246499431166222	NA
ENSG00000014919.8	COX15	44.27	-0.2591642854207	-0.187681848864259	NA
ENSG00000015153.10	YAF2	12.82	-0.277200937655002	-0.319733371486624	NA
ENSG00000015171.14	ZMYND11	18.095	-0.77991048692483	-0.771476645079252	NA
ENSG00000015475.14	BID	52.845	0.0883282778705912	0.0588548898135714	NA
ENSG00000015479.13	MATR3	293.52	-1.11408695688964	-0.856404129265369	NA
ENSG00000015676.13	NUDCD3	46.12	-0.00462189129328726	-0.0463889522985732	NA
ENSG00000016864.12	GLT8D1	32.88	2.61985001782261	2.56959003539617	NA
ENSG00000017260.15	ATP2C1	24.09	2.84905339026002	2.66064426750993	NA
ENSG00000017797.7	RALBP1	18.855	-0.445689583401449	-0.575029691033127	NA
ENSG00000018189.8	RUFY3	11.555	0.426282420769521	0.220674063998591	NA
ENSG00000018408.10	WWTR1	13.62	-0.2842656596707	-0.337571140895579	NA
ENSG00000018510.8	AGPS	13.175	-0.818574123640741	-0.816209517416861	NA
ENSG00000018610.9	CXorf56	30.465	-0.92673002600441	-1.04934129669716	NA
ENSG00000018699.7	TTC27	10.675	-0.598137192993919	-0.159912924484898	NA
ENSG00000019995.6	ZRANB1	12.29	-0.501791599855643	-0.603300243505525	NA
ENSG00000020129.11	NCDN	15.44	-0.242210725163896	-0.211736969020213	NA
ENSG00000020256.15	ZFP64	33.015	-0.196509682105833	-0.0909810868665902	NA
ENSG00000020426.6	MNAT1	38.665	-0.799256190793493	-0.659846221337159	NA
ENSG00000020633.14	RUNX3	10.045	0.172520765419327	-0.149264772460987	NA
ENSG00000020922.8	MRE11A	21.4	-1.07555449332188	-0.935064630542916	NA
ENSG00000021355.8	SERPINB1	15.77	-0.0199350290259674	0.157673178945988	NA
ENSG00000021776.6	AQR	10.16	-0.445274268346526	-0.292520945905288	NA
ENSG00000021826.10	CPS1	10.43	-0.0710169766496882	0.530859565871106	NA
ENSG00000022267.12	FHL1	162.69	-0.0852954855143704	-0.0119311693822535	NA
ENSG00000022277.8	RTFDC1	100.75	-0.460215391059034	-0.454428811490949	NA
ENSG00000022840.11	RNF10	93.08	-0.0104344006394329	-0.195755677403545	NA
ENSG00000022976.11	ZNF839	12.57	0.221867524698885	0.186390898516854	NA
ENSG00000023041.7	ZDHHC6	34.49	1.1321215248528	1.42205422857264	NA
ENSG00000023191.12	RNH1	64.42	-0.684822435388796	-0.317859011816849	NA
ENSG00000023228.9	NDUFS1	46.085	-0.733633093107792	-0.944405136051422	NA
ENSG00000023330.10	ALAS1	23.195	-0.0494074298913865	0.234528422391917	NA
ENSG00000023572.4	GLRX2	28.205	-0.10118409290906	-0.230914342677635	NA
ENSG00000023697.8	DERA	32.505	-0.0950491719143186	-0.0398362000470008	NA
ENSG00000023734.6	STRAP	197.94	-0.546609346118314	-0.497340338762409	NA
ENSG00000023902.9	PLEKHO1	14.915	0.322984380997402	0.300090557592821	NA
ENSG00000023909.5	GCLM	13.725	-0.539910116020662	-0.396324606372615	NA
ENSG00000024526.12	DEPDC1	32.115	0.1449348333415	0.320548606446988	NA
ENSG00000024862.12	CCDC28A	23.765	-0.411582108874351	-0.332617168131056	NA
ENSG00000025039.10	RRAGD	14.89	-0.382674724203567	-0.515812218075017	NA
ENSG00000025156.8	HSF2	29.49	-0.659739874828995	-0.322780280846695	NA
ENSG00000025293.11	PHF20	11.38	-0.950813851065092	-0.827595172620931	NA
ENSG00000025423.7	HSD17B6	12.585	1.7705902112095	2.13471573747078	NA
ENSG00000025770.14	NCAPH2	57.015	0.036239376673567	0.117708063820008	NA
ENSG00000025772.7	TOMM34	41.905	-0.196006921388304	-0.095040506396261	NA
ENSG00000025796.9	SEC63	22.4	3.07044350556761	2.87162507132003	NA
ENSG00000025800.9	KPNA6	22.91	-0.686198747734246	-0.795234731213291	NA
ENSG00000026025.9	VIM	417.03	-0.814821746520944	-0.422764527084825	NA
ENSG00000026297.11	RNASET2	22.895	2.43564412704016	2.44542155107286	NA
ENSG00000026508.12	CD44	10.03	2.88962287897963	3.24599958625817	NA
ENSG00000027001.7	MIPEP	23.44	-0.52186871720394	-0.425473044774022	NA
ENSG00000027075.9	PRKCH	14.315	-0.335787261605172	-0.489968482396284	NA
ENSG00000027697.8	IFNGR1	22.04	3.60381290742602	3.9752111589761	NA
ENSG00000027847.9	B4GALT7	13.49	1.74938012339371	2.02104384900944	NA
ENSG00000028203.13	VEZT	33.165	1.58094642217125	1.61009424619935	NA
ENSG00000028310.13	BRD9	13.495	-0.122974958874801	-0.418050584075205	NA
ENSG00000028528.10	SNX1	47.825	-0.325064781605602	-0.224599761561161	NA
ENSG00000028839.5	TBPL1	38.12	0.0256051421495358	0.0701669626037066	NA
ENSG00000029153.10	ARNTL2	23.485	-0.500420721983752	-0.852264250264633	NA
ENSG00000029363.11	BCLAF1	61	-1.34665007360638	-0.991095545532752	NA
ENSG00000029364.7	SLC39A9	28.43	2.21525158485172	2.2660379888988	NA
ENSG00000029639.6	TFB1M	16.945	-0.43045902830952	-0.436626832099804	NA
ENSG00000029725.12	RABEP1	45.625	-0.39909014539998	-0.581972121739094	NA
ENSG00000029993.10	HMGB3	97.79	-0.86108289345549	-0.789847224156493	NA
ENSG00000030066.9	NUP160	25.59	-0.612190774635641	-0.484154593556519	NA
ENSG00000030110.8	BAK1	43.105	-0.0666308189039639	-0.218773405312727	NA
ENSG00000030582.12	GRN	72.75	5.00211170552844	5.06167854523892	NA
ENSG00000031691.6	CENPQ	11.965	-0.629735634692743	-0.137641812607985	NA
ENSG00000031698.8	SARS	137.435	-0.553808562218125	-0.365840980556023	NA
ENSG00000031823.10	RANBP3	73.765	0.111842491018452	0.298792230052742	NA
ENSG00000032389.8	TSSC1	22.49	-0.4142396332564	-0.294528920512212	NA
ENSG00000033011.7	ALG1	18.025	3.44971740895745	3.89019645096287	NA
ENSG00000033030.9	ZCCHC8	14.725	-0.221858269159335	-0.119804134384066	NA
ENSG00000033050.3	ABCF2	46.245	-1.10506465848564	-0.765501434820837	NA
ENSG00000033100.10	CHPF2	11.595	3.31082231012233	3.54526727160937	NA
ENSG00000033170.12	FUT8	11.06	2.59105885582478	2.23039516184782	NA
ENSG00000033178.8	UBA6	11.015	-0.994384747069668	-0.763680907310711	NA
ENSG00000033627.10	ATP6V0A1	27.2	2.38948701868595	2.24129664165245	NA
ENSG00000033800.9	PIAS1	16.825	-0.752232424833685	-0.76437593460815	NA
ENSG00000034053.10	APBA2	16.19	-0.202108944272513	-0.304977749145214	NA
ENSG00000034152.14	MAP2K3	36.035	-0.209655221173969	-0.184484504302351	NA
ENSG00000034510.4	TMSB10	1228.71	-0.0374784109876478	-0.0763778048395403	NA
ENSG00000034693.10	PEX3	20.33	-0.354639252267556	0.135673130544914	NA
ENSG00000034713.3	GABARAPL2	127.595	-0.128202602017283	-0.114857362366301	NA
ENSG00000035115.17	SH3YL1	10.675	0.290660599432565	0.126786552238761	NA
ENSG00000035141.3	FAM136A	87.23	-0.415540025864123	-0.508893757581439	NA
ENSG00000035403.12	VCL	35.23	1.36875461718738	1.64185916668727	NA
ENSG00000035499.8	DEPDC1B	29.62	-0.0522647274296004	0.0746392705711759	NA
ENSG00000035687.9	ADSS	76.785	-0.833941235765829	-0.765786987630612	NA
ENSG00000035862.8	TIMP2	12.105	3.73969268751822	4.0343617511474	NA
ENSG00000035928.10	RFC1	19.61	-0.926381329706017	-0.82983630189379	NA
ENSG00000036054.8	TBC1D23	12.155	-0.678151195290874	-0.52583402972453	NA
ENSG00000036257.8	CUL3	42.955	-0.525002838217846	-0.424148905941206	NA
ENSG00000036448.5	MYOM2	10.335	-0.558955519834458	-0.449449318226008	NA
ENSG00000036549.8	ZZZ3	19.715	-0.308216528984942	-0.543399081033777	NA
ENSG00000037241.3	RPL26L1	114.27	-0.25242327258695	-0.00140347108546046	NA
ENSG00000037280.11	FLT4	20.795	0.460105418114095	0.117151018759426	NA
ENSG00000037474.10	NSUN2	89.84	-1.05569445708025	-0.956703207484744	NA
ENSG00000037637.6	FBXO42	10.11	-0.193759073815847	-0.256089545310298	NA
ENSG00000037749.7	MFAP3	23.74	2.79444165630364	2.68898727448674	NA
ENSG00000037757.9	MRI1	34.605	0.162724360437198	0.037226171325083	NA
ENSG00000037897.12	METTL1	22.295	-0.227719458843721	0.0422382020918866	NA
ENSG00000038002.4	AGA	10.42	3.45666363776239	3.63662748487645	NA
ENSG00000038210.9	PI4K2B	26.405	-0.512959791006014	-0.665054231483927	NA
ENSG00000038274.12	MAT2B	75.06	-0.466577061308525	-0.498132505339641	NA
ENSG00000038358.10	EDC4	27.09	-0.67470225506141	-0.542883202154478	NA
ENSG00000038382.13	TRIO	14.75	0.323681367332337	0.0758738843485803	NA
ENSG00000038427.11	VCAN	14.97	3.51496908152965	3.85419332311164	NA
ENSG00000038532.10	CLEC16A	11.7	0.0722092968524078	0.223883096000315	NA
ENSG00000039123.11	SKIV2L2	18.58	-1.29734618823313	-1.04704895279782	NA
ENSG00000039319.12	ZFYVE16	10.52	-0.0905419719755822	-0.0221546763781995	NA
ENSG00000039560.9	RAI14	25.56	-0.213434891534742	-0.298772181834324	NA
ENSG00000039650.5	PNKP	21.27	-0.00367360565338489	0.378507114057713	NA
ENSG00000040275.12	SPDL1	32.765	-0.54209219727836	-0.421127233120539	NA
ENSG00000040341.13	STAU2	19.655	-0.897122421258252	-0.824455133249473	NA
ENSG00000040487.8	PQLC2	13.9	2.08318192560735	2.19946857408997	NA
ENSG00000040633.8	PHF23	37.715	0.101582382974774	0.159591118271591	NA
ENSG00000041357.11	PSMA4	320.32	-0.928733602002774	-0.679399122620198	NA
ENSG00000041802.6	LSG1	18.6	0.780437910917489	1.08952325426302	NA
ENSG00000041988.11	THAP3	24.035	0.0668542830872124	0.180676910576586	NA
ENSG00000042088.9	TDP1	41.18	-0.228452705333271	-0.285715688839798	NA
ENSG00000042429.6	MED17	14.245	-0.461312362440808	-0.126435839703073	NA
ENSG00000042445.9	RETSAT	12.345	2.84771004635792	2.94980221016193	NA
ENSG00000042753.7	AP2S1	221.365	0.267702242044872	0.205387246173936	NA
ENSG00000043039.5	BARX2	15.66	-0.094872713872932	-0.22150831232163	NA
ENSG00000043355.6	ZIC2	28.8	-0.115570997493404	0.048648840598712	NA
ENSG00000043514.11	TRIT1	25.655	-0.052638172038344	0.215826475015117	NA
ENSG00000044115.16	CTNNA1	89.9	-1.15259008490399	-0.776553754305377	NA
ENSG00000044446.7	PHKA2	17.285	0.342855524098604	0.488248540973327	NA
ENSG00000044574.7	HSPA5	67.465	4.3246884529736	2.79417364977093	HSPA5
ENSG00000046604.8	DSG2	24.995	3.87278693631892	4.04602411776817	NA
ENSG00000046647.9	GEMIN8	22.635	-0.164454950292602	-0.110037018963385	NA
ENSG00000046653.10	GPM6B	20.53	3.88075411565157	4.04317070711556	NA
ENSG00000047188.11	YTHDC2	19.475	-1.20939872822338	-1.00807946614368	NA
ENSG00000047249.12	ATP6V1H	18.86	-0.45894123393481	0.0766106938266701	NA
ENSG00000047315.10	POLR2B	53.605	-0.58734281585179	-0.580093410960985	NA
ENSG00000047410.9	TPR	12.85	-1.34865886357062	-1.20337377001041	NA
ENSG00000047579.15	DTNBP1	21.915	-0.617131914694997	-0.773102319056348	NA
ENSG00000047621.7	C12orf4	10.43	-0.751633107327679	-0.456088420859363	NA
ENSG00000047634.10	SCML1	183.35	-0.00529964193739079	0.193857321611516	NA
ENSG00000047849.17	MAP4	44.095	-0.650497952470076	-0.553932713248902	NA
ENSG00000047932.9	GOPC	20.18	-0.5509203635202	-0.410380807771496	NA
ENSG00000048028.7	USP28	30.955	0.00233564456985687	-0.309814983096756	NA
ENSG00000048140.13	TSPAN17	30.505	1.08979972147782	1.09656350270651	NA
ENSG00000048162.15	NOP16	69.745	-0.245465675034767	-0.380591302997721	NA
ENSG00000048392.7	RRM2B	12.395	-0.627504665008911	-0.575138393467155	NA
ENSG00000048544.5	MRPS10	49.015	-0.201575243303709	-0.280937133141981	NA
ENSG00000048740.13	CELF2	15.205	-0.385401629851556	-0.368964243800529	NA
ENSG00000048828.12	FAM120A	33.035	0.0581238144736184	-0.00830420894937901	NA
ENSG00000048991.12	R3HDM1	14.06	-0.318994468533863	-0.339551514667782	NA
ENSG00000049130.9	KITLG	11.635	0.960678063136844	0.723946493861684	NA
ENSG00000049167.9	ERCC8	19.36	-0.05627732303861	-0.389250021989676	NA
