pos_from_start	region	localization	sample	scaled_tc_rpm
73	cds	cyt	frac.tc_num1	0.000776610262539075
74	cds	cyt	frac.tc_num1	0.00114127270648331
75	cds	cyt	frac.tc_num1	0.00263044979791271
76	cds	cyt	frac.tc_num1	0.00210862325700283
77	cds	cyt	frac.tc_num1	0.00216638391236434
78	cds	cyt	frac.tc_num1	0.00143369035939149
79	cds	cyt	frac.tc_num1	0.000644145445407052
80	cds	cyt	frac.tc_num1	0.00172406926329113
81	cds	cyt	frac.tc_num1	0.00119682986092086
82	cds	cyt	frac.tc_num1	0.00217910438450958
83	cds	cyt	frac.tc_num1	0.0014807336888634
84	cds	cyt	frac.tc_num1	0.00126297962345298
85	cds	cyt	frac.tc_num1	0.00203121944256609
86	cds	cyt	frac.tc_num1	0.00280410475421472
87	cds	cyt	frac.tc_num1	0.00200900836920557
88	cds	cyt	frac.tc_num1	0.000615942596680198
89	cds	cyt	frac.tc_num1	0.00215647349894339
90	cds	cyt	frac.tc_num1	0.000970109774619895
91	cds	cyt	frac.tc_num1	0.00293429756780563
92	cds	cyt	frac.tc_num1	0.00157152312282796
93	cds	cyt	frac.tc_num1	0.0017526883580651
94	cds	cyt	frac.tc_num1	0.00317841530696218
95	cds	cyt	frac.tc_num1	0.0023050662352334
96	cds	cyt	frac.tc_num1	0.00234388817685308
97	cds	cyt	frac.tc_num1	0.00198972276289242
98	cds	cyt	frac.tc_num1	0.00122445982757364
99	cds	cyt	frac.tc_num1	0.000792815952832553
100	cds	cyt	frac.tc_num1	0.0020749919692221
101	cds	cyt	frac.tc_num1	0.00124139303633929
102	cds	cyt	frac.tc_num1	0.00251078156443696
103	cds	cyt	frac.tc_num1	0.00173502577885103
104	cds	cyt	frac.tc_num1	0.000745428103186329
105	cds	cyt	frac.tc_num1	0.00104379225275735
106	cds	cyt	frac.tc_num1	0.00143587603814475
107	cds	cyt	frac.tc_num1	0.00148753101278642
108	cds	cyt	frac.tc_num1	0.00226645166179943
109	cds	cyt	frac.tc_num1	0.00237095446885752
110	cds	cyt	frac.tc_num1	0.00254288303083136
111	cds	cyt	frac.tc_num1	0.00217013978508563
112	cds	cyt	frac.tc_num1	0.0016274868167099
113	cds	cyt	frac.tc_num1	0.00218617541572764
114	cds	cyt	frac.tc_num1	0.0025060944836591
115	cds	cyt	frac.tc_num1	0.00178698176561615
116	cds	cyt	frac.tc_num1	0.00119493924849467
117	cds	cyt	frac.tc_num1	0.00210968905005904
118	cds	cyt	frac.tc_num1	0.00122818268914921
119	cds	cyt	frac.tc_num1	0.00168499794782187
120	cds	cyt	frac.tc_num1	0.00178931147797934
121	cds	cyt	frac.tc_num1	0.000729105854595774
122	cds	cyt	frac.tc_num1	0.00198615668091605
123	cds	cyt	frac.tc_num1	0.00218314037123268
124	cds	cyt	frac.tc_num1	0.00362261381814152
125	cds	cyt	frac.tc_num1	0.0025383370604018
126	cds	cyt	frac.tc_num1	0.00219864251720397
127	cds	cyt	frac.tc_num1	0.00117856798174744
128	cds	cyt	frac.tc_num1	0.00120298436795027
129	cds	cyt	frac.tc_num1	0.00129472429720349
130	cds	cyt	frac.tc_num1	0.00153363990471871
131	cds	cyt	frac.tc_num1	0.00188975732154133
132	cds	cyt	frac.tc_num1	0.00175808308102872
133	cds	cyt	frac.tc_num1	0.00229144917086102
134	cds	cyt	frac.tc_num1	0.00209638040503846
135	cds	cyt	frac.tc_num1	0.00278739509951225
136	cds	cyt	frac.tc_num1	0.000910950408860233
137	cds	cyt	frac.tc_num1	0.00201949218117356
138	cds	cyt	frac.tc_num1	0.00155466017801201
139	cds	cyt	frac.tc_num1	0.00157016683752171
140	cds	cyt	frac.tc_num1	0.000986854000385419
141	cds	cyt	frac.tc_num1	0.00137888840228691
142	cds	cyt	frac.tc_num1	0.00214248902425394
143	cds	cyt	frac.tc_num1	0.00190965230693523
144	cds	cyt	frac.tc_num1	0.00180543128538845
145	cds	cyt	frac.tc_num1	0.00212788774865928
146	cds	cyt	frac.tc_num1	0.000706641429787958
147	cds	cyt	frac.tc_num1	0.00114069038777885
148	cds	cyt	frac.tc_num1	0.00162283119996497
149	cds	cyt	frac.tc_num1	0.00134413186112682
150	cds	cyt	frac.tc_num1	0.00226884881651862
151	cds	cyt	frac.tc_num1	0.0019917277852713
152	cds	cyt	frac.tc_num1	0.00136381495772097
153	cds	cyt	frac.tc_num1	0.00171216899106323
154	cds	cyt	frac.tc_num1	0.00157420538301725
155	cds	cyt	frac.tc_num1	0.00205737622285238
156	cds	cyt	frac.tc_num1	0.00293476164391364
157	cds	cyt	frac.tc_num1	0.00168681574397919
158	cds	cyt	frac.tc_num1	0.000991383819292658
159	cds	cyt	frac.tc_num1	0.000816343583681924
160	cds	cyt	frac.tc_num1	0.00119637943126542
161	cds	cyt	frac.tc_num1	0.00167685147420413
162	cds	cyt	frac.tc_num1	0.00122815984630719
163	cds	cyt	frac.tc_num1	0.00403709710483588
164	cds	cyt	frac.tc_num1	0.0021853414277598
165	cds	cyt	frac.tc_num1	0.00158460932173564
166	cds	cyt	frac.tc_num1	0.00164244195297586
167	cds	cyt	frac.tc_num1	0.00185136826326728
168	cds	cyt	frac.tc_num1	0.00338491986479958
169	cds	cyt	frac.tc_num1	0.00226718266538698
170	cds	cyt	frac.tc_num1	0.002343529413027
171	cds	cyt	frac.tc_num1	0.00207688452352697
172	cds	cyt	frac.tc_num1	0.00179993471868145
173	cds	cyt	frac.tc_num1	0.00393899446167117
174	cds	cyt	frac.tc_num1	0.00241471887865925
175	cds	cyt	frac.tc_num1	0.00278305869120309
176	cds	cyt	frac.tc_num1	0.00123018235312848
177	cds	cyt	frac.tc_num1	0.00157372776860751
178	cds	cyt	frac.tc_num1	0.0034786160706855
179	cds	cyt	frac.tc_num1	0.000252582877578856
180	cds	cyt	frac.tc_num1	0.00119657456721441
181	cds	cyt	frac.tc_num1	0.00146625282991033
182	cds	cyt	frac.tc_num1	0.00110998673220995
183	cds	cyt	frac.tc_num1	0.00111665229413736
184	cds	cyt	frac.tc_num1	0.00246858630466521
185	cds	cyt	frac.tc_num1	0.00174121763186266
186	cds	cyt	frac.tc_num1	0.0025564511620504
187	cds	cyt	frac.tc_num1	0.00137291955485847
188	cds	cyt	frac.tc_num1	0.00172994926318685
189	cds	cyt	frac.tc_num1	0.00141518100431432
190	cds	cyt	frac.tc_num1	0.00205093589146279
191	cds	cyt	frac.tc_num1	0.00353519141232365
192	cds	cyt	frac.tc_num1	0.00187717739932705
193	cds	cyt	frac.tc_num1	0.003271129500366
194	cds	cyt	frac.tc_num1	0.00224748242575368
195	cds	cyt	frac.tc_num1	0.00147271321861988
196	cds	cyt	frac.tc_num1	0.00233059707878513
197	cds	cyt	frac.tc_num1	0.00200436530885421
198	cds	cyt	frac.tc_num1	0.00251603167148926
199	cds	cyt	frac.tc_num1	0.00300466069829766
200	cds	cyt	frac.tc_num1	0.00265058215149201
201	cds	cyt	frac.tc_num1	0.00191408260304214
202	cds	cyt	frac.tc_num1	0.00145096408958946
203	cds	cyt	frac.tc_num1	0.0034973290881667
204	cds	cyt	frac.tc_num1	0.000567106547171945
205	cds	cyt	frac.tc_num1	0.00345635881812078
206	cds	cyt	frac.tc_num1	0.0020914084889415
207	cds	cyt	frac.tc_num1	0.00259816454804622
208	cds	cyt	frac.tc_num1	0.00407952394485436
209	cds	cyt	frac.tc_num1	0.00266778474026243
210	cds	cyt	frac.tc_num1	0.00323210424702805
211	cds	cyt	frac.tc_num1	0.0030194173834056
212	cds	cyt	frac.tc_num1	0.00309572777536525
213	cds	cyt	frac.tc_num1	0.000902449505801461
214	cds	cyt	frac.tc_num1	0.000839631902606056
215	cds	cyt	frac.tc_num1	0.0014767611858887
216	cds	cyt	frac.tc_num1	0.00165255407255069
217	cds	cyt	frac.tc_num1	0.0037876817881823
218	cds	cyt	frac.tc_num1	0.00228500945263983
219	cds	cyt	frac.tc_num1	0.00160763796239694
220	cds	cyt	frac.tc_num1	0.00157276340975522
221	cds	cyt	frac.tc_num1	0.00337645069562947
222	cds	cyt	frac.tc_num1	0.00257583392646186
223	cds	cyt	frac.tc_num1	0.00318413925866971
224	cds	cyt	frac.tc_num1	0.00234376967380393
225	cds	cyt	frac.tc_num1	0.00250792369505605
226	cds	cyt	frac.tc_num1	0.00247370665239593
227	cds	cyt	frac.tc_num1	0.00282027960671171
228	cds	cyt	frac.tc_num1	0.00180729671045489
229	cds	cyt	frac.tc_num1	0.00344449359081155
230	cds	cyt	frac.tc_num1	0.00235991599950385
231	cds	cyt	frac.tc_num1	0.00128131252091447
232	cds	cyt	frac.tc_num1	0.00263420794029258
233	cds	cyt	frac.tc_num1	0.00231316679371949
234	cds	cyt	frac.tc_num1	0.00136221382241797
235	cds	cyt	frac.tc_num1	0.00137952799903718
236	cds	cyt	frac.tc_num1	0.00221462854680847
237	cds	cyt	frac.tc_num1	0.00167026308188177
238	cds	cyt	frac.tc_num1	0.00114775745757384
239	cds	cyt	frac.tc_num1	0.00212705665484595
240	cds	cyt	frac.tc_num1	0.000908744895886344
241	cds	cyt	frac.tc_num1	0.00174982235101365
242	cds	cyt	frac.tc_num1	0.00204330073035593
243	cds	cyt	frac.tc_num1	0.00171490531638999
244	cds	cyt	frac.tc_num1	0.00429181209746817
245	cds	cyt	frac.tc_num1	0.00218510995877508
246	cds	cyt	frac.tc_num1	0.0014355667240031
247	cds	cyt	frac.tc_num1	0.0012572984389223
248	cds	cyt	frac.tc_num1	0.000758941624108534
249	cds	cyt	frac.tc_num1	0.00177591708744233
250	cds	cyt	frac.tc_num1	0.00186760708469179
251	cds	cyt	frac.tc_num1	0.00199468575097233
252	cds	cyt	frac.tc_num1	0.00152751724678187
253	cds	cyt	frac.tc_num1	0.00147104019832917
254	cds	cyt	frac.tc_num1	0.000604984894473645
255	cds	cyt	frac.tc_num1	0.00117927659159028
256	cds	cyt	frac.tc_num1	0.00287539395014251
257	cds	cyt	frac.tc_num1	0.00156479575200549
258	cds	cyt	frac.tc_num1	0.00166385373538561
259	cds	cyt	frac.tc_num1	0.00195561902825931
260	cds	cyt	frac.tc_num1	0.00124021261223221
261	cds	cyt	frac.tc_num1	0.00118623440296421
262	cds	cyt	frac.tc_num1	0.00247849713146343
263	cds	cyt	frac.tc_num1	0.00272203587776766
264	cds	cyt	frac.tc_num1	0.00107570164197753
265	cds	cyt	frac.tc_num1	0.00226053600751433
266	cds	cyt	frac.tc_num1	0.000946964796082832
267	cds	cyt	frac.tc_num1	0.00172844246773676
268	cds	cyt	frac.tc_num1	0.00344243992167213
269	cds	cyt	frac.tc_num1	0.00157490334286812
270	cds	cyt	frac.tc_num1	0.00169074306402177
271	cds	cyt	frac.tc_num1	0.00169722743321206
272	cds	cyt	frac.tc_num1	0.00121649825881217
273	cds	cyt	frac.tc_num1	0.00286588134461542
274	cds	cyt	frac.tc_num1	0.00194205159009351
275	cds	cyt	frac.tc_num1	0.00176535702605258
276	cds	cyt	frac.tc_num1	0.00118160088569342
277	cds	cyt	frac.tc_num1	0.0019077997594403
278	cds	cyt	frac.tc_num1	0.00390755592700753
279	cds	cyt	frac.tc_num1	0.000686256076895688
280	cds	cyt	frac.tc_num1	0.00194171292268895
281	cds	cyt	frac.tc_num1	0.00271898869331466
282	cds	cyt	frac.tc_num1	0.00127757410401878
283	cds	cyt	frac.tc_num1	0.00168195979938973
284	cds	cyt	frac.tc_num1	0.00155358634352723
285	cds	cyt	frac.tc_num1	0.0021805543135099
286	cds	cyt	frac.tc_num1	0.000899451270626898
287	cds	cyt	frac.tc_num1	0.00167725362674971
288	cds	cyt	frac.tc_num1	0.00146977529643469
289	cds	cyt	frac.tc_num1	0.00212121297349128
290	cds	cyt	frac.tc_num1	0.00140263243519745
291	cds	cyt	frac.tc_num1	0.00259740987674658
292	cds	cyt	frac.tc_num1	0.00271610363450665
293	cds	cyt	frac.tc_num1	0.000801862697303652
294	cds	cyt	frac.tc_num1	0.00172199508574213
295	cds	cyt	frac.tc_num1	0.00222326268486845
296	cds	cyt	frac.tc_num1	0.00212356917351445
297	cds	cyt	frac.tc_num1	0.00136518270076018
298	cds	cyt	frac.tc_num1	0.00159301744645498
299	cds	cyt	frac.tc_num1	0.00154400219740395
300	cds	cyt	frac.tc_num1	0.0017519066664441
301	cds	cyt	frac.tc_num1	0.00175475933282142
302	cds	cyt	frac.tc_num1	0.00277754396550704
303	cds	cyt	frac.tc_num1	0.00143712731777276
304	cds	cyt	frac.tc_num1	0.00139277122276687
305	cds	cyt	frac.tc_num1	0.00121068479880337
306	cds	cyt	frac.tc_num1	0.00187908104664575
307	cds	cyt	frac.tc_num1	0.00232019906719353
308	cds	cyt	frac.tc_num1	0.00337712507555511
309	cds	cyt	frac.tc_num1	0.000862797812423635
310	cds	cyt	frac.tc_num1	0.00047017030613311
311	cds	cyt	frac.tc_num1	0.000745516490349079
312	cds	cyt	frac.tc_num1	0.00173917570067387
313	cds	cyt	frac.tc_num1	0.00154726027590491
314	cds	cyt	frac.tc_num1	0.00107337307802671
315	cds	cyt	frac.tc_num1	0.000596647371250191
316	cds	cyt	frac.tc_num1	0.00131336978301232
317	cds	cyt	frac.tc_num1	0.000858406063362397
318	cds	cyt	frac.tc_num1	0.00221040005605758
319	cds	cyt	frac.tc_num1	0.00171684392370379
320	cds	cyt	frac.tc_num1	0.00185933763767654
321	cds	cyt	frac.tc_num1	0.00179992981853482
322	cds	cyt	frac.tc_num1	0.00146312932618329
323	cds	cyt	frac.tc_num1	0.000964431954157268
324	cds	cyt	frac.tc_num1	0.000525558578965987
325	cds	cyt	frac.tc_num1	0.00143904538039021
326	cds	cyt	frac.tc_num1	0.00151037045256338
327	cds	cyt	frac.tc_num1	0.00257363928535107
328	cds	cyt	frac.tc_num1	0.0031332452855142
329	cds	cyt	frac.tc_num1	0.000633005421026299
330	cds	cyt	frac.tc_num1	0.0010752549783149
331	cds	cyt	frac.tc_num1	0.000701351574794456
332	cds	cyt	frac.tc_num1	0.000765591682630776
333	cds	cyt	frac.tc_num1	0.00126762870836782
334	cds	cyt	frac.tc_num1	0.000529892454281718
335	cds	cyt	frac.tc_num1	0.00140411069761774
336	cds	cyt	frac.tc_num1	0.00105052612263006
337	cds	cyt	frac.tc_num1	0.00189080163432474
338	cds	cyt	frac.tc_num1	0.0022997918075716
339	cds	cyt	frac.tc_num1	0.00196387066570759
340	cds	cyt	frac.tc_num1	0.000826409957292923
341	cds	cyt	frac.tc_num1	0.00136458117211144
342	cds	cyt	frac.tc_num1	0.000660409827170653
343	cds	cyt	frac.tc_num1	0.00267413602528457
344	cds	cyt	frac.tc_num1	0.00219588303801387
345	cds	cyt	frac.tc_num1	0.00119011141247219
346	cds	cyt	frac.tc_num1	0.00171518168078668
347	cds	cyt	frac.tc_num1	0.00150276642015861
348	cds	cyt	frac.tc_num1	0.00150608517044522
349	cds	cyt	frac.tc_num1	0.00182355657058852
350	cds	cyt	frac.tc_num1	0.00229645770029966
351	cds	cyt	frac.tc_num1	0.00100932526854874
352	cds	cyt	frac.tc_num1	0.00376487482645197
353	cds	cyt	frac.tc_num1	0.002532212175291
354	cds	cyt	frac.tc_num1	0.00119539502870965
355	cds	cyt	frac.tc_num1	0.0010477728041772
356	cds	cyt	frac.tc_num1	0.000591463837436826
357	cds	cyt	frac.tc_num1	0.00135662407727186
358	cds	cyt	frac.tc_num1	0.00141448474160087
359	cds	cyt	frac.tc_num1	0.00199874413971212
360	cds	cyt	frac.tc_num1	0.000720208329838891
361	cds	cyt	frac.tc_num1	0.00209688594354322
362	cds	cyt	frac.tc_num1	0.00123409212833362
363	cds	cyt	frac.tc_num1	0.00123829976205428
364	cds	cyt	frac.tc_num1	0.00194213865142785
365	cds	cyt	frac.tc_num1	0.00257196756125841
366	cds	cyt	frac.tc_num1	0.00146552586712359
367	cds	cyt	frac.tc_num1	0.00224385622953723
368	cds	cyt	frac.tc_num1	0.000771531569018431
369	cds	cyt	frac.tc_num1	0.000355420598208396
370	cds	cyt	frac.tc_num1	0.00148896087362444
371	cds	cyt	frac.tc_num1	0.00108308548277173
372	cds	cyt	frac.tc_num1	0.000688619557217901
373	cds	cyt	frac.tc_num1	0.00210996988153336
374	cds	cyt	frac.tc_num1	0.00227720712654678
375	cds	cyt	frac.tc_num1	0.00132591553011147
376	cds	cyt	frac.tc_num1	0.00354056139717391
377	cds	cyt	frac.tc_num1	0.000725376270603104
378	cds	cyt	frac.tc_num1	0.00215019661717051
379	cds	cyt	frac.tc_num1	0.00166891822257759
380	cds	cyt	frac.tc_num1	0.00167302422772175
381	cds	cyt	frac.tc_num1	0.00143421635124475
382	cds	cyt	frac.tc_num1	0.00304306521618543
383	cds	cyt	frac.tc_num1	0.000916112014241492
384	cds	cyt	frac.tc_num1	0.0014652944492493
385	cds	cyt	frac.tc_num1	0.00108609107751568
386	cds	cyt	frac.tc_num1	0.00227939459013711
387	cds	cyt	frac.tc_num1	0.00237462953980469
388	cds	cyt	frac.tc_num1	0.00272496047782807
389	cds	cyt	frac.tc_num1	0.00326731130699145
390	cds	cyt	frac.tc_num1	0.00117704054703434
391	cds	cyt	frac.tc_num1	0.00110920085029538
392	cds	cyt	frac.tc_num1	0.00205303425480702
393	cds	cyt	frac.tc_num1	0.00149272418828289
394	cds	cyt	frac.tc_num1	0.00179457182800071
395	cds	cyt	frac.tc_num1	0.000579593339061146
396	cds	cyt	frac.tc_num1	0.000897315855181024
397	cds	cyt	frac.tc_num1	0.00164859685071321
398	cds	cyt	frac.tc_num1	0.00185195172728989
399	cds	cyt	frac.tc_num1	0.000990718093765702
400	cds	cyt	frac.tc_num1	0.0028172427569697
401	cds	cyt	frac.tc_num1	0.00242242710355107
402	cds	cyt	frac.tc_num1	0.00068110871774477
403	cds	cyt	frac.tc_num1	0.00129921782921695
404	cds	cyt	frac.tc_num1	0.00201431278773654
405	cds	cyt	frac.tc_num1	0.000959589737806923
406	cds	cyt	frac.tc_num1	0.00147518191054562
407	cds	cyt	frac.tc_num1	0.00245519228504524
408	cds	cyt	frac.tc_num1	0.00120235825532547
409	cds	cyt	frac.tc_num1	0.00162476780185759
410	cds	cyt	frac.tc_num1	0.00201333845322235
411	cds	cyt	frac.tc_num1	0.00210516677273977
412	cds	cyt	frac.tc_num1	0.000828517634131439
413	cds	cyt	frac.tc_num1	0.00205679009794019
414	cds	cyt	frac.tc_num1	0.000446231839907607
415	cds	cyt	frac.tc_num1	0.00132471027377518
416	cds	cyt	frac.tc_num1	0.00163085811898788
417	cds	cyt	frac.tc_num1	0.00105712306912334
418	cds	cyt	frac.tc_num1	0.00206507979064621
419	cds	cyt	frac.tc_num1	0.000962348322954307
420	cds	cyt	frac.tc_num1	0.00364110299791136
421	cds	cyt	frac.tc_num1	0.00152528091990299
422	cds	cyt	frac.tc_num1	0.00179621857772626
423	cds	cyt	frac.tc_num1	0.000835841452774928
424	cds	cyt	frac.tc_num1	0.00210218833803102
425	cds	cyt	frac.tc_num1	0.00230679788166142
426	cds	cyt	frac.tc_num1	0.00134053916162264
427	cds	cyt	frac.tc_num1	0.00185885939884219
428	cds	cyt	frac.tc_num1	0.00181676971429581
429	cds	cyt	frac.tc_num1	0.00111083047743005
430	cds	cyt	frac.tc_num1	0.00142267414575516
431	cds	cyt	frac.tc_num1	0.00218230200913854
432	cds	cyt	frac.tc_num1	0.00163455432451223
433	cds	cyt	frac.tc_num1	0.0023241516250461
434	cds	cyt	frac.tc_num1	0.00178673431189978
435	cds	cyt	frac.tc_num1	0.00134637222053195
436	cds	cyt	frac.tc_num1	0.000807771280951161
437	cds	cyt	frac.tc_num1	0.000472637201696963
438	cds	cyt	frac.tc_num1	0.00241787490622846
439	cds	cyt	frac.tc_num1	0.00232237337455991
440	cds	cyt	frac.tc_num1	0.0016361629361054
441	cds	cyt	frac.tc_num1	0.00164798715772133
442	cds	cyt	frac.tc_num1	0.00122624800953397
443	cds	cyt	frac.tc_num1	0.00106832615683284
444	cds	cyt	frac.tc_num1	0.00167691608779518
445	cds	cyt	frac.tc_num1	0.000770605045638105
446	cds	cyt	frac.tc_num1	0.00090570011604931
447	cds	cyt	frac.tc_num1	0.0021637785052536
448	cds	cyt	frac.tc_num1	0.00267772671520367
449	cds	cyt	frac.tc_num1	0.0010933692459554
450	cds	cyt	frac.tc_num1	0.000440969514350095
451	cds	cyt	frac.tc_num1	0.00253087636748634
452	cds	cyt	frac.tc_num1	0.00152744394598073
453	cds	cyt	frac.tc_num1	0.00199156192511344
454	cds	cyt	frac.tc_num1	0.00151452017525529
455	cds	cyt	frac.tc_num1	0.00295460176606445
456	cds	cyt	frac.tc_num1	0.000754693374108845
457	cds	cyt	frac.tc_num1	0.00155262066638357
458	cds	cyt	frac.tc_num1	0.00209640949193901
459	cds	cyt	frac.tc_num1	0.000877945605839049
460	cds	cyt	frac.tc_num1	0.00430686355054486
461	cds	cyt	frac.tc_num1	0.00299349208729621
462	cds	cyt	frac.tc_num1	0.00106766334810881
463	cds	cyt	frac.tc_num1	0.00151872134743692
464	cds	cyt	frac.tc_num1	0.00045170759349682
465	cds	cyt	frac.tc_num1	0.000428454301406975
466	cds	cyt	frac.tc_num1	0.00130909022555562
467	cds	cyt	frac.tc_num1	0.000473648743643072
468	cds	cyt	frac.tc_num1	0.00102188017200229
469	cds	cyt	frac.tc_num1	0.00215537264034848
470	cds	cyt	frac.tc_num1	0.000806013687807865
471	cds	cyt	frac.tc_num1	0.000636602830312706
472	cds	cyt	frac.tc_num1	0.00144786013540206
473	cds	cyt	frac.tc_num1	0.00125938547940538
474	cds	cyt	frac.tc_num1	0.00298036826163633
475	cds	cyt	frac.tc_num1	0.00150459916679938
476	cds	cyt	frac.tc_num1	0.000693782483918905
477	cds	cyt	frac.tc_num1	0.00150924587509406
478	cds	cyt	frac.tc_num1	0.0012168909347182
479	cds	cyt	frac.tc_num1	0.00152966331185569
480	cds	cyt	frac.tc_num1	0.00297251955116404
481	cds	cyt	frac.tc_num1	0.000513418121358945
482	cds	cyt	frac.tc_num1	0.00238989855608727
483	cds	cyt	frac.tc_num1	0.00159937157017269
484	cds	cyt	frac.tc_num1	0.00160885746699349
485	cds	cyt	frac.tc_num1	0.00129183126823053
486	cds	cyt	frac.tc_num1	0.000316393948951425
487	cds	cyt	frac.tc_num1	0.00134335005974243
488	cds	cyt	frac.tc_num1	0.000822560400155484
489	cds	cyt	frac.tc_num1	0.00130041383445311
490	cds	cyt	frac.tc_num1	0.00190531095311255
491	cds	cyt	frac.tc_num1	0.000707531940839493
492	cds	cyt	frac.tc_num1	0.00182969218187317
493	cds	cyt	frac.tc_num1	0.00101664033964479
494	cds	cyt	frac.tc_num1	0.00113767340603618
495	cds	cyt	frac.tc_num1	0.000748822046625117
496	cds	cyt	frac.tc_num1	0.00243789892095158
497	cds	cyt	frac.tc_num1	0.00187128979218517
498	cds	cyt	frac.tc_num1	0.00231970879750964
499	cds	cyt	frac.tc_num1	0.00158775023204309
500	cds	cyt	frac.tc_num1	0.00138191978094533
501	cds	cyt	frac.tc_num1	0.00103401312481943
502	cds	cyt	frac.tc_num1	0.00127359885892663
503	cds	cyt	frac.tc_num1	0.00226383409317875
504	cds	cyt	frac.tc_num1	0.000600857522582936
505	cds	cyt	frac.tc_num1	0.00237229250922698
506	cds	cyt	frac.tc_num1	0.00144849677047833
507	cds	cyt	frac.tc_num1	0.00119539010365796
508	cds	cyt	frac.tc_num1	0.00371180099069674
509	cds	cyt	frac.tc_num1	0.0012548702508577
510	cds	cyt	frac.tc_num1	0.000560742213046412
511	cds	cyt	frac.tc_num1	0.00186030594857097
512	cds	cyt	frac.tc_num1	0.00227818449780707
513	cds	cyt	frac.tc_num1	0.000424687881469387
514	cds	cyt	frac.tc_num1	0.00143806056603212
515	cds	cyt	frac.tc_num1	0.000737361280335703
516	cds	cyt	frac.tc_num1	0.00218983285525682
