Gene.names	Razor...unique.peptides	lfq.hdlbp1	lfq.ctrl2	lfq.hdlbp2	lfq.ctrl3	lfq.hdlbp3	up1	up2	up3
OGT	8	102090000	0	80919000	0	0	NA	NA	NA
PPM1G	3	22267000	0	0	0	0	NA	NA	NA
INPPL1	7	84922000	0	58232000	0	0	NA	NA	NA
EIF3D	10	297390000	0	296690000	30814000	88777000	enr1	enr2	NA
EIF3H	5	0	0	42958000	0	0	NA	NA	NA
IPO8	7	30707000	0	31256000	0	0	NA	NA	NA
YKT6	3	83591000	0	124450000	0	63679000	NA	NA	NA
NUPL2	3	0	0	0	3388800	0	NA	NA	NA
DHX15	12	112110000	97393000	93941000	50546000	78169000	NA	NA	NA
PJA2	3	15566000	0	0	0	0	NA	NA	NA
SIPA1L1	3	12953000	0	0	0	0	NA	NA	NA
PRPF4	7	62931000	47166000	61336000	0	43825000	NA	NA	NA
PHGDH	10	592050000	245400000	577600000	64751000	243110000	NA	NA	enr3
PSMD3	34	2719100000	1544200000	2782800000	399180000	1385100000	NA	NA	enr3
RBFOX2;RBFOX1;RBFOX3	9	155590000	36966000	91869000	0	33671000	enr1	NA	NA
CCP110	6	62439000	0	42845000	0	0	NA	NA	NA
CTIF	4	0	0	31172000	0	0	NA	NA	NA
PPIP5K2;PPIP5K1	4	33975000	0	0	0	0	NA	NA	NA
MAP3K7	4	43575000	0	49943000	0	27273000	NA	NA	NA
EEF1E1	8	180140000	66420000	137550000	0	57132000	NA	NA	NA
RIPK2	7	85457000	0	104140000	0	0	NA	NA	NA
WDR62	10	194560000	0	202180000	0	0	enr1	enr2	NA
HNRNPR	9	71143000	76832000	63345000	0	0	NA	NA	NA
TXNL1	10	259480000	0	382980000	0	391460000	enr1	enr2	enr3
TPD52L2	6	154150000	0	219320000	0	0	enr1	enr2	NA
SYNJ1	24	193570000	0	245230000	0	127620000	enr1	enr2	NA
FIBP	4	54065000	0	50297000	0	18093000	NA	NA	NA
EIF4G3	32	1730200000	16255000	1358100000	0	46370000	enr1	enr2	NA
EPB41L2	22	640120000	25149000	487390000	0	87411000	enr1	enr2	NA
XPOT	20	848370000	227890000	709170000	89563000	381950000	enr1	enr2	enr3
TIMM44	15	493020000	143290000	376380000	0	164750000	enr1	NA	enr3
BUB3	7	110260000	0	125340000	0	0	NA	NA	NA
ACTN4	21	321210000	32064000	269830000	0	104650000	enr1	enr2	NA
AP1G1	5	0	0	82472000	0	0	NA	NA	NA
ENSA	4	76772000	0	117600000	0	65790000	NA	NA	NA
SLC25A20	3	20968000	0	0	0	0	NA	NA	NA
NARS	7	58904000	0	68251000	0	52755000	NA	NA	NA
MYO1B	22	376220000	17527000	261480000	6356200	18010000	enr1	enr2	NA
SLC25A17	9	126970000	59111000	144540000	57110000	36075000	NA	NA	NA
NUDT21	4	93973000	0	97117000	0	0	NA	NA	NA
AKAP8	3	0	27581000	0	0	0	NA	NA	NA
GTPBP6	4	17330000	0	0	0	0	NA	NA	NA
SLC37A4	3	130420000	0	97310000	0	65260000	NA	NA	NA
IDH3B	14	320200000	169440000	352450000	46911000	130310000	NA	NA	NA
NRD1	3	0	0	0	0	4223300	NA	NA	NA
AHCYL1	6	0	0	0	0	52840000	NA	NA	NA
KIF1C	5	0	0	17676000	0	0	NA	NA	NA
ORC5	7	119020000	46120000	82189000	0	54415000	NA	NA	NA
ORC4	7	42208000	23184000	0	0	0	NA	NA	NA
RAD21	7	112180000	57712000	114790000	0	0	NA	NA	NA
DHX16	3	0	3139000	0	0	0	NA	NA	NA
MED14	3	32091000	0	0	0	0	NA	NA	NA
PRPSAP2	8	79692000	0	62516000	0	0	NA	NA	NA
SMARCA5	30	813960000	199740000	584240000	97307000	478760000	enr1	NA	enr3
SPAG9	30	707940000	0	499950000	0	57471000	enr1	enr2	NA
KIF5C	3	17515000	0	14205000	0	0	NA	NA	NA
SIPA1L3	5	0	0	143910000	0	0	NA	enr2	NA
AQR	3	0	0	14079000	0	0	NA	NA	NA
OPA1	5	26033000	0	0	0	0	NA	NA	NA
KDM1A	7	15359000	0	0	0	0	NA	NA	NA
TBC1D4	11	79829000	56792000	44238000	27994000	0	NA	NA	NA
FADS1	4	54449000	34886000	48523000	0	0	NA	NA	NA
MGEA5	5	77145000	0	58740000	0	0	NA	NA	NA
SYNCRIP	14	736730000	175900000	874380000	98059000	637670000	enr1	enr2	enr3
NEMF	5	0	0	27981000	0	0	NA	NA	NA
GMDS	5	50819000	0	0	0	0	NA	NA	NA
CCNT1	7	25801000	13665000	32469000	0	14560000	NA	NA	NA
BUB1B	23	377230000	0	381780000	0	89973000	enr1	enr2	NA
EIF4E2	13	3.835e+09	52691000	2728500000	21851000	186520000	enr1	enr2	enr3
DIAPH1	18	138930000	72100000	1.12e+08	0	84874000	NA	NA	NA
EXOC3	7	0	0	58924000	0	0	NA	NA	NA
PLIN3	7	120350000	0	158720000	0	59693000	NA	enr2	NA
PRMT3	5	0	0	50298000	0	0	NA	NA	NA
KPNA6;KPNA5	4	66375000	32067000	46944000	0	38385000	NA	NA	NA
UGDH	8	30820000	0	29305000	0	0	NA	NA	NA
CTNND1	10	115380000	0	118550000	0	57792000	NA	NA	NA
SNX2	14	342910000	133740000	345330000	0	187270000	NA	NA	enr3
DPM1	13	499190000	161570000	400800000	55023000	195310000	enr1	NA	enr3
USO1	7	52215000	0	61542000	0	0	NA	NA	NA
HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST1H2BA	7	8646700000	8.352e+09	9227300000	2563700000	3158300000	NA	NA	NA
CCDC22	3	23055000	0	0	0	0	NA	NA	NA
DKC1	5	30906000	0	31578000	0	0	NA	NA	NA
EIF5B	23	525920000	22146000	423650000	0	75958000	enr1	enr2	NA
EDF1	3	0	0	58279000	0	0	NA	NA	NA
DNAJA2	10	159740000	54531000	164730000	0	0	NA	enr2	NA
HUS1	3	25436000	0	42430000	0	23161000	NA	NA	NA
NBN	30	735750000	2153300000	483510000	935580000	0	NA	NA	NA
RNGTT	9	104470000	38084000	55603000	0	0	NA	NA	NA
ABCB7	13	652610000	147980000	552890000	43610000	166160000	enr1	enr2	enr3
SRGAP2	6	76155000	0	63366000	0	28392000	NA	NA	NA
N4BP1	14	321690000	0	341430000	0	58010000	enr1	enr2	NA
CPNE3	4	24423000	0	0	0	0	NA	NA	NA
CLUH	14	141210000	0	148290000	0	0	enr1	enr2	NA
DNAJC13	4	21708000	0	12765000	0	0	NA	NA	NA
PPP6R2	7	195740000	0	116640000	0	37295000	enr1	NA	NA
CNOT3	9	164110000	0	155680000	0	25031000	enr1	enr2	NA
ANKRD17	26	1070800000	30391000	790230000	0	192430000	enr1	enr2	enr3
SIN3B	10	96581000	0	77640000	0	0	NA	NA	NA
DNAJB6	4	0	0	41324000	0	0	NA	NA	NA
NDUFS2	6	80636000	0	47158000	0	0	NA	NA	NA
PDCD6	4	183830000	55007000	105600000	0	71567000	enr1	NA	NA
VPS4B	5	34761000	0	0	0	0	NA	NA	NA
MPDU1	3	166540000	24063000	96354000	0	47399000	enr1	NA	NA
H2AFY	9	309340000	247260000	3.01e+08	208110000	206280000	NA	NA	NA
FLNB	69	2303700000	24375000	1855900000	0	934320000	enr1	enr2	enr3
PEX14	7	288950000	0	210930000	0	0	enr1	enr2	NA
SEC22B	5	83331000	0	69714000	0	46478000	NA	NA	NA
TACC1	5	61387000	0	57903000	0	0	NA	NA	NA
CDC45	13	311160000	102140000	235530000	0	99651000	enr1	NA	NA
GIGYF1	3	32149000	0	0	0	0	NA	NA	NA
MED24	3	9820500	0	0	0	0	NA	NA	NA
KATNA1	4	31795000	0	0	0	0	NA	NA	NA
ERLIN1	4	51195000	0	0	0	0	NA	NA	NA
NDUFS3	6	31478000	0	20570000	0	0	NA	NA	NA
SRSF10	3	0	0	0	0	5599500	NA	NA	NA
ECI2	3	39660000	15685000	0	0	0	NA	NA	NA
SF3B1	22	326990000	140780000	385710000	0	106410000	NA	NA	NA
CSDE1	38	2.167e+10	541720000	2.2928e+10	37317000	8033900000	enr1	enr2	enr3
PRKRA	3	0	0	59024000	0	0	NA	NA	NA
MYCBP2	3	23408000	0	0	0	0	NA	NA	NA
ERAL1	4	50908000	0	0	0	0	NA	NA	NA
SNRNP200	50	887280000	316740000	674450000	0	160900000	NA	NA	enr3
TRMU	7	91821000	0	79647000	0	0	NA	NA	NA
TIPRL	13	1.954e+09	73632000	2439100000	0	1870500000	enr1	enr2	enr3
OFD1	11	32357000	0	40320000	0	0	NA	NA	NA
UTP20	5	37406000	0	31893000	0	0	NA	NA	NA
NUP155	14	108080000	44694000	70377000	0	0	NA	NA	NA
SLC25A12	6	27466000	0	23819000	0	0	NA	NA	NA
ATP6AP2	3	0	0	0	0	2102500	NA	NA	NA
RNASEH2A	3	0	0	17914000	0	0	NA	NA	NA
CDC123	9	218200000	81942000	282910000	43661000	152150000	NA	enr2	enr3
POP7	3	147260000	0	123550000	0	57685000	enr1	NA	NA
EIF3G	8	765280000	155890000	579760000	0	124080000	enr1	enr2	NA
EIF3J	3	65321000	0	0	0	0	NA	NA	NA
PPP1R37	5	0	0	39530000	0	0	NA	NA	NA
IDH1	4	0	0	0	0	5132500	NA	NA	NA
STAM2	3	37986000	0	0	0	0	NA	NA	NA
FLOT1	13	169670000	67334000	133230000	0	0	NA	NA	NA
TRIO	3	24250000	0	0	0	0	NA	NA	NA
ATP5L	6	0	0	70699000	0	40858000	NA	NA	NA
MPDZ	3	5426500	0	0	0	0	NA	NA	NA
CPD	5	0	0	20045000	0	0	NA	NA	NA
GLRX3	4	32225000	14750000	31079000	0	0	NA	NA	NA
RSL1D1	16	1048300000	378810000	927100000	192940000	359550000	NA	NA	NA
CLPX	10	43293000	31679000	40928000	0	43833000	NA	NA	NA
NEBL	4	0	0	41594000	0	25576000	NA	NA	NA
SRP72	5	0	0	67824000	0	0	NA	NA	NA
MTA2	6	46672000	0	54804000	0	0	NA	NA	NA
ALDH1A2	19	559660000	0	679570000	0	492680000	enr1	enr2	enr3
LTN1	14	134930000	18195000	82712000	0	0	enr1	NA	NA
DDHD2	5	34855000	0	25447000	0	0	NA	NA	NA
MYO1D	14	491810000	216720000	341830000	0	169280000	NA	NA	enr3
TOX4	7	81916000	0	92834000	0	86993000	NA	NA	NA
UFL1	13	150890000	25438000	124680000	0	37619000	enr1	NA	NA
FARP2	6	59753000	0	53820000	0	0	NA	NA	NA
SUN1	7	69147000	0	63464000	0	0	NA	NA	NA
PROSC	3	0	0	0	0	18193000	NA	NA	NA
ERLIN2	12	424210000	234050000	226710000	73109000	224650000	NA	NA	enr3
PRPF6	10	50723000	0	0	0	0	NA	NA	NA
GLS	5	37556000	0	0	0	0	NA	NA	NA
HAUS5	9	56452000	0	71129000	0	0	NA	NA	NA
AP2A2	6	39477000	0	37175000	0	0	NA	NA	NA
CEP152	3	33509000	0	25367000	0	0	NA	NA	NA
CCNB2	6	90431000	0	150290000	0	0	NA	enr2	NA
YIF1A	3	29467000	0	0	0	0	NA	NA	NA
UBR5	11	0	64448000	0	0	0	NA	NA	NA
MFN2	8	78735000	35705000	57306000	0	0	NA	NA	NA
IKBKAP	6	80055000	0	87865000	0	0	NA	NA	NA
SNX4	7	104420000	0	99525000	0	25773000	NA	NA	NA
LUC7L3	9	0	138230000	67413000	0	0	NA	NA	NA
KIF4A	7	62074000	0	50311000	0	0	NA	NA	NA
TNKS	4	0	28188000	0	0	0	NA	NA	NA
VAPB	3	25011000	0	0	0	0	NA	NA	NA
NDUFA10	11	416230000	238320000	425040000	84697000	121330000	NA	NA	NA
SMC2	34	839480000	454230000	790550000	0	182690000	NA	NA	enr3
TACC2	3	39986000	0	34749000	0	0	NA	NA	NA
IPO7	10	178340000	59217000	183460000	0	81084000	enr1	enr2	NA
PGM3	6	45754000	38184000	72736000	0	0	NA	NA	NA
MOCS3	6	33651000	0	13111000	0	0	NA	NA	NA
ZFYVE9	3	26243000	0	0	0	0	NA	NA	NA
SVIL	9	52905000	0	31205000	0	0	NA	NA	NA
AHSA1	16	1166400000	345500000	1113400000	137090000	392280000	enr1	enr2	NA
PARN	3	5335700	0	0	0	0	NA	NA	NA
CTDNEP1	4	53492000	0	0	0	0	NA	NA	NA
NSA2	7	197120000	109170000	174790000	110340000	67868000	NA	NA	NA
SEC24A	11	205910000	66672000	142710000	0	76754000	enr1	NA	NA
SEC24B	7	0	0	0	0	18878000	NA	NA	NA
MPC2	3	40913000	0	47720000	0	0	NA	NA	NA
ACSL3	9	117510000	52614000	125420000	66054000	99043000	NA	NA	NA
PCNT	5	13589000	0	0	0	0	NA	NA	NA
YEATS4	3	0	0	28625000	0	0	NA	NA	NA
CNOT4	4	26107000	0	42629000	0	0	NA	NA	NA
STAMBP	4	0	0	50555000	0	16092000	NA	NA	NA
CDS2	4	58023000	0	42797000	0	0	NA	NA	NA
FGFR1OP	4	0	0	0	0	23037000	NA	NA	NA
ESRRB	5	0	204990000	0	0	0	NA	NA	NA
SNAP29	10	494660000	0	602910000	0	276840000	enr1	enr2	enr3
OXSR1	7	174860000	36904000	134740000	0	0	enr1	enr2	NA
HSPA4L	14	177460000	0	158920000	0	114310000	enr1	enr2	NA
PTBP3	4	28752000	0	0	0	0	NA	NA	NA
TBC1D8	6	63587000	0	36646000	0	0	NA	NA	NA
LSM8	3	42882000	0	36911000	0	46148000	NA	NA	NA
AP2A1	16	171570000	54482000	136280000	0	0	enr1	NA	NA
STAU1	15	493410000	18979000	645380000	22679000	146130000	enr1	enr2	enr3
BAG2	9	489410000	187200000	417950000	0	0	NA	NA	NA
BAG3	11	130050000	0	147830000	0	95879000	NA	enr2	NA
MAP4K4	3	4538800	0	0	0	0	NA	NA	NA
AIFM1	14	430620000	46857000	203110000	0	0	enr1	enr2	NA
BPNT1	4	0	0	52402000	0	38678000	NA	NA	NA
FADS2	6	143630000	64318000	190150000	50118000	56295000	NA	NA	NA
TXNDC12	4	0	77281000	0	0	0	NA	NA	NA
ECD	13	783380000	0	750170000	0	225440000	enr1	enr2	enr3
TOP3B	22	1028300000	0	1093100000	0	417290000	enr1	enr2	enr3
CLPTM1	7	43693000	0	45107000	0	0	NA	NA	NA
MOCS2	3	24797000	0	0	0	0	NA	NA	NA
TOMM40	10	432440000	127250000	339550000	0	143930000	enr1	NA	enr3
PAK4	10	190120000	0	196340000	0	94746000	enr1	enr2	NA
LDHA	12	186450000	243430000	331720000	127990000	82957000	NA	NA	NA
GLUD1;GLUD2	11	181360000	46755000	125700000	0	46174000	enr1	NA	NA
DHFR	12	427220000	487610000	498070000	165510000	126920000	NA	NA	NA
GSR	6	72196000	96784000	0	45277000	0	NA	NA	NA
PNP	9	39596000	0	83283000	0	28936000	NA	NA	NA
HPRT1	8	130180000	167010000	126940000	53572000	44554000	NA	NA	NA
PGK1	3	0	0	16176000	0	0	NA	NA	NA
ASS1	11	518100000	44478000	247570000	0	100440000	enr1	enr2	NA
LMNA	14	208330000	93523000	60466000	23252000	0	NA	NA	NA
TFRC	9	41746000	25925000	41178000	0	0	NA	NA	NA
MT-ND1	3	86765000	0	46198000	21018000	0	NA	NA	NA
RAF1	7	115910000	20974000	82349000	0	0	NA	NA	NA
ALDOA	8	53859000	87542000	62300000	0	39519000	NA	NA	NA
CSTB	3	0	166540000	0	51882000	61261000	NA	NA	NA
NR3C1	7	85561000	0	88464000	0	55441000	NA	NA	NA
TK1	4	0	0	81432000	0	0	NA	NA	NA
KRT1	48	1.4494e+10	6.2763e+10	2.6196e+10	3165500000	1.6422e+10	NA	NA	enr3
TUBB4A	4	143450000	56499000	89270000	0	43088000	NA	NA	NA
GAPDH	11	188680000	534860000	195110000	30500000	110040000	NA	NA	NA
HLA-A;HLA-H	4	17233000	0	0	0	0	NA	NA	NA
TP53	19	1.0579e+10	2.7779e+10	5509400000	7449900000	214670000	NA	NA	NA
HSPB1	5	63297000	0	0	0	0	NA	NA	NA
TYMS	5	0	0	0	18813000	0	NA	NA	NA
RPN1	18	275600000	90350000	235320000	0	117770000	enr1	NA	NA
RPN2	18	323620000	253630000	278440000	117570000	232260000	NA	NA	NA
ATP1A1	21	259290000	77331000	381160000	0	187730000	enr1	enr2	enr3
SLC25A5	6	7.85e+09	2934500000	6084900000	908730000	2255600000	NA	NA	NA
PCCA	46	1.4242e+11	1.3212e+11	6.0606e+10	4.827e+10	1.5604e+10	NA	NA	NA
PCCB	25	8.2593e+10	8.4451e+10	3.5182e+10	3.188e+10	7469200000	NA	NA	NA
EIF2S1	11	229260000	46302000	204350000	17934000	0	enr1	enr2	NA
RPLP2	7	1256900000	535860000	1.571e+09	139060000	759400000	NA	NA	enr3
RPLP0;RPLP0P6	9	1568500000	1101500000	1190600000	394310000	974840000	NA	NA	NA
SSB	6	39435000	0	32953000	0	0	NA	NA	NA
PRKCB	3	38931000	0	30340000	0	0	NA	NA	NA
KRT18	13	120360000	0	62615000	37950000	96785000	NA	NA	NA
RB1	3	0	0	42241000	0	0	NA	NA	NA
PTMA	4	0	31860000	0	0	0	NA	NA	NA
CDK1	20	3620800000	1763600000	3533700000	647730000	1711800000	NA	NA	NA
ATP5B	24	2919300000	1680600000	2988500000	404310000	1091800000	NA	NA	NA
S100A9	6	0	669360000	76682000	0	0	NA	NA	NA
EIF4E	4	355130000	0	218360000	0	134550000	enr1	enr2	enr3
ENO1	19	1.1688e+10	8373600000	1.2054e+10	2398200000	4169200000	NA	NA	NA
PYGL	34	811650000	290940000	650440000	90040000	212350000	NA	NA	NA
GPI	5	22740000	0	0	0	48808000	NA	NA	NA
NPM1	10	1047700000	568610000	939910000	231500000	479400000	NA	NA	NA
TPM3	3	22260000	0	0	0	0	NA	NA	NA
LDHB	13	542420000	311180000	543390000	14994000	208940000	NA	NA	enr3
GPX1	3	0	11290000	0	0	0	NA	NA	NA
P4HB	9	31980000	30805000	34898000	0	0	NA	NA	NA
H1F0	4	0	0	0	0	5491800	NA	NA	NA
ANXA2;ANXA2P2	15	409050000	254780000	590250000	39859000	446100000	NA	NA	enr3
CAPN1	9	215950000	0	107610000	28921000	0	enr1	NA	NA
TUBB	21	4.1271e+10	1.5843e+10	3.3156e+10	8886200000	1.8077e+10	NA	NA	NA
PFN1	6	131250000	89619000	195660000	0	122900000	NA	NA	NA
EPRS	39	1855800000	736520000	1386700000	276870000	873700000	NA	NA	enr3
HSP90AA1	18	792340000	734290000	823950000	359340000	344780000	NA	NA	NA
HNRNPC;HNRNPCL1	11	780560000	968810000	720480000	337480000	623220000	NA	NA	NA
HSPA1A	28	6.3262e+10	1.5016e+10	5.3089e+10	7856200000	2.8079e+10	enr1	enr2	enr3
SLC3A2	8	92986000	0	74659000	0	33020000	NA	NA	NA
PFKM	19	1094700000	413450000	910600000	106260000	159510000	NA	NA	NA
HSP90AB1	38	7.76e+09	5030200000	9087300000	1.561e+09	2542300000	NA	NA	NA
SRPR	11	2.27e+08	57212000	145220000	0	68096000	enr1	NA	NA
ASNS	12	138650000	52434000	136310000	0	236170000	NA	NA	enr3
