gene_id	Symbol	tc_CDS	tc_CDS_norm	tpm_cutoff	localization_cat	Annotation
ENSG00000039560.9	RAI14	14.5	0.567292644757434	25.56	cytosolic	protein_coding
ENSG00000040531.10	CTNS	5	0.744601638123604	6.715	membrane	protein_coding
ENSG00000041982.10	TNC	43.5	16.0813308687616	2.705	membrane	protein_coding
ENSG00000042088.9	TDP1	5	0.121418164157358	41.18	cytosolic	protein_coding
ENSG00000042445.9	RETSAT	126	10.2065613608748	12.345	membrane	protein_coding
ENSG00000042753.7	AP2S1	6.5	0.0293632688094324	221.365	cytosolic	protein_coding
ENSG00000043039.5	BARX2	6.5	0.41507024265645	15.66	cytosolic	protein_coding
ENSG00000044115.16	CTNNA1	64.5	0.717463848720801	89.9	cytosolic	protein_coding
ENSG00000044524.6	EPHA3	40	10.3761348897536	3.855	membrane	protein_coding
ENSG00000044574.7	HSPA5	204.5	3.03120136367005	67.465	membrane	protein_coding
ENSG00000046604.8	DSG2	369.5	14.7829565913183	24.995	membrane	protein_coding
ENSG00000047315.10	POLR2B	116	2.16397724092902	53.605	cytosolic	protein_coding
ENSG00000047410.9	TPR	144.5	11.2451361867704	12.85	cytosolic	protein_coding
ENSG00000047634.10	SCML1	83	0.452686119443687	183.35	cytosolic	protein_coding
ENSG00000047849.17	MAP4	46.5	1.05454133121669	44.095	cytosolic	protein_coding
ENSG00000048740.13	CELF2	4.5	0.295955277869122	15.205	cytosolic	protein_coding
ENSG00000048828.12	FAM120A	6.5	0.196761011048888	33.035	cytosolic	protein_coding
ENSG00000049239.8	H6PD	44	5.23497917906008	8.405	membrane	protein_coding
ENSG00000049323.11	LTBP1	238	27.9835390946502	8.505	membrane	protein_coding
ENSG00000049449.4	RCN1	135.5	1.31559784455556	102.995	membrane	protein_coding
ENSG00000049656.9	CLPTM1L	187.5	1.86660029865605	100.45	membrane	protein_coding
ENSG00000049860.9	HEXB	302	4.05723114126419	74.435	membrane	protein_coding
ENSG00000050130.13	JKAMP	89.5	3.49609375	25.6	membrane	protein_coding
ENSG00000050344.8	NFE2L3	25	2.51130085384229	9.955	membrane	protein_coding
ENSG00000050393.7	MCUR1	4	0.25624599615631	15.61	cytosolic	protein_coding
ENSG00000050438.12	SLC4A8	8.5	4.84330484330484	1.755	membrane	protein_coding
ENSG00000050748.13	MAPK9	25	0.634115409004439	39.425	cytosolic	protein_coding
ENSG00000051523.6	CYBA	85	0.491983561960989	172.77	membrane	protein_coding
ENSG00000051620.6	HEBP2	71	3.48808646524196	20.355	cytosolic	protein_coding
ENSG00000052126.10	PLEKHA5	6	0.928792569659443	6.46	cytosolic	protein_coding
ENSG00000052723.7	SIKE1	14	0.344318740777177	40.66	cytosolic	protein_coding
ENSG00000052749.9	RRP12	25.5	1.31307929969104	19.42	cytosolic	protein_coding
ENSG00000052841.10	TTC17	72	3.78151260504202	19.04	membrane	protein_coding
ENSG00000053254.11	FOXN3	3	0.260869565217391	11.5	cytosolic	protein_coding
ENSG00000053371.8	AKR7A2	22.5	0.306581278103284	73.39	cytosolic	protein_coding
ENSG00000053372.4	MRTO4	14	0.144196106705119	97.09	cytosolic	protein_coding
ENSG00000054118.9	THRAP3	111.5	2.21537850188754	50.33	cytosolic	protein_coding
ENSG00000054267.16	ARID4B	14	1.80995475113122	7.735	cytosolic	protein_coding
ENSG00000054392.8	HHAT	13.5	1.78217821782178	7.575	membrane	protein_coding
ENSG00000054690.9	PLEKHH1	6.5	1.03916866506795	6.255	cytosolic	protein_coding
ENSG00000054793.9	ATP9A	26.5	2.17391304347826	12.19	membrane	protein_coding
ENSG00000054983.12	GALC	7.5	3.09917355371901	2.42	membrane	protein_coding
ENSG00000055211.8	GINM1	60	1.86886777760473	32.105	membrane	protein_coding
ENSG00000056097.11	ZFR	56	1.01339124140427	55.26	cytosolic	protein_coding
ENSG00000057019.11	DCBLD2	69.5	8.14294083186878	8.535	membrane	protein_coding
ENSG00000057252.8	SOAT1	243	15.2494508942579	15.935	membrane	protein_coding
ENSG00000057608.12	GDI2	33	0.193061487158486	170.93	cytosolic	protein_coding
ENSG00000057704.6	TMCC3	8	2.21914008321775	3.605	cytosolic	protein_coding
ENSG00000058063.11	ATP11B	46	2.82642089093702	16.275	membrane	protein_coding
ENSG00000058262.5	SEC61A1	573.5	9.87856343122901	58.055	membrane	protein_coding
ENSG00000058600.11	POLR3E	4.5	0.116746659748346	38.545	cytosolic	protein_coding
ENSG00000058668.10	ATP2B4	69.5	7.30042016806723	9.52	membrane	protein_coding
ENSG00000058673.11	ZC3H11A	6	0.0804073974805682	74.62	cytosolic	protein_coding
ENSG00000059573.4	ALDH18A1	149.5	1.66889930788122	89.58	cytosolic	protein_coding
ENSG00000060138.8	YBX3	6.5	0.0240887950043545	269.835	cytosolic	protein_coding
ENSG00000060237.12	WNK1	204.5	2.35599078341014	86.8	cytosolic	protein_coding
ENSG00000060339.9	CCAR1	104.5	4.69768487300517	22.245	cytosolic	protein_coding
ENSG00000060642.6	PIGV	12	1.44927536231884	8.28	membrane	protein_coding
ENSG00000060656.15	PTPRU	106.5	6.32235084594835	16.845	membrane	protein_coding
ENSG00000060688.8	SNRNP40	6.5	0.0584900566903626	111.13	cytosolic	protein_coding
ENSG00000060749.10	QSER1	18	2.23880597014925	8.04	cytosolic	protein_coding
ENSG00000060982.10	BCAT1	36.5	1.28025254296738	28.51	cytosolic	protein_coding
ENSG00000061676.10	NCKAP1	92.5	2.22784200385356	41.52	cytosolic	protein_coding
ENSG00000061936.5	SFSWAP	8	0.326730651419236	24.485	cytosolic	protein_coding
ENSG00000061987.10	MON2	8	0.900393922341024	8.885	cytosolic	protein_coding
ENSG00000062038.9	CDH3	3.5	0.585774058577406	5.975	membrane	protein_coding
ENSG00000062485.14	CS	103.5	0.463014740420963	223.535	cytosolic	protein_coding
ENSG00000062716.6	VMP1	78.5	1.90349175557711	41.24	membrane	protein_coding
ENSG00000062822.8	POLD1	31.5	0.695057369814651	45.32	cytosolic	protein_coding
ENSG00000063046.13	EIF4B	33	0.104680486605656	315.245	cytosolic	protein_coding
ENSG00000063177.8	RPL18	588.5	0.139382312538487	4222.2	cytosolic	protein_coding
ENSG00000063244.8	U2AF2	159	0.607949222857361	261.535	cytosolic	protein_coding
ENSG00000063322.9	MED29	5.5	0.133284866109294	41.265	cytosolic	protein_coding
ENSG00000063660.4	GPC1	33.5	5.85152838427948	5.725	membrane	protein_coding
ENSG00000063854.8	HAGH	6.5	0.0597234345568981	108.835	cytosolic	protein_coding
ENSG00000064115.6	TM7SF3	230	4.4014926801263	52.255	membrane	protein_coding
ENSG00000064300.4	NGFR	6.5	4.48275862068966	1.45	membrane	protein_coding
ENSG00000064309.10	CDON	77	9.79020979020979	7.865	membrane	protein_coding
ENSG00000064393.11	HIPK2	5.5	0.685358255451713	8.025	cytosolic	protein_coding
ENSG00000064419.9	TNPO3	6.5	0.170805413217711	38.055	cytosolic	protein_coding
ENSG00000064545.10	TMEM161A	176	4.82059709668584	36.51	membrane	protein_coding
ENSG00000064601.12	CTSA	348.5	17.3124689518132	20.13	membrane	protein_coding
ENSG00000064607.12	SUGP2	15	0.345144960883571	43.46	cytosolic	protein_coding
ENSG00000064651.9	SLC12A2	212.5	17.5837815473728	12.085	membrane	protein_coding
ENSG00000064687.8	ABCA7	4.5	1.45395799676898	3.095	membrane	protein_coding
ENSG00000064763.6	FAR2	12	0.702370500438982	17.085	cytosolic	protein_coding
ENSG00000065000.11	AP3D1	69.5	1.00007194762213	69.495	cytosolic	protein_coding
ENSG00000065135.7	GNAI3	11.5	0.300535737619234	38.265	cytosolic	protein_coding
ENSG00000065150.14	IPO5	25.5	0.140596570546397	181.37	cytosolic	protein_coding
ENSG00000065154.7	OAT	11.5	0.0492589736999914	233.46	cytosolic	protein_coding
ENSG00000065183.11	WDR3	8.5	0.229295926625303	37.07	cytosolic	protein_coding
ENSG00000065268.6	WDR18	17.5	0.193231380776238	90.565	cytosolic	protein_coding
ENSG00000065308.4	TRAM2	15.5	2.56410256410256	6.045	membrane	protein_coding
ENSG00000065320.4	NTN1	37	3.27288810260946	11.305	membrane	protein_coding
ENSG00000065427.10	KARS	16	0.17099497702255	93.57	cytosolic	protein_coding
ENSG00000065491.8	TBC1D22B	6.5	0.661241098677518	9.83	cytosolic	protein_coding
ENSG00000065518.7	NDUFB4	14.5	0.061576354679803	235.48	cytosolic	protein_coding
ENSG00000065600.8	TMEM206	92	5.28280218202699	17.415	membrane	protein_coding
ENSG00000065613.9	SLK	13	0.937950937950938	13.86	cytosolic	protein_coding
ENSG00000065665.16	SEC61A2	214.5	15.2127659574468	14.1	membrane	protein_coding
ENSG00000065833.7	ME1	4	0.145164217020504	27.555	cytosolic	protein_coding
ENSG00000065882.11	TBC1D1	6	0.262065953264905	22.895	cytosolic	protein_coding
ENSG00000065911.7	MTHFD2	22	0.170015455950541	129.4	cytosolic	protein_coding
ENSG00000065923.5	SLC9A7	38	3.78674638764325	10.035	membrane	protein_coding
ENSG00000065978.13	YBX1	10.5	0.0095345764604928	1101.255	cytosolic	protein_coding
ENSG00000066044.9	ELAVL1	15.5	0.162977761421587	95.105	cytosolic	protein_coding
ENSG00000066084.8	DIP2B	110	9.82142857142857	11.2	cytosolic	protein_coding
ENSG00000066117.10	SMARCD1	7	0.0854440036618859	81.925	cytosolic	protein_coding
ENSG00000066136.15	NFYC	20.5	0.458356623812186	44.725	cytosolic	protein_coding
ENSG00000066279.12	ASPM	25	3.23834196891192	7.72	cytosolic	protein_coding
ENSG00000066322.8	ELOVL1	299	7.74410774410774	38.61	membrane	protein_coding
ENSG00000066468.16	FGFR2	23	1.22145512480085	18.83	membrane	protein_coding
ENSG00000066557.5	LRRC40	17.5	0.624888412783432	28.005	cytosolic	protein_coding
ENSG00000066583.7	ISOC1	4.5	0.0634160090191657	70.96	cytosolic	protein_coding
ENSG00000066777.4	ARFGEF1	5	0.639386189258312	7.82	cytosolic	protein_coding
ENSG00000067057.12	PFKP	61.5	0.508895324782789	120.85	cytosolic	protein_coding
ENSG00000067141.12	NEO1	710	24.5547293792149	28.915	membrane	protein_coding
ENSG00000067167.3	TRAM1	763	10.0401342193565	75.995	membrane	protein_coding
ENSG00000067177.10	PHKA1	8.5	0.488786658999425	17.39	cytosolic	protein_coding
ENSG00000067225.13	PKM	281.5	0.266747527965849	1055.305	cytosolic	protein_coding
ENSG00000067334.9	DNTTIP2	2	0.180995475113122	11.05	cytosolic	protein_coding
ENSG00000067369.9	TP53BP1	6.5	0.475667764361508	13.665	cytosolic	protein_coding
ENSG00000067560.6	RHOA	27	0.093309372408073	289.36	cytosolic	protein_coding
ENSG00000067596.6	DHX8	6.5	0.286532951289398	22.685	cytosolic	protein_coding
ENSG00000067704.8	IARS2	137	1.1098509397278	123.44	cytosolic	protein_coding
ENSG00000067829.14	IDH3G	18	0.451920662816972	39.83	cytosolic	protein_coding
ENSG00000067842.13	ATP2B3	37.5	16.629711751663	2.255	membrane	protein_coding
ENSG00000067900.6	ROCK1	4.5	0.947368421052632	4.75	cytosolic	protein_coding
ENSG00000067992.8	PDK3	11.5	0.637119113573407	18.05	cytosolic	protein_coding
ENSG00000068078.13	FGFR3	12	1.10142267094998	10.895	membrane	protein_coding
ENSG00000068120.10	COASY	15	0.120748641577782	124.225	cytosolic	protein_coding
ENSG00000068305.13	MEF2A	6.5	0.448275862068966	14.5	cytosolic	protein_coding
ENSG00000068308.9	OTUD5	11.5	0.331842446977348	34.655	cytosolic	protein_coding
ENSG00000068366.15	ACSL4	5.5	0.222401940962394	24.73	cytosolic	protein_coding
ENSG00000068489.8	PRR11	107	2.43958048335613	43.86	cytosolic	protein_coding
ENSG00000068615.12	REEP1	10	1.34952766531714	7.41	membrane	protein_coding
ENSG00000068650.14	ATP11A	42.5	2.80713342140026	15.14	membrane	protein_coding
ENSG00000068654.11	POLR1A	3	0.327689787001638	9.155	cytosolic	protein_coding
ENSG00000068697.6	LAPTM4A	140	1.77541056369285	78.855	membrane	protein_coding
ENSG00000068793.13	CYFIP1	6	0.18042399639152	33.255	cytosolic	protein_coding
ENSG00000068796.12	KIF2A	50.5	1.36652685698823	36.955	cytosolic	protein_coding
ENSG00000068903.15	SIRT2	17	0.265334790073357	64.07	cytosolic	protein_coding
ENSG00000068912.9	ERLEC1	18	0.60965283657917	29.525	membrane	protein_coding
ENSG00000069188.12	SDK2	35	9.29614873837981	3.765	membrane	protein_coding
ENSG00000069248.9	NUP133	58	0.977583010281477	59.33	cytosolic	protein_coding
ENSG00000069275.12	NUCKS1	39	0.166329032945943	234.475	cytosolic	protein_coding
ENSG00000069329.11	VPS35	9	0.182112505058681	49.42	cytosolic	protein_coding
ENSG00000069702.6	TGFBR3	49.5	6.20300751879699	7.98	membrane	protein_coding
ENSG00000069849.6	ATP1B3	412.5	3.94284075702543	104.62	membrane	protein_coding
ENSG00000069943.5	PIGB	5.5	0.575013068478829	9.565	membrane	protein_coding
ENSG00000070010.14	UFD1L	98.5	1.58896596225198	61.99	cytosolic	protein_coding
ENSG00000070018.4	LRP6	21	1.84615384615385	11.375	membrane	protein_coding
ENSG00000070081.11	NUCB2	36.5	1.2642881884309	28.87	membrane	protein_coding
ENSG00000070214.11	SLC44A1	164	18.0616740088106	9.08	membrane	protein_coding
ENSG00000070669.12	ASNS	172.5	1.13685043002603	151.735	cytosolic	protein_coding
ENSG00000070718.7	AP3M2	8.5	0.420896261450854	20.195	cytosolic	protein_coding
ENSG00000070756.9	PABPC1	96.5	0.246796757116186	391.01	cytosolic	protein_coding
ENSG00000070761.3	C16orf80	9	0.136601654397814	65.885	cytosolic	protein_coding
ENSG00000070785.12	EIF2B3	5.5	0.118470651588584	46.425	cytosolic	protein_coding
ENSG00000070814.13	TCOF1	37	0.606259216778633	61.03	cytosolic	protein_coding
ENSG00000070886.6	EPHA8	11.5	1.06235565819861	10.825	membrane	protein_coding
ENSG00000070961.10	ATP2B1	312.5	16.3741157977469	19.085	membrane	protein_coding
ENSG00000071054.11	MAP4K4	14	0.710479573712256	19.705	cytosolic	protein_coding
ENSG00000071073.8	MGAT4A	10	1.29198966408269	7.74	membrane	protein_coding
ENSG00000071127.12	WDR1	7.5	0.145447493454863	51.565	cytosolic	protein_coding
ENSG00000071537.9	SEL1L	44	6.06896551724138	7.25	membrane	protein_coding
ENSG00000071539.9	TRIP13	12	0.309957380860132	38.715	cytosolic	protein_coding
ENSG00000071553.12	ATP6AP1	1574	20.5108157414647	76.74	membrane	protein_coding
ENSG00000071626.12	DAZAP1	90	0.482806716377877	186.41	cytosolic	protein_coding
ENSG00000071794.11	HLTF	63	3.68313358667056	17.105	cytosolic	protein_coding
ENSG00000071894.10	CPSF1	34.5	0.967741935483871	35.65	cytosolic	protein_coding
ENSG00000072041.12	SLC6A15	293.5	9.92056785533209	29.585	membrane	protein_coding
ENSG00000072042.8	RDH11	36.5	1.11365369946606	32.775	membrane	protein_coding
ENSG00000072062.9	PRKACA	54.5	1.09668980782775	49.695	cytosolic	protein_coding
ENSG00000072210.14	ALDH3A2	28.5	0.77027027027027	37	cytosolic	protein_coding
ENSG00000072310.12	SREBF1	179	9.78676872607983	18.29	membrane	protein_coding
ENSG00000072364.8	AFF4	23	0.969237252423093	23.73	cytosolic	protein_coding
ENSG00000072401.10	UBE2D1	22	0.881410256410256	24.96	cytosolic	protein_coding
ENSG00000072682.14	P4HA2	24.5	1.8970189701897	12.915	membrane	protein_coding
ENSG00000072849.6	DERL2	62	1.81711606096131	34.12	membrane	protein_coding
ENSG00000072954.2	TMEM38A	85	8.63821138211382	9.84	membrane	protein_coding
ENSG00000072958.4	AP1M1	25.5	0.390954388654657	65.225	cytosolic	protein_coding
ENSG00000073008.10	PVR	32	1.25441003528028	25.51	membrane	protein_coding
ENSG00000073050.7	XRCC1	15	0.44543429844098	33.675	cytosolic	protein_coding
ENSG00000073060.11	SCARB1	678.5	13.5496754867698	50.075	membrane	protein_coding
ENSG00000073111.9	MCM2	28.5	0.471464019851117	60.45	cytosolic	protein_coding
ENSG00000073417.10	PDE8A	29	2.36445169180595	12.265	cytosolic	protein_coding
