gene_id	Symbol	localization_cat	region	par_clip_enrichment
ENSG00000006831.9	ADIPOR2	membrane	transcript	1.43556831616281
ENSG00000007168.8	PAFAH1B1	cytosolic	transcript	0.951683748169839
ENSG00000007341.14	ST7L	membrane	transcript	1.65258905618803
ENSG00000007541.10	PIGQ	membrane	transcript	4.73684210526316
ENSG00000007923.11	DNAJC11	cytosolic	transcript	0.630843753520334
ENSG00000007968.6	E2F2	cytosolic	transcript	0.532724505327245
ENSG00000008018.8	PSMB1	cytosolic	transcript	0.0173598194578776
ENSG00000008130.11	NADK	cytosolic	transcript	0.178731009830206
ENSG00000008282.3	SYPL1	membrane	transcript	5.39735099337748
ENSG00000008394.8	MGST1	membrane	transcript	0.0513970656947949
ENSG00000008405.7	CRY1	cytosolic	transcript	0.352677140109009
ENSG00000008441.12	NFIX	cytosolic	transcript	1.07480653482373
ENSG00000008735.10	MAPK8IP2	cytosolic	transcript	0.348128807658834
ENSG00000008838.13	MED24	cytosolic	transcript	0.732866763501915
ENSG00000008952.12	SEC62	membrane	transcript	3.27242977911099
ENSG00000008988.5	RPS20	cytosolic	transcript	0.0328254578494861
ENSG00000009307.11	CSDE1	cytosolic	transcript	1.49351377621593
ENSG00000009335.13	UBE3C	cytosolic	transcript	0.144560896277557
ENSG00000009844.11	VTA1	cytosolic	transcript	0.527704485488127
ENSG00000010244.12	ZNF207	cytosolic	transcript	0.475134621476085
ENSG00000010256.6	UQCRC1	cytosolic	transcript	0.0640029258480388
ENSG00000010278.7	CD9	membrane	transcript	2.69650867953969
ENSG00000010292.8	NCAPD2	cytosolic	transcript	0.790149789131805
ENSG00000010361.9	FUZ	cytosolic	transcript	0.182134938232499
ENSG00000010803.12	SCMH1	cytosolic	transcript	0.158450704225352
ENSG00000010810.13	FYN	cytosolic	transcript	0.105661706436559
ENSG00000011009.6	LYPLA2	cytosolic	transcript	0.143215180809166
ENSG00000011052.17	NME2	cytosolic	transcript	1.68945924341608
ENSG00000011105.7	TSPAN9	membrane	transcript	2.03980099502488
ENSG00000011201.6	KAL1	membrane	transcript	16.3229486616937
ENSG00000011258.11	MBTD1	cytosolic	transcript	1.99809705042816
ENSG00000011295.11	TTC19	cytosolic	transcript	0.36392585010804
ENSG00000011304.12	PTBP1	cytosolic	transcript	1.27136949947541
ENSG00000011451.13	WIZ	cytosolic	transcript	1.28331688055281
ENSG00000011454.12	RABGAP1	cytosolic	transcript	2.48888888888889
ENSG00000011478.7	QPCTL	membrane	transcript	9.53690967446126
ENSG00000011485.10	PPP5C	cytosolic	transcript	0.98536266252351
ENSG00000012061.11	ERCC1	cytosolic	transcript	0.441757730760288
ENSG00000012174.7	MBTPS2	membrane	transcript	34.3900902792358
ENSG00000012232.4	EXTL3	membrane	transcript	0.794176042356056
ENSG00000012660.9	ELOVL5	membrane	transcript	11.992395838834
ENSG00000012822.11	CALCOCO1	cytosolic	transcript	0.287581699346405
ENSG00000013275.3	PSMC4	cytosolic	transcript	0.661135928525846
ENSG00000013306.11	SLC25A39	cytosolic	transcript	0.270656341628449
ENSG00000013375.11	PGM3	cytosolic	transcript	0.743913435527502
ENSG00000013561.13	RNF14	cytosolic	transcript	0.165617754223253
ENSG00000013810.14	TACC3	cytosolic	transcript	0.0585442008716581
ENSG00000014641.13	MDH1	cytosolic	transcript	0.414460050656228
ENSG00000014919.8	COX15	cytosolic	transcript	3.00429184549356
ENSG00000015153.10	YAF2	cytosolic	transcript	1.01404056162246
ENSG00000015479.13	MATR3	cytosolic	transcript	0.701826110656855
ENSG00000016864.12	GLT8D1	membrane	transcript	0.942822384428224
ENSG00000017260.15	ATP2C1	membrane	transcript	6.49647156496472
ENSG00000018408.10	WWTR1	cytosolic	transcript	0.881057268722467
ENSG00000018610.9	CXorf56	cytosolic	transcript	0.262596422123749
ENSG00000020256.15	ZFP64	cytosolic	transcript	2.63516583371195
ENSG00000020426.6	MNAT1	cytosolic	transcript	0.297426613216087
ENSG00000020922.8	MRE11A	cytosolic	transcript	0.233644859813084
ENSG00000021355.8	SERPINB1	cytosolic	transcript	0.380469245402663
ENSG00000021776.6	AQR	cytosolic	transcript	0.984251968503937
ENSG00000022267.12	FHL1	cytosolic	transcript	1.37685168111132
ENSG00000022277.8	RTFDC1	cytosolic	transcript	0.223325062034739
ENSG00000022840.11	RNF10	cytosolic	transcript	0.102062741727546
ENSG00000023228.9	NDUFS1	cytosolic	transcript	0.303786481501573
ENSG00000023330.10	ALAS1	cytosolic	transcript	0.323345548609614
ENSG00000023734.6	STRAP	cytosolic	transcript	0.146509043144387
ENSG00000024526.12	DEPDC1	cytosolic	transcript	0.560485754320411
ENSG00000025039.10	RRAGD	cytosolic	transcript	19.4761584956347
ENSG00000025156.8	HSF2	cytosolic	transcript	0.322143099355714
ENSG00000025770.14	NCAPH2	cytosolic	transcript	0.254319038849426
ENSG00000025796.9	SEC63	membrane	transcript	32.7678571428571
ENSG00000026025.9	VIM	cytosolic	transcript	1.90393976452533
ENSG00000026508.12	CD44	membrane	transcript	9.32203389830508
ENSG00000027001.7	MIPEP	cytosolic	transcript	0.255972696245734
ENSG00000027697.8	IFNGR1	membrane	transcript	2.49546279491833
ENSG00000027847.9	B4GALT7	membrane	transcript	0.259451445515196
ENSG00000028203.13	VEZT	membrane	transcript	0.618121513643902
ENSG00000029363.11	BCLAF1	cytosolic	transcript	1.30327868852459
ENSG00000029364.7	SLC39A9	membrane	transcript	2.88427717200141
ENSG00000029725.12	RABEP1	cytosolic	transcript	0.438356164383562
ENSG00000030066.9	NUP160	cytosolic	transcript	0.136772176631497
ENSG00000030582.12	GRN	membrane	transcript	3.53951890034364
ENSG00000031691.6	CENPQ	cytosolic	transcript	0.668616798997075
ENSG00000031698.8	SARS	cytosolic	transcript	0.280132426237858
ENSG00000033011.7	ALG1	membrane	transcript	5.04854368932039
ENSG00000033030.9	ZCCHC8	cytosolic	transcript	0.441426146010187
ENSG00000033050.3	ABCF2	cytosolic	transcript	0.42166720726565
ENSG00000033178.8	UBA6	cytosolic	transcript	0.544711756695415
ENSG00000033627.10	ATP6V0A1	membrane	transcript	13.6580882352941
ENSG00000033800.9	PIAS1	cytosolic	transcript	0.326894502228826
ENSG00000034510.4	TMSB10	cytosolic	transcript	0.0236019890779761
ENSG00000034713.3	GABARAPL2	cytosolic	transcript	0.160664602844939
ENSG00000035687.9	ADSS	cytosolic	transcript	0.429771439734323
ENSG00000035862.8	TIMP2	membrane	transcript	6.19578686493185
ENSG00000035928.10	RFC1	cytosolic	transcript	0.688424273329934
ENSG00000036257.8	CUL3	cytosolic	transcript	0.488883715516238
ENSG00000037241.3	RPL26L1	cytosolic	transcript	0.0437560164522622
ENSG00000037280.11	FLT4	cytosolic	transcript	0.432796345275307
ENSG00000037474.10	NSUN2	cytosolic	transcript	0.100178094390027
ENSG00000038002.4	AGA	membrane	transcript	0.527831094049904
ENSG00000038382.13	TRIO	cytosolic	transcript	0.711864406779661
ENSG00000038427.11	VCAN	membrane	transcript	65.8316633266533
ENSG00000038532.10	CLEC16A	cytosolic	transcript	1.11111111111111
ENSG00000039123.11	SKIV2L2	cytosolic	transcript	0.511302475780409
ENSG00000039560.9	RAI14	cytosolic	transcript	0.567292644757434
ENSG00000040487.8	PQLC2	membrane	transcript	1.00719424460432
ENSG00000041357.11	PSMA4	cytosolic	transcript	0.184190809190809
ENSG00000042088.9	TDP1	cytosolic	transcript	0.121418164157358
ENSG00000042445.9	RETSAT	membrane	transcript	10.2065613608748
ENSG00000042753.7	AP2S1	cytosolic	transcript	0.216836446592731
ENSG00000043039.5	BARX2	cytosolic	transcript	0.41507024265645
ENSG00000044115.16	CTNNA1	cytosolic	transcript	0.795328142380423
ENSG00000044574.7	HSPA5	membrane	transcript	3.14237011783888
ENSG00000046604.8	DSG2	membrane	transcript	14.9829965993199
ENSG00000046653.10	GPM6B	membrane	transcript	5.26059425231369
ENSG00000047315.10	POLR2B	cytosolic	transcript	2.16397724092902
ENSG00000047410.9	TPR	cytosolic	transcript	11.8677042801556
ENSG00000047621.7	C12orf4	cytosolic	transcript	0.62320230105465
ENSG00000047634.10	SCML1	cytosolic	transcript	0.752658849195528
ENSG00000047849.17	MAP4	cytosolic	transcript	1.26998525909967
ENSG00000048740.13	CELF2	cytosolic	transcript	0.295955277869122
ENSG00000048828.12	FAM120A	cytosolic	transcript	0.196761011048888
ENSG00000049449.4	RCN1	membrane	transcript	2.09718918394097
ENSG00000049656.9	CLPTM1L	membrane	transcript	1.91139870582379
ENSG00000049860.9	HEXB	membrane	transcript	5.59548599449184
ENSG00000050130.13	JKAMP	membrane	transcript	3.49609375
ENSG00000050393.7	MCUR1	cytosolic	transcript	0.25624599615631
ENSG00000050426.11	LETMD1	cytosolic	transcript	0.512376896459941
ENSG00000050748.13	MAPK9	cytosolic	transcript	1.17945466074826
ENSG00000051523.6	CYBA	membrane	transcript	0.491983561960989
ENSG00000051620.6	HEBP2	cytosolic	transcript	3.48808646524196
ENSG00000052723.7	SIKE1	cytosolic	transcript	0.344318740777177
ENSG00000052749.9	RRP12	cytosolic	transcript	1.31307929969104
ENSG00000052841.10	TTC17	membrane	transcript	4.6218487394958
ENSG00000053254.11	FOXN3	cytosolic	transcript	0.260869565217391
ENSG00000053371.8	AKR7A2	cytosolic	transcript	0.306581278103284
ENSG00000053372.4	MRTO4	cytosolic	transcript	0.144196106705119
ENSG00000054116.7	TRAPPC3	cytosolic	transcript	0.226503656806026
ENSG00000054118.9	THRAP3	cytosolic	transcript	2.52334591694814
ENSG00000054523.12	KIF1B	cytosolic	transcript	0.458468176914779
ENSG00000054793.9	ATP9A	membrane	transcript	2.17391304347826
ENSG00000055044.6	NOP58	cytosolic	transcript	0.0735414283379637
ENSG00000055163.14	CYFIP2	cytosolic	transcript	0.873311597578016
ENSG00000055211.8	GINM1	membrane	transcript	1.86886777760473
ENSG00000055332.12	EIF2AK2	cytosolic	transcript	0.773943889068043
ENSG00000055732.8	MCOLN3	membrane	transcript	0.789595912679981
ENSG00000056097.11	ZFR	cytosolic	transcript	1.15816141874774
ENSG00000056661.9	PCGF2	cytosolic	transcript	0.878612716763006
ENSG00000057252.8	SOAT1	membrane	transcript	24.4430498901789
ENSG00000057294.9	PKP2	cytosolic	transcript	0.473760932944606
ENSG00000057608.12	GDI2	cytosolic	transcript	0.239864271924179
ENSG00000058063.11	ATP11B	membrane	transcript	2.82642089093702
ENSG00000058262.5	SEC61A1	membrane	transcript	13.8747739212815
ENSG00000058272.11	PPP1R12A	cytosolic	transcript	1.15218434949592
ENSG00000058600.11	POLR3E	cytosolic	transcript	0.116746659748346
ENSG00000058673.11	ZC3H11A	cytosolic	transcript	0.569552398820691
ENSG00000059573.4	ALDH18A1	cytosolic	transcript	1.66889930788122
ENSG00000060138.8	YBX3	cytosolic	transcript	0.0407656530842923
ENSG00000060237.12	WNK1	cytosolic	transcript	2.59792626728111
ENSG00000060339.9	CCAR1	cytosolic	transcript	4.69768487300517
ENSG00000060656.15	PTPRU	membrane	transcript	6.32235084594835
ENSG00000060688.8	SNRNP40	cytosolic	transcript	0.0584900566903626
ENSG00000060982.10	BCAT1	cytosolic	transcript	1.28025254296738
ENSG00000061676.10	NCKAP1	cytosolic	transcript	2.22784200385356
ENSG00000061794.8	MRPS35	cytosolic	transcript	0.101112234580384
ENSG00000061936.5	SFSWAP	cytosolic	transcript	0.326730651419236
ENSG00000062485.14	CS	cytosolic	transcript	0.921555908470709
ENSG00000062716.6	VMP1	membrane	transcript	3.70999030067895
ENSG00000062822.8	POLD1	cytosolic	transcript	0.695057369814651
ENSG00000063046.13	EIF4B	cytosolic	transcript	0.144332186077495
ENSG00000063177.8	RPL18	cytosolic	transcript	0.332528065937189
ENSG00000063244.8	U2AF2	cytosolic	transcript	0.749421683522282
ENSG00000063245.10	EPN1	cytosolic	transcript	0.111131691053899
ENSG00000063322.9	MED29	cytosolic	transcript	0.133284866109294
ENSG00000063854.8	HAGH	cytosolic	transcript	0.22051729682547
ENSG00000064115.6	TM7SF3	membrane	transcript	4.4014926801263
ENSG00000064199.2	SPA17	cytosolic	transcript	0.29603315571344
ENSG00000064419.9	TNPO3	cytosolic	transcript	0.328471948495598
ENSG00000064545.10	TMEM161A	membrane	transcript	10.6683100520405
ENSG00000064601.12	CTSA	membrane	transcript	17.7347242921013
ENSG00000064607.12	SUGP2	cytosolic	transcript	0.345144960883571
ENSG00000064651.9	SLC12A2	membrane	transcript	17.5837815473728
ENSG00000064763.6	FAR2	cytosolic	transcript	0.702370500438982
ENSG00000064995.12	TAF11	cytosolic	transcript	0.263878029710712
ENSG00000065000.11	AP3D1	cytosolic	transcript	1.07201956975322
ENSG00000065060.12	UHRF1BP1	cytosolic	transcript	1.57284768211921
ENSG00000065135.7	GNAI3	cytosolic	transcript	1.05840846726774
ENSG00000065150.14	IPO5	cytosolic	transcript	0.140596570546397
ENSG00000065154.7	OAT	cytosolic	transcript	0.100659641908678
ENSG00000065183.11	WDR3	cytosolic	transcript	0.229295926625303
ENSG00000065268.6	WDR18	cytosolic	transcript	0.314691105835588
ENSG00000065320.4	NTN1	membrane	transcript	3.27288810260946
ENSG00000065427.10	KARS	cytosolic	transcript	0.17099497702255
ENSG00000065518.7	NDUFB4	cytosolic	transcript	0.061576354679803
ENSG00000065548.13	ZC3H15	cytosolic	transcript	0.169779286926995
ENSG00000065600.8	TMEM206	membrane	transcript	5.45506747057135
ENSG00000065613.9	SLK	cytosolic	transcript	1.37085137085137
ENSG00000065665.16	SEC61A2	membrane	transcript	15.2127659574468
ENSG00000065833.7	ME1	cytosolic	transcript	2.37706405371076
ENSG00000065882.11	TBC1D1	cytosolic	transcript	0.262065953264905
ENSG00000065911.7	MTHFD2	cytosolic	transcript	0.463678516228748
ENSG00000065923.5	SLC9A7	membrane	transcript	4.33482810164424
ENSG00000065978.13	YBX1	cytosolic	transcript	0.0095345764604928
ENSG00000066044.9	ELAVL1	cytosolic	transcript	1.16713106566427
ENSG00000066084.8	DIP2B	cytosolic	transcript	9.82142857142857
ENSG00000066117.10	SMARCD1	cytosolic	transcript	0.292950869697894
ENSG00000066136.15	NFYC	cytosolic	transcript	0.458356623812186
ENSG00000066322.8	ELOVL1	membrane	transcript	7.74410774410774
ENSG00000066468.16	FGFR2	membrane	transcript	1.22145512480085
ENSG00000066557.5	LRRC40	cytosolic	transcript	0.624888412783432
ENSG00000066583.7	ISOC1	cytosolic	transcript	0.218432919954904
ENSG00000066926.6	FECH	cytosolic	transcript	0.132469826317339
ENSG00000067057.12	PFKP	cytosolic	transcript	0.508895324782789
ENSG00000067141.12	NEO1	membrane	transcript	24.5547293792149
ENSG00000067167.3	TRAM1	membrane	transcript	12.3363379169682
ENSG00000067177.10	PHKA1	cytosolic	transcript	0.862564692351926
ENSG00000067225.13	PKM	cytosolic	transcript	0.442052297676975
ENSG00000067334.9	DNTTIP2	cytosolic	transcript	0.180995475113122
ENSG00000067369.9	TP53BP1	cytosolic	transcript	0.475667764361508
ENSG00000067533.5	RRP15	cytosolic	transcript	0.761179828734539
ENSG00000067560.6	RHOA	cytosolic	transcript	0.093309372408073
ENSG00000067596.6	DHX8	cytosolic	transcript	0.33061494379546
ENSG00000067704.8	IARS2	cytosolic	transcript	1.15440699935191
ENSG00000067829.14	IDH3G	cytosolic	transcript	0.451920662816972
ENSG00000067992.8	PDK3	cytosolic	transcript	1.71745152354571
ENSG00000068078.13	FGFR3	membrane	transcript	1.10142267094998
ENSG00000068120.10	COASY	cytosolic	transcript	0.120748641577782
ENSG00000068305.13	MEF2A	cytosolic	transcript	0.448275862068966
ENSG00000068308.9	OTUD5	cytosolic	transcript	0.331842446977348
ENSG00000068366.15	ACSL4	cytosolic	transcript	0.222401940962394
ENSG00000068489.8	PRR11	cytosolic	transcript	2.43958048335613
ENSG00000068650.14	ATP11A	membrane	transcript	2.80713342140026
ENSG00000068697.6	LAPTM4A	membrane	transcript	4.48291167332446
ENSG00000068793.13	CYFIP1	cytosolic	transcript	0.18042399639152
ENSG00000068796.12	KIF2A	cytosolic	transcript	1.51535651468002
ENSG00000068903.15	SIRT2	cytosolic	transcript	0.265334790073357
ENSG00000068912.9	ERLEC1	membrane	transcript	1.10076206604572
ENSG00000069248.9	NUP133	cytosolic	transcript	0.977583010281477
ENSG00000069275.12	NUCKS1	cytosolic	transcript	1.23040835910012
ENSG00000069329.11	VPS35	cytosolic	transcript	0.394577094293808
ENSG00000069849.6	ATP1B3	membrane	transcript	4.38730644236284
ENSG00000070010.14	UFD1L	cytosolic	transcript	1.58896596225198
ENSG00000070018.4	LRP6	membrane	transcript	1.84615384615385
ENSG00000070081.11	NUCB2	membrane	transcript	1.2642881884309
ENSG00000070413.14	DGCR2	membrane	transcript	4.36765058795296
ENSG00000070669.12	ASNS	cytosolic	transcript	2.20779648729693
ENSG00000070718.7	AP3M2	cytosolic	transcript	0.420896261450854
ENSG00000070756.9	PABPC1	cytosolic	transcript	0.299225083757449
ENSG00000070761.3	C16orf80	cytosolic	transcript	0.182135539197086
ENSG00000070785.12	EIF2B3	cytosolic	transcript	0.118470651588584
ENSG00000070814.13	TCOF1	cytosolic	transcript	0.827461903981648
ENSG00000070831.11	CDC42	cytosolic	transcript	0.536295344072631
ENSG00000070886.6	EPHA8	membrane	transcript	1.06235565819861
ENSG00000070961.10	ATP2B1	membrane	transcript	16.3741157977469
ENSG00000071054.11	MAP4K4	cytosolic	transcript	0.710479573712256
ENSG00000071082.6	RPL31	cytosolic	transcript	0.0159063928180697
ENSG00000071127.12	WDR1	cytosolic	transcript	0.145447493454863
ENSG00000071539.9	TRIP13	cytosolic	transcript	0.309957380860132
ENSG00000071553.12	ATP6AP1	membrane	transcript	26.6744852749544
ENSG00000071564.10	TCF3	cytosolic	transcript	0.133034006817993
ENSG00000071626.12	DAZAP1	cytosolic	transcript	0.75907944852744
ENSG00000071794.11	HLTF	cytosolic	transcript	3.68313358667056
ENSG00000071894.10	CPSF1	cytosolic	transcript	0.967741935483871
ENSG00000072041.12	SLC6A15	membrane	transcript	9.92056785533209
ENSG00000072042.8	RDH11	membrane	transcript	1.93745232646834
ENSG00000072062.9	PRKACA	cytosolic	transcript	1.41865378810746
ENSG00000072210.14	ALDH3A2	cytosolic	transcript	0.77027027027027
ENSG00000072274.8	TFRC	membrane	transcript	10.5739851593191
ENSG00000072310.12	SREBF1	membrane	transcript	9.78676872607983
ENSG00000072364.8	AFF4	cytosolic	transcript	1.53813737884534
ENSG00000072401.10	UBE2D1	cytosolic	transcript	0.881410256410256
ENSG00000072571.15	HMMR	cytosolic	transcript	0.476644423260248
ENSG00000072682.14	P4HA2	membrane	transcript	1.8970189701897
ENSG00000072803.13	FBXW11	cytosolic	transcript	0.174641983932937
ENSG00000072849.6	DERL2	membrane	transcript	2.21277842907386
ENSG00000072958.4	AP1M1	cytosolic	transcript	0.390954388654657
ENSG00000073008.10	PVR	membrane	transcript	1.25441003528028
ENSG00000073050.7	XRCC1	cytosolic	transcript	0.44543429844098
ENSG00000073060.11	SCARB1	membrane	transcript	15.2471293060409
ENSG00000073111.9	MCM2	cytosolic	transcript	1.00082712985939
ENSG00000073417.10	PDE8A	cytosolic	transcript	2.36445169180595
ENSG00000073536.13	NLE1	cytosolic	transcript	0.145865621296381
ENSG00000073584.14	SMARCE1	cytosolic	transcript	0.155917052128268
ENSG00000073792.11	IGF2BP2	cytosolic	transcript	1.43459915611814
ENSG00000073921.13	PICALM	cytosolic	transcript	0.325581395348837
ENSG00000074071.9	MRPS34	cytosolic	transcript	0.101658956301382
ENSG00000074201.4	CLNS1A	cytosolic	transcript	0.310204735125183
ENSG00000074319.8	TSG101	cytosolic	transcript	0.294853466761973
ENSG00000074695.5	LMAN1	membrane	transcript	10.5919003115265
ENSG00000074696.8	PTPLAD1	membrane	transcript	3.31199626817322
ENSG00000074755.10	ZZEF1	cytosolic	transcript	0.861656294877932
ENSG00000074800.9	ENO1	cytosolic	transcript	0.673166202414113
ENSG00000074842.3	C19orf10	membrane	transcript	0.451736629021948
ENSG00000075089.5	ACTR6	cytosolic	transcript	0.310392168566824
ENSG00000075131.5	TIPIN	cytosolic	transcript	0.0893582453290008
ENSG00000075142.9	SRI	cytosolic	transcript	0.257373758171617
ENSG00000075151.15	EIF4G3	cytosolic	transcript	1.19705340699816
ENSG00000075218.14	GTSE1	cytosolic	transcript	0.21375133594585
ENSG00000075234.12	TTC38	cytosolic	transcript	0.225338007010516
ENSG00000075239.9	ACAT1	cytosolic	transcript	0.0812934694246229
ENSG00000075415.8	SLC25A3	cytosolic	transcript	0.451505556991471
ENSG00000075618.13	FSCN1	cytosolic	transcript	0.531838436107518
ENSG00000075624.9	ACTB	cytosolic	transcript	1.32253574956913
ENSG00000075711.16	DLG1	cytosolic	transcript	0.710833096388968
ENSG00000075785.8	RAB7A	cytosolic	transcript	0.968958514650421
ENSG00000075790.6	BCAP29	membrane	transcript	8.38852097130243
ENSG00000075945.8	KIFAP3	cytosolic	transcript	1.12359550561798
ENSG00000076003.4	MCM6	cytosolic	transcript	1.61074945751961
ENSG00000076108.7	BAZ2A	cytosolic	transcript	0.715155203895314
ENSG00000076248.6	UNG	cytosolic	transcript	0.598875580542655
ENSG00000076382.12	SPAG5	cytosolic	transcript	0.745209368346345
ENSG00000076554.11	TPD52	cytosolic	transcript	0.288253663223637
ENSG00000076685.14	NT5C2	cytosolic	transcript	0.549191903342225
ENSG00000076706.10	MCAM	membrane	transcript	5.1556420233463
ENSG00000076716.7	GPC4	membrane	transcript	11.8120130686102
ENSG00000076924.7	XAB2	cytosolic	transcript	0.265035677879715
ENSG00000077097.9	TOP2B	cytosolic	transcript	0.616478956727919
ENSG00000077147.10	TM9SF3	membrane	transcript	49.7035881435257
ENSG00000077152.5	UBE2T	cytosolic	transcript	0.183110393842525
ENSG00000077232.12	DNAJC10	membrane	transcript	3.91627278865631
ENSG00000077235.13	GTF3C1	cytosolic	transcript	1.86245194361384
ENSG00000077312.4	SNRPA	cytosolic	transcript	4.64139050711489
ENSG00000077348.4	EXOSC5	cytosolic	transcript	0.149803115904811
ENSG00000077454.11	LRCH4	cytosolic	transcript	0.596125186289121
ENSG00000077514.4	POLD3	cytosolic	transcript	0.344180225281602
ENSG00000077549.13	CAPZB	cytosolic	transcript	0.141939844542075
ENSG00000077721.11	UBE2A	cytosolic	transcript	0.805211917136374
ENSG00000077782.15	FGFR1	membrane	transcript	0.971337579617834
ENSG00000077942.13	FBLN1	membrane	transcript	10.0422195416164
ENSG00000078140.9	UBE2K	cytosolic	transcript	0.0981450583963097
ENSG00000078304.15	PPP2R5C	cytosolic	transcript	0.0436028404136041
ENSG00000078369.13	GNB1	cytosolic	transcript	2.10171666934061
ENSG00000078618.15	NRD1	cytosolic	transcript	0.21330383946911
ENSG00000078668.9	VDAC3	cytosolic	transcript	0.0698915621823111
ENSG00000078808.12	SDF4	membrane	transcript	2.12649046650915
ENSG00000079215.9	SLC1A3	membrane	transcript	3.3555185801442
ENSG00000079246.11	XRCC5	cytosolic	transcript	2.0465563820732
ENSG00000079332.10	SAR1A	cytosolic	transcript	0.40661938534279
ENSG00000079387.9	SENP1	cytosolic	transcript	0.661654135338346
ENSG00000079459.8	FDFT1	cytosolic	transcript	1.97600204237937
ENSG00000079462.3	PAFAH1B3	cytosolic	transcript	0.476547440565432
ENSG00000079616.8	KIF22	cytosolic	transcript	0.415800415800416
ENSG00000079739.11	PGM1	cytosolic	transcript	0.335454019664546
ENSG00000079785.10	DDX1	cytosolic	transcript	0.10170552339227
ENSG00000079805.12	DNM2	cytosolic	transcript	0.506879073135409
ENSG00000079819.12	EPB41L2	cytosolic	transcript	2.07174144666746
ENSG00000079931.10	MOXD1	membrane	transcript	6.90975020145044
ENSG00000079950.9	STX7	cytosolic	transcript	0.677428653790718
ENSG00000080189.10	SLC35C2	membrane	transcript	3.2495401594114
ENSG00000080603.12	SRCAP	cytosolic	transcript	0.29136635485355
ENSG00000080815.14	PSEN1	membrane	transcript	1.26655152561888
ENSG00000080824.14	HSP90AA1	cytosolic	transcript	1.94747216091915
ENSG00000081059.15	TCF7	cytosolic	transcript	0.627413127413127
ENSG00000081087.10	OSTM1	membrane	transcript	12.4867444326617
ENSG00000081154.7	PCNP	cytosolic	transcript	0.0336572846985569
ENSG00000081177.14	EXD2	membrane	transcript	4.36962750716332
ENSG00000081791.4	KIAA0141	cytosolic	transcript	0.583027423882531
ENSG00000082212.7	ME2	cytosolic	transcript	0.0977612669860201
ENSG00000082213.13	C5orf22	cytosolic	transcript	0.38232795242141
ENSG00000082397.11	EPB41L3	cytosolic	transcript	0.708825573314802
ENSG00000082458.7	DLG3	cytosolic	transcript	1.03670495937237
ENSG00000082515.12	MRPL22	cytosolic	transcript	0.318546484190656
ENSG00000082516.8	GEMIN5	cytosolic	transcript	0.355871886120996
ENSG00000082641.11	NFE2L1	membrane	transcript	2.19747439594312
ENSG00000082701.10	GSK3B	cytosolic	transcript	6.32183908045977
ENSG00000082781.7	ITGB5	membrane	transcript	2.48469571480014
ENSG00000082805.15	ERC1	cytosolic	transcript	1.83246073298429
ENSG00000082898.12	XPO1	cytosolic	transcript	0.66482320409484
ENSG00000082996.15	RNF13	membrane	transcript	0.909727081875437
ENSG00000083123.10	BCKDHB	cytosolic	transcript	0.463341509948215
ENSG00000083312.13	TNPO1	cytosolic	transcript	0.156155114079986
