gene_id	Symbol	gene_biotype	target_loc	mean_memb_4h	log2FoldChange.ribo.rna.KO.WT	tc_transcript_norm
ENSG00000077147.10	TM9SF3	protein_coding	mem_target	-0.192303987013136	-0.0964722656226153	49.7035881435257
ENSG00000072274.8	TFRC	protein_coding	mem_target	-0.189513620825697	-0.123671086322958	10.5739851593191
ENSG00000121064.8	SCPEP1	protein_coding	mem_target	-0.188193204306525	-0.1833482	2.59259259259259
ENSG00000101294.12	HM13	protein_coding	mem_target	-0.188025396226636	-0.0282541654290073	3.40396390589752
ENSG00000112697.11	TMEM30A	protein_coding	mem_target	-0.177850878821946	-0.054411846632938	43.4905903583398
ENSG00000143753.8	DEGS1	protein_coding	mem_target	-0.160966769380854	-0.0879865	7.41602206956239
ENSG00000137845.10	ADAM10	protein_coding	mem_target	-0.158692286179896	-0.1573334	14.2388182191219
ENSG00000150093.14	ITGB1	protein_coding	mem_target	-0.156668613262497	-0.1463765	7.91205838893118
ENSG00000149084.7	HSD17B12	protein_coding	mem_target	-0.154863323062185	-0.08343857	6.00891645667765
ENSG00000025796.9	SEC63	protein_coding	mem_target	-0.154466067071197	-0.1739375667801	32.7678571428571
ENSG00000012660.9	ELOVL5	protein_coding	mem_target	-0.133052100481336	-0.0851976680069016	11.992395838834
ENSG00000108582.7	CPD	protein_coding	mem_target	-0.130774573888111	-0.220271013469628	36.324510436841
ENSG00000167130.13	DOLPP1	protein_coding	mem_target	-0.130468482665487	-0.2357241	3.4145473946292
ENSG00000168763.11	CNNM3	protein_coding	mem_target	-0.129471238652718	-0.1661178	2.6605504587156
ENSG00000156642.12	NPTN	protein_coding	mem_target	-0.126103537017819	-0.07327751	4.27264932837954
ENSG00000138600.5	SPPL2A	protein_coding	mem_target	-0.123756354724904	-0.0971509	5.15789473684211
ENSG00000170876.7	TMEM43	protein_coding	mem_target	-0.12288907743741	-0.1564934	6.53429094493733
ENSG00000137509.6	PRCP	protein_coding	mem_target	-0.121579121978498	-0.09042042	5.55102040816327
ENSG00000108588.9	CCDC47	protein_coding	mem_target	-0.121546291427136	-0.107320861793844	5.80788450860633
ENSG00000142192.16	APP	protein_coding	mem_target	-0.12138933260283	-0.08742829	17.218126550435
ENSG00000126777.13	KTN1	protein_coding	mem_target	-0.120113085460996	-0.3082458	1.63230240549828
ENSG00000185896.9	LAMP1	protein_coding	mem_target	-0.119457938195298	-0.1323489	21.990620114643
ENSG00000100997.14	ABHD12	protein_coding	mem_target	-0.119117696165709	-0.0492158930765084	4.39626019494728
ENSG00000135333.9	EPHA7	protein_coding	mem_target	-0.111231319209813	-0.4602915	4.13127413127413
ENSG00000127948.9	POR	protein_coding	mem_target	-0.100838172177388	-0.2784166	2.79149259399924
ENSG00000106066.9	CPVL	protein_coding	mem_target	-0.100811382406686	-0.207698286970473	5.20396912899669
ENSG00000170348.4	TMED10	protein_coding	mem_target	-0.100162677178868	-0.06415764	7.90911851027224
ENSG00000137207.7	YIPF3	protein_coding	mem_target	-0.0973626376362418	-0.05343083	2.39056439483891
ENSG00000033627.10	ATP6V0A1	protein_coding	mem_target	-0.0973157551792168	-0.021796099074772	13.6580882352941
ENSG00000100600.10	LGMN	protein_coding	mem_target	-0.0942198733261289	-0.226604096032237	8.30883292854404
ENSG00000123146.15	CD97	protein_coding	mem_target	-0.0925145023563019	-0.1751886	18.0538404544332
ENSG00000136731.8	UGGT1	protein_coding	mem_target	-0.0910311361847975	-0.3498088	2.54237288135593
ENSG00000166471.6	TMEM41B	protein_coding	mem_target	-0.0854392380798555	-0.06818746	5.26011560693642
ENSG00000127463.9	EMC1	protein_coding	mem_target	-0.080037340563262	-0.2011148	51.368909512761
ENSG00000197746.9	PSAP	protein_coding	mem_target	-0.0799149254454073	-0.04533103	13.0457959777078
