gene_id	Symbol	log2FoldChange.tumor.KO.WT	reg_tumor	localization_cat	loc_tar_CDS
ENSG00000046604.8	DSG2	-0.703801250305368	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000049449.4	RCN1	-0.313919469121425	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000049656.9	CLPTM1L	-0.0778460770099747	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000049860.9	HEXB	-0.904959894740418	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000050130.13	JKAMP	-0.8505549508644	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000051108.10	HERPUD1	-1.09938900917948	down_tumor	membrane	nontarget_membrane
ENSG00000051523.6	CYBA	-0.945539426884133	not_quantified	membrane	membrane_tc<1.66
ENSG00000052802.8	MSMO1	-0.889832284643914	not_quantified	membrane	nontarget_membrane
ENSG00000052841.10	TTC17	-0.952063742183092	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000054793.9	ATP9A	-1.03537987161734	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000055211.8	GINM1	0.0188033320008252	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000057252.8	SOAT1	-0.66438529870248	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000058063.11	ATP11B	-0.939654263008018	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000058262.5	SEC61A1	-0.916889277519437	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000058799.9	YIPF1	-0.494657220781325	not_quantified	membrane	nontarget_membrane
ENSG00000058804.10	NDC1	-0.33873593485461	not_quantified	membrane	nontarget_membrane
ENSG00000060656.15	PTPRU	-1.0178044374101	down_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000062716.6	VMP1	-1.17017275378025	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000064115.6	TM7SF3	0.315681663555061	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000064545.10	TMEM161A	-0.116283099714911	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000064601.12	CTSA	-0.954453463070365	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000064651.9	SLC12A2	-0.893998886043591	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000065600.8	TMEM206	-0.228069659534423	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000065665.16	SEC61A2	-0.492442672279258	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000066322.8	ELOVL1	-0.875783577773478	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000067141.12	NEO1	-0.765313434206023	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000067167.3	TRAM1	-1.29855551968624	down_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000067182.3	TNFRSF1A	-0.452324967464427	not_quantified	membrane	nontarget_membrane
ENSG00000068001.9	HYAL2	-0.855398712423833	not_quantified	membrane	nontarget_membrane
ENSG00000068650.14	ATP11A	-0.893516195083827	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000068697.6	LAPTM4A	-0.493538433914782	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000068912.9	ERLEC1	-0.776253249219043	not_quantified	membrane	membrane_tc<1.66
ENSG00000069849.6	ATP1B3	-0.296650895012985	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000070018.4	LRP6	0.014915339447141	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000070081.11	NUCB2	0.0394470165383129	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000070413.14	DGCR2	-0.902341997002743	not_quantified	membrane	nontarget_membrane
ENSG00000070961.10	ATP2B1	0.607420125244229	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000071553.12	ATP6AP1	-0.332297215632355	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000072041.12	SLC6A15	0.146604660767772	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000072042.8	RDH11	-0.232928033476405	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000072274.8	TFRC	0.179233858412706	unchanged_tumor	membrane	nontarget_membrane
ENSG00000072310.12	SREBF1	-0.793005805309144	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000072682.14	P4HA2	0.616451148683256	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000072849.6	DERL2	-0.854355541332011	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000073008.10	PVR	0.13425077475606	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000073060.11	SCARB1	-0.614648187706521	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000074695.5	LMAN1	-0.767446595554235	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000074696.8	PTPLAD1	-0.661322019160873	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000074842.3	C19orf10	-0.500507611600524	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000075790.6	BCAP29	-0.599147094171238	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000076351.8	SLC46A1	-0.0940401573133566	unchanged_tumor	membrane	nontarget_membrane
ENSG00000076706.10	MCAM	1.65040254983019	up_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000077147.10	TM9SF3	-1.13917410992652	down_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000077232.12	DNAJC10	-0.480960093393223	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000077782.15	FGFR1	1.11526062875703	up_tumor	membrane	membrane_tc<1.66
ENSG00000077942.13	FBLN1	0.146430136230967	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000078808.12	SDF4	-0.643472028070278	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000079150.13	FKBP7	-1.08482971826613	down_tumor	membrane	nontarget_membrane
ENSG00000080189.10	SLC35C2	-0.676684445126363	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000080815.14	PSEN1	-0.862655879499308	not_quantified	membrane	nontarget_membrane
ENSG00000080822.12	CLDND1	-1.24409690629636	down_tumor	membrane	nontarget_membrane
ENSG00000081087.10	OSTM1	0.0544601290705296	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000081177.14	EXD2	-0.885710574944515	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000082641.11	NFE2L1	-0.00950491763441367	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000082781.7	ITGB5	-0.340993284988593	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000082996.15	RNF13	-0.949739057073632	not_quantified	membrane	membrane_tc<1.66
ENSG00000083444.12	PLOD1	0.783017927948604	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000083454.17	P2RX5	1.25196256286852	up_tumor	membrane	nontarget_membrane
ENSG00000083857.9	FAT1	-0.238310583267843	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000084073.4	ZMPSTE24	-0.93218564312437	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000084234.12	APLP2	-0.393846440835055	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000085063.10	CD59	-0.862872222711916	not_quantified	membrane	membrane_tc<1.66
ENSG00000085365.13	SCAMP1	-1.04689491250791	down_tumor	membrane	nontarget_membrane
ENSG00000085871.4	MGST2	-0.989391523842666	not_quantified	membrane	nontarget_membrane
ENSG00000085998.9	POMGNT1	-0.0183756769937177	unchanged_tumor	membrane	nontarget_membrane
ENSG00000086062.8	B4GALT1	-0.631509524090031	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000086289.7	EPDR1	-0.336742140350772	unchanged_tumor	membrane	nontarget_membrane
ENSG00000086598.6	TMED2	-0.899430691648172	not_quantified	membrane	membrane_tc<1.66
ENSG00000086619.9	ERO1LB	0.245709449715085	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000086848.10	ALG9	-0.492173390835956	not_quantified	membrane	nontarget_membrane
ENSG00000087253.7	LPCAT2	-0.647119167152916	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000087303.12	NID2	-2.5186257071635	down_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000087502.13	ERGIC2	0.000266101489885538	unchanged_tumor	membrane	nontarget_membrane
ENSG00000088035.11	ALG6	-0.674771471332725	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000088298.8	EDEM2	-0.474891068954814	not_quantified	membrane	nontarget_membrane
ENSG00000089057.10	SLC23A2	-0.657796649569739	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000089248.6	ERP29	-0.0509077778338522	unchanged_tumor	membrane	nontarget_membrane
ENSG00000089327.10	FXYD5	-0.737370544570873	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000089597.12	GANAB	-0.5304463782119	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000090054.9	SPTLC1	0.147200080304446	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000090432.5	MUL1	-0.876102177519724	not_quantified	membrane	nontarget_membrane
ENSG00000090520.6	DNAJB11	-0.660372039980461	not_quantified	membrane	membrane_tc<1.66
ENSG00000090581.5	GNPTG	-0.40383218094867	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000090661.7	CERS4	0.601601444555237	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000090776.5	EFNB1	-1.11644206466496	down_tumor	membrane	membrane_tc<1.66
ENSG00000090863.7	GLG1	-0.664299397132136	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000090971.4	NAT14	0.577772439559778	not_quantified	membrane	nontarget_membrane
ENSG00000091129.15	NRCAM	0.0235715070405111	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000091136.9	LAMB1	-0.866593332472541	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000091317.7	CMTM6	-0.353540567408228	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000091947.5	TMEM101	0.0459329598916217	unchanged_tumor	membrane	nontarget_membrane
ENSG00000092931.7	MFSD11	0.772615238520052	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000093010.7	COMT	-0.411450118206667	not_quantified	membrane	membrane_tc<1.66
ENSG00000094975.9	SUCO	-0.768175308248006	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000095209.7	TMEM38B	-0.818506080232452	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000095739.7	BAMBI	-0.937910437939523	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000099194.5	SCD	-1.01356079470977	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000099203.2	TMED1	-0.310443329833354	unchanged_tumor	membrane	nontarget_membrane
ENSG00000099219.9	ERMP1	-0.9934383139295	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000099282.5	TSPAN15	-0.927425317783953	not_quantified	membrane	nontarget_membrane
ENSG00000099797.7	TECR	-0.629854949168649	not_quantified	membrane	membrane_tc<1.66
ENSG00000099904.11	ZDHHC8	-0.295456295541811	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000099999.10	RNF215	-0.0722723966503639	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000100196.6	KDELR3	-1.22150964378006	down_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000100219.12	XBP1	-0.983720753334014	not_quantified	membrane	membrane_tc<1.66
ENSG00000100242.11	SUN2	-0.489978344972012	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000100258.13	LMF2	-0.805954968300962	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000100263.9	RHBDD3	-0.0395037340231478	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000100321.10	SYNGR1	0.369633892917877	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000100473.11	COCH	-0.449596687482712	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000100528.7	CNIH1	-0.65981943278041	not_quantified	membrane	nontarget_membrane
ENSG00000100532.7	CGRRF1	-0.718360966427766	not_quantified	membrane	nontarget_membrane
ENSG00000100564.4	PIGH	-0.135247956895639	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000100596.2	SPTLC2	-0.176474540567745	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000100600.10	LGMN	-0.374825496633549	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000100612.9	DHRS7	-0.914637891373549	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000100926.10	TM9SF1	-0.636750502746783	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000100997.14	ABHD12	-0.756929117215502	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000101000.4	PROCR	1.11511449409355	up_tumor	membrane	membrane_tc<1.66
ENSG00000101104.8	PABPC1L	0.30829417862491	unchanged_tumor	membrane	nontarget_membrane
ENSG00000101160.9	CTSZ	-0.662417627178827	not_quantified	membrane	membrane_tc<1.66
ENSG00000101187.11	SLCO4A1	-1.60100972652078	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000101290.9	CDS2	-0.220259049607858	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000101294.12	HM13	-0.302554481105846	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000101337.11	TM9SF4	-0.859712177455131	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000101346.7	POFUT1	-0.113647786198292	unchanged_tumor	membrane	nontarget_membrane
ENSG00000101439.4	CST3	-1.43837428882273	down_tumor	membrane	membrane_tc<1.66
ENSG00000101464.6	PIGU	-0.579587940210985	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000101474.7	APMAP	-0.247066497728075	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000101856.8	PGRMC1	-0.711401921901434	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000101974.10	ATP11C	-0.723399572375748	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000102003.6	SYP	1.63245997217924	up_tumor	membrane	nontarget_membrane
ENSG00000102007.6	PLP2	-0.935712165087647	not_quantified	membrane	nontarget_membrane
ENSG00000102100.10	SLC35A2	-0.511286853239707	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000102158.15	MAGT1	-0.0203791949903752	unchanged_tumor	membrane	nontarget_membrane
ENSG00000102181.15	CD99L2	-0.143385627192306	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000102265.7	TIMP1	-1.14676201050019	down_tumor	membrane	nontarget_membrane
ENSG00000102393.5	GLA	-0.233660760281067	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000102471.9	NDFIP2	-0.825491121062459	not_quantified	membrane	membrane_tc<1.66
ENSG00000102805.9	CLN5	-0.748929276238588	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000103064.9	SLC7A6	-0.0850777218289833	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000103222.14	ABCC1	-0.124701361764912	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000103226.13	NOMO3	-0.455324906486724	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000103249.13	CLCN7	-0.412821746996261	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000103257.4	SLC7A5	-0.269478697017091	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000103335.15	PIEZO1	0.246864498415117	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000103429.6	BFAR	-0.202380873918978	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000103502.9	CDIPT	-0.761009333962543	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000103512.10	NOMO1	-0.246691036346517	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000103855.13	CD276	-0.185619790160869	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000103978.11	TMEM87A	-0.0708133637883248	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000104213.8	PDGFRL	-0.349165254566247	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000104331.4	IMPAD1	-0.667587465918345	not_quantified	membrane	membrane_tc<1.66
ENSG00000104332.7	SFRP1	0.572610083601013	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000104341.12	LAPTM4B	-0.386009526522572	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000104549.7	SQLE	-1.02042839734581	down_tumor	membrane	membrane_tc<1.66
ENSG00000104635.9	SLC39A14	-0.272841734787108	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000104660.13	LEPROTL1	-0.615758118913836	not_quantified	membrane	nontarget_membrane
ENSG00000104723.16	TUSC3	-0.315144297940449	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000104763.13	ASAH1	-1.23747146840101	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000104805.11	NUCB1	-1.43481820139619	down_tumor	membrane	membrane_tc<1.66
ENSG00000104853.11	CLPTM1	-0.515097873407966	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000104870.8	FCGRT	-0.0995069400260146	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000105135.11	ILVBL	-0.68186216132019	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000105223.14	PLD3	-0.465178935570502	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105281.8	SLC1A5	-0.185479547114956	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105290.7	APLP1	1.43776890217717	up_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000105404.6	RABAC1	-0.779575521792183	not_quantified	membrane	membrane_tc<1.66
ENSG00000105409.11	ATP1A3	2.37010478465091	up_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105426.10	PTPRS	0.423240963817636	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105429.8	MEGF8	-0.213144610006969	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105438.4	KDELR1	-0.679267823276475	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000105518.9	TMEM205	-0.315807716860841	unchanged_tumor	membrane	nontarget_membrane
ENSG00000105612.4	DNASE2	-0.274058269032231	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105677.7	TMEM147	-0.453686437209397	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000105699.12	LSR	-0.863667483142015	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105726.12	ATP13A1	-0.411935201590799	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105767.2	CADM4	-0.518237007062593	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000105854.8	PON2	-0.636502374316484	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000105976.10	MET	-0.518769257770711	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000105983.15	LMBR1	-0.819926743844352	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000106066.9	CPVL	-2.88632002463354	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000106080.6	FKBP14	0.957568733743608	not_quantified	membrane	membrane_tc<1.66
ENSG00000106397.7	PLOD3	-0.303846153797358	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000106460.14	TMEM106B	-1.21685046118662	down_tumor	membrane	membrane_tc<1.66
ENSG00000106537.7	TSPAN13	-1.63341013719881	down_tumor	membrane	membrane_tc<1.66
ENSG00000106609.12	TMEM248	-1.06282278182382	down_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000106638.11	TBL2	-0.651342892050714	not_quantified	membrane	nontarget_membrane
ENSG00000106771.8	TMEM245	0.380989966952053	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000106799.8	TGFBR1	-0.84453964550024	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000107281.5	NPDC1	-1.89469155421512	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000107331.12	ABCA2	-1.22777550109521	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000107566.9	ERLIN1	-0.234481998301696	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000107779.7	BMPR1A	0.0380552612188221	unchanged_tumor	membrane	nontarget_membrane
ENSG00000107789.11	MINPP1	-0.993485624892353	not_quantified	membrane	membrane_tc<1.66
ENSG00000107798.13	LIPA	-1.16974489663513	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000108219.10	TSPAN14	0.658797196753638	not_quantified	membrane	nontarget_membrane
ENSG00000108474.12	PIGL	-0.819999626904965	not_quantified	membrane	membrane_tc<1.66
ENSG00000108582.7	CPD	-0.82346265856953	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000108588.9	CCDC47	-0.237679243444993	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000108639.3	SYNGR2	-0.660444823131264	not_quantified	membrane	membrane_tc<1.66
ENSG00000108679.8	LGALS3BP	-1.28641570753511	down_tumor	membrane	membrane_tc<1.66
ENSG00000108784.5	NAGLU	-0.252778573563721	unchanged_tumor	membrane	nontarget_membrane
ENSG00000109016.13	DHRS7B	0.342675218007026	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000109084.9	TMEM97	-0.548759295888049	not_quantified	membrane	nontarget_membrane
ENSG00000109099.9	PMP22	-0.265067725924963	unchanged_tumor	membrane	nontarget_membrane
ENSG00000109133.8	TMEM33	-0.615635181366772	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000109180.10	OCIAD1	-0.633442064048987	not_quantified	membrane	membrane_tc<1.66
