gene_name	gene_id	annotation	tc_CDS	uniq_reads_CDS	cluster_count_CDS	tc_UTR3	uniq_reads_UTR3	cluster_count_UTR3	tc_UTR5	uniq_reads_UTR5	cluster_count_UTR5	tc_transcript	uniq_transcript	cluster_count_transcript
TM9SF2	ENSG00000125304.8	protein_coding	1660.5	2245.5	11	43.5	52.5	2	NA	NA	NA	1704	2298	13
TMEM259	ENSG00000182087.8	protein_coding	1630	2169	7	55.5	71	2	NA	NA	NA	1694.5	2251	10
TMEM30A	ENSG00000112697.11	protein_coding	504.5	761.5	4	11	17	2	125	182	1	1687	2424	10
TM9SF4	ENSG00000101337.11	protein_coding	1613.5	2165.5	15	NA	NA	NA	NA	NA	NA	1613.5	2165.5	15
CERS2	ENSG00000143418.15	protein_coding	801.5	1142	3	187.5	239	1	NA	NA	NA	1581	2320.5	8
TUBA1C	ENSG00000167553.10	protein_coding	108.5	139.5	2	NA	NA	NA	NA	NA	NA	1524	2578	3
CLSTN1	ENSG00000171603.12	protein_coding	1493	2106.5	12	16	20.5	2	NA	NA	NA	1509	2127	14
NUP210	ENSG00000132182.7	protein_coding	1426	2135	32	NA	NA	NA	NA	NA	NA	1492	2236	33
MTPN	ENSG00000105887.10	protein_coding	281.5	427	2	314.5	423.5	5	325	383	1	1466	1988	9
SCAMP3	ENSG00000116521.6	protein_coding	1437	2019	6	NA	NA	NA	NA	NA	NA	1437	2019	6
ENO1	ENSG00000074800.9	protein_coding	1224	1623	8	NA	NA	NA	NA	NA	NA	1406.5	1874.5	9
RPL18	ENSG00000063177.8	protein_coding	588.5	846.5	5	NA	NA	NA	NA	NA	NA	1404	2455.5	7
ALG3	ENSG00000214160.5	protein_coding	1387.5	1770	4	NA	NA	NA	NA	NA	NA	1387.5	1770	4
DEGS1	ENSG00000143753.8	protein_coding	1352	1786.5	1	NA	NA	NA	NA	NA	NA	1371	1812.5	2
KDELR1	ENSG00000105438.4	protein_coding	441.5	648.5	1	NA	NA	NA	NA	NA	NA	1364	2046.5	3
HSP90AB1	ENSG00000096384.15	protein_coding	1187	1660	7	76	93	1	97	120	1	1360	1873	9
TMEM205	ENSG00000105518.9	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	1344	1868.5	2
APLP2	ENSG00000084234.12	protein_coding	1058.5	1643	9	86.5	112	3	50	71	1	1338.5	2021	15
PRDX4	ENSG00000123131.8	protein_coding	1314.5	1809.5	4	NA	NA	NA	NA	NA	NA	1314.5	1809.5	4
SLC29A1	ENSG00000112759.12	protein_coding	1170	1730	6	NA	NA	NA	NA	NA	NA	1314	1941.5	8
HIST1H4E	ENSG00000198518.5	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	1280	1691	1
TMEM59	ENSG00000116209.7	protein_coding	255.5	344	2	9	11	1	113	172	3	1270	2018.5	7
HIST1H3B	ENSG00000124693.2	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	1253	1758	1
PLP2	ENSG00000269034.1	protein_coding	727.5	1259.5	3	NA	NA	NA	NA	NA	NA	1232.5	2028	4
MARCH6	ENSG00000145495.10	protein_coding	989.5	1377	14	7.5	9.5	1	NA	NA	NA	1213	1699.5	16
LAMC1	ENSG00000135862.5	protein_coding	1106.5	1646	21	93	203.5	2	NA	NA	NA	1199.5	1849.5	23
PARP1	ENSG00000143799.8	protein_coding	226	326.5	11	14	15.5	1	NA	NA	NA	1194.5	1623	13
GNB2L1	ENSG00000204628.7	protein_coding	730	1045.5	5	NA	NA	NA	NA	NA	NA	1174.5	1735.5	7
CNIH4	ENSG00000143771.7	protein_coding	1013	1512.5	3	6.5	7	1	NA	NA	NA	1173	1731	6
LAPTM4B	ENSG00000104341.12	protein_coding	1091.5	1573.5	4	NA	NA	NA	NA	NA	NA	1160	1677.5	5
KDELR2	ENSG00000136240.5	protein_coding	NA	NA	NA	NA	NA	NA	1106.5	1663.5	7	1158.5	1735	10
HSP90AA1	ENSG00000080824.14	protein_coding	473.5	616	5	30.5	42	1	316	409.5	3	1156	1498	11
ELOVL5	ENSG00000012660.9	protein_coding	1097.5	1530.5	5	38	50	5	NA	NA	NA	1135.5	1580.5	10
NID1	ENSG00000116962.10	protein_coding	1124.5	1680.5	8	NA	NA	NA	NA	NA	NA	1124.5	1680.5	8
EMC1	ENSG00000127463.9	protein_coding	1101	1535	15	6	6.5	1	NA	NA	NA	1107	1541.5	16
ATP6AP2	ENSG00000182220.9	protein_coding	938.5	1293.5	4	13.5	14	1	60.5	86.5	1	1096	1506	7
CD81	ENSG00000110651.7	protein_coding	396	576	2	NA	NA	NA	134	197	1	1090.5	1608.5	5
LMAN2	ENSG00000169223.10	protein_coding	1082.5	1818.5	7	NA	NA	NA	NA	NA	NA	1082.5	1818.5	7
SHF	ENSG00000138606.15	protein_coding	NA	NA	NA	NA	NA	NA	1071.5	1183.5	1	1071.5	1183.5	1
COL2A1	ENSG00000139219.13	protein_coding	967.5	1446.5	28	6	7.5	1	NA	NA	NA	1071	1597.5	30
LAMP1	ENSG00000185896.9	protein_coding	1052.5	1499.5	7	NA	NA	NA	2.5	9.5	1	1055	1509	8
HIST1H4H	ENSG00000158406.2	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	1053	1425	1
TSPAN3	ENSG00000140391.10	protein_coding	NA	NA	NA	11	11.5	1	568.5	788.5	4	1033	1465.5	8
WLS	ENSG00000116729.9	protein_coding	756	1097	9	5	6.5	1	NA	NA	NA	1017	1475	12
ARF1	ENSG00000143761.9	protein_coding	90.5	112.5	2	NA	NA	NA	NA	NA	NA	1009.5	1620	3
P4HB	ENSG00000185624.10	protein_coding	877.5	1266.5	6	NA	NA	NA	NA	NA	NA	1009	1494.5	7
PIGS	ENSG00000087111.16	protein_coding	945	1471	6	32.5	49.5	3	8	11	1	994	1542.5	11
SLC7A5	ENSG00000103257.4	protein_coding	971.5	1541.5	5	21	31.5	2	NA	NA	NA	992.5	1573	7
TMEM66	ENSG00000133872.9	protein_coding	939	1501.5	3	31	37.5	2	NA	NA	NA	989	1563.5	6
VCAN	ENSG00000038427.11	protein_coding	977	1355	23	8.5	10.5	1	NA	NA	NA	985.5	1365.5	24
SLC39A14	ENSG00000104635.9	protein_coding	960	1303	2	14.5	20.5	2	NA	NA	NA	974.5	1323.5	4
CKB	ENSG00000166165.8	protein_coding	652.5	1007	4	NA	NA	NA	22	28.5	1	971.5	1454.5	6
HIST1H4B	ENSG00000124529.3	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	969	1274	1
CD164	ENSG00000135535.10	protein_coding	820	1007	4	145	190.5	4	NA	NA	NA	965	1197.5	8
NCSTN	ENSG00000162736.11	protein_coding	315.5	434.5	6	NA	NA	NA	133	187.5	3	961	1409	11
SIGMAR1	ENSG00000147955.12	protein_coding	52	83	1	31	39	2	NA	NA	NA	954.5	1404.5	5
PDIA4	ENSG00000155660.6	protein_coding	942.5	1379.5	5	NA	NA	NA	NA	NA	NA	949.5	1393.5	6
TRAM1	ENSG00000067167.3	protein_coding	763	1024	6	NA	NA	NA	19.5	27.5	1	937.5	1272	9
RTN3	ENSG00000133318.9	protein_coding	727	1075.5	5	8	9	1	NA	NA	NA	933	1355.5	8
SLC7A1	ENSG00000139514.8	protein_coding	927.5	1321.5	7	2.5	7	1	NA	NA	NA	930	1328.5	8
ACTB	ENSG00000075624.9	protein_coding	803.5	1218	2	NA	NA	NA	113.5	167	1	917	1385	3
SERINC3	ENSG00000132824.9	protein_coding	705	1097.5	5	NA	NA	NA	NA	NA	NA	911	1450.5	8
HIST1H2AG	ENSG00000196787.2	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	905.5	1307	1
ITGB1	ENSG00000150093.14	protein_coding	883.5	1243	11	NA	NA	NA	NA	NA	NA	883.5	1243	11
PDIA6	ENSG00000143870.8	protein_coding	878	1214.5	10	NA	NA	NA	NA	NA	NA	878	1214.5	10
KRTCAP2	ENSG00000163463.7	protein_coding	531	671	2	NA	NA	NA	NA	NA	NA	868	1147.5	3
CPD	ENSG00000108582.7	protein_coding	838.5	1171	12	5.5	7	1	NA	NA	NA	844	1178	13
STMN1	ENSG00000117632.16	protein_coding	151	186.5	1	213.5	246	1	NA	NA	NA	843.5	1087.5	4
PRKCSH	ENSG00000130175.5	protein_coding	813	1148	7	30	44	1	NA	NA	NA	843	1192	8
PTDSS1	ENSG00000156471.8	protein_coding	351.5	528	6	3.5	6	1	NA	NA	NA	838.5	1231.5	9
SURF4	ENSG00000148248.9	protein_coding	552.5	789.5	5	NA	NA	NA	NA	NA	NA	825.5	1153.5	7
LDHB	ENSG00000111716.8	protein_coding	655.5	855	5	NA	NA	NA	53.5	74	1	824	1066	7
TMCO1	ENSG00000143183.12	protein_coding	449	621.5	2	NA	NA	NA	11	15.5	1	822	1090.5	4
LAMP2	ENSG00000005893.11	protein_coding	690.5	939	5	69	117.5	3	11.5	15.5	1	821.5	1139.5	11
MBTPS2	ENSG00000012174.7	protein_coding	795	1278.5	7	NA	NA	NA	NA	NA	NA	819	1305.5	8
BSG	ENSG00000172270.14	protein_coding	439	613	3	7.5	9.5	1	214.5	404.5	1	818	1263	7
TUBA1A	ENSG00000167552.9	protein_coding	NA	NA	NA	NA	NA	NA	8	12	1	809.5	1261.5	2
SEC61A1	ENSG00000058262.5	protein_coding	573.5	931.5	3	36.5	51	1	134	172	2	805.5	1248.5	7
GRINA	ENSG00000261721.1	protein_coding	804.5	1124.5	2	NA	NA	NA	NA	NA	NA	804.5	1124.5	2
VIM	ENSG00000026025.9	protein_coding	284	424	3	26.5	30	2	NA	NA	NA	794	1232.5	6
ABCC1	ENSG00000103222.14	protein_coding	789	1190.5	12	NA	NA	NA	NA	NA	NA	789	1190.5	12
COLGALT1	ENSG00000130309.6	protein_coding	782.5	1272.5	8	NA	NA	NA	NA	NA	NA	782.5	1272.5	8
TMED10	ENSG00000170348.4	protein_coding	759.5	1040	6	22	38	1	NA	NA	NA	781.5	1078	7
TMED2	ENSG00000086598.6	protein_coding	46	67.5	1	73	95	3	NA	NA	NA	772.5	1074	7
BCAP31	ENSG00000267977.2	protein_coding	469.5	683	4	NA	NA	NA	NA	NA	NA	768.5	1094	5
SCARB1	ENSG00000073060.11	protein_coding	678.5	966	7	12	21.5	1	3.5	5	1	763.5	1087	10
HSPA8	ENSG00000109971.9	protein_coding	738	1044.5	3	NA	NA	NA	20	26.5	1	758	1071	4
RPN2	ENSG00000118705.12	protein_coding	757.5	1121	6	NA	NA	NA	NA	NA	NA	757.5	1121	6
SLC3A2	ENSG00000168003.12	protein_coding	17	22	1	NA	NA	NA	160.5	270	3	755.5	1257	6
RPS4X	ENSG00000198034.6	protein_coding	753.5	1018.5	7	NA	NA	NA	NA	NA	NA	753.5	1018.5	7
ABCA3	ENSG00000167972.9	protein_coding	699.5	1037.5	15	24.5	34	1	23	44.5	2	747	1116	18
JAM3	ENSG00000166086.8	protein_coding	680	908	4	67	77.5	3	NA	NA	NA	747	985.5	7
PRPF8	ENSG00000174231.12	protein_coding	669.5	927	14	NA	NA	NA	NA	NA	NA	746.5	1035.5	16
TMED9	ENSG00000184840.7	protein_coding	649	854	3	53.5	71	2	NA	NA	NA	746.5	981	6
SLIT2	ENSG00000145147.15	protein_coding	745.5	1054.5	22	NA	NA	NA	NA	NA	NA	745.5	1054.5	22
APH1A	ENSG00000266334.1	protein_coding	682	957.5	3	NA	NA	NA	NA	NA	NA	742	1038	4
TXNDC5	ENSG00000239264.4	protein_coding	523.5	740.5	6	NA	NA	NA	NA	NA	NA	739	1048.5	7
HDLBP	ENSG00000115677.12	protein_coding	471	673.5	16	11.5	16	2	256	353	2	738.5	1042.5	20
SCD5	ENSG00000145284.7	protein_coding	729	1039.5	4	6.5	13	2	NA	NA	NA	735.5	1052.5	6
AGRN	ENSG00000188157.9	protein_coding	734	1067.5	18	NA	NA	NA	NA	NA	NA	734	1067.5	18
SEC63	ENSG00000025796.9	protein_coding	734	987.5	12	NA	NA	NA	NA	NA	NA	734	987.5	12
SNRPA	ENSG00000077312.4	protein_coding	201.5	281	3	NA	NA	NA	NA	NA	NA	729	1025.5	4
TUSC3	ENSG00000104723.16	protein_coding	704	890.5	5	8.5	14	1	NA	NA	NA	712.5	904.5	6
HIST1H2AH	ENSG00000184825.4	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	710.5	1035	1
NEO1	ENSG00000067141.12	protein_coding	710	980.5	18	NA	NA	NA	NA	NA	NA	710	980.5	18
RP11-1035H13.3	ENSG00000260342.2	protein_coding	89	138.5	2	22	27.5	3	3	5	1	709.5	1096	8
ALG8	ENSG00000159063.8	protein_coding	709	1016	11	NA	NA	NA	NA	NA	NA	709	1016	11
PIGT	ENSG00000124155.12	protein_coding	185.5	311	4	NA	NA	NA	175.5	271	2	699	1068.5	7
MCCC2	ENSG00000131844.11	protein_coding	NA	NA	NA	697.5	801	1	NA	NA	NA	697.5	801	1
DPAGT1	ENSG00000172269.12	protein_coding	328.5	452	2	176.5	194.5	1	191	272.5	2	696	919	5
SLC38A1	ENSG00000111371.11	protein_coding	687.5	949	8	4	7	1	NA	NA	NA	691.5	956	9
MAGT1	ENSG00000269639.1	protein_coding	608	795	4	NA	NA	NA	NA	NA	NA	670	882.5	5
PTPRF	ENSG00000142949.12	protein_coding	549	841	15	6	7	1	97.5	141.5	1	666.5	1012	18
TMEM123	ENSG00000152558.10	protein_coding	246	341.5	1	140	153.5	3	159	206	1	658	860	7
NCL	ENSG00000115053.11	protein_coding	558	819.5	8	7.5	10	1	NA	NA	NA	657.5	962.5	10
ACTG1	ENSG00000267807.2	protein_coding	54.5	71.5	1	293.5	399	2	133.5	179	1	649.5	868.5	5
TMEM209	ENSG00000146842.12	protein_coding	645.5	1063.5	7	NA	NA	NA	NA	NA	NA	645.5	1063.5	7
ATP5A1	ENSG00000152234.11	protein_coding	523.5	734.5	5	54	62.5	1	62.5	79.5	1	640	876.5	7
PTPLAD1	ENSG00000074696.8	protein_coding	601	844.5	6	38	44.5	2	NA	NA	NA	639	889	8
SLC44A2	ENSG00000129353.10	protein_coding	598	811.5	10	NA	NA	NA	NA	NA	NA	638	869.5	11
HIST1H2BD	ENSG00000158373.7	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	636	961.5	1
TMED4	ENSG00000158604.10	protein_coding	NA	NA	NA	309.5	387	4	NA	NA	NA	627.5	857.5	6
SLC39A6	ENSG00000141424.8	protein_coding	534.5	785	6	NA	NA	NA	90	138.5	2	624.5	923.5	8
PERP	ENSG00000112378.11	protein_coding	NA	NA	NA	12.5	19	1	NA	NA	NA	623.5	1002	2
FXYD5	ENSG00000089327.10	protein_coding	494	1224.5	4	NA	NA	NA	13	18	1	618	1402	6
HIST2H2BE	ENSG00000184678.8	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	613	958.5	2
POLR2A	ENSG00000181222.10	protein_coding	601	992.5	7	4.5	17	1	NA	NA	NA	605.5	1009.5	8
EXT2	ENSG00000151348.9	protein_coding	345	490.5	5	NA	NA	NA	NA	NA	NA	604.5	816	6
SYVN1	ENSG00000162298.12	protein_coding	599.5	911.5	7	NA	NA	NA	NA	NA	NA	599.5	911.5	7
B2M	ENSG00000166710.13	protein_coding	388.5	493.5	1	111	134.5	2	NA	NA	NA	597.5	768.5	4
CLU	ENSG00000120885.15	protein_coding	571	888	5	25.5	52.5	1	NA	NA	NA	596.5	940.5	6
NDUFB11	ENSG00000147123.10	protein_coding	462	774.5	2	NA	NA	NA	NA	NA	NA	591.5	970	4
SEPN1	ENSG00000162430.12	protein_coding	563.5	782.5	4	21.5	26.5	3	NA	NA	NA	585	809	7
CDH2	ENSG00000170558.4	protein_coding	565	778	8	8	10.5	1	NA	NA	NA	573	788.5	9
RNASEK-C17orf49	ENSG00000161939.14	protein_coding	6.5	14.5	1	NA	NA	NA	NA	NA	NA	572.5	799	3
SSR1	ENSG00000124783.8	protein_coding	445	688	2	20.5	29.5	4	NA	NA	NA	566	887	7
PFN1	ENSG00000108518.7	protein_coding	86	119	1	NA	NA	NA	8.5	11	2	559	836	5
NONO	ENSG00000147140.11	protein_coding	81	114	4	224.5	290.5	1	NA	NA	NA	555	735	7
TOMM20	ENSG00000173726.6	protein_coding	100	123.5	1	358	521.5	3	52	73	1	548	769	6
DNASE2	ENSG00000105612.4	protein_coding	532.5	833.5	4	8	9.5	1	NA	NA	NA	547.5	852.5	6
OAZ1	ENSG00000104904.8	protein_coding	540	670	2	7.5	11.5	1	NA	NA	NA	547.5	681.5	3
LSR	ENSG00000105699.12	protein_coding	542	841	4	NA	NA	NA	NA	NA	NA	542	841	4
PLXNB2	ENSG00000196576.10	protein_coding	542	782	13	NA	NA	NA	NA	NA	NA	542	782	13
SSR3	ENSG00000114850.2	protein_coding	416.5	581	2	NA	NA	NA	NA	NA	NA	538.5	750	4
SLC39A1	ENSG00000143570.13	protein_coding	44.5	61.5	1	85.5	122	1	NA	NA	NA	534	776	4
PRDX1	ENSG00000117450.9	protein_coding	512	840.5	3	4.5	10.5	1	NA	NA	NA	531.5	886	5
ITM2C	ENSG00000135916.11	protein_coding	431.5	676	3	99.5	146	2	NA	NA	NA	531	822	5
RPLP1	ENSG00000137818.7	protein_coding	192	265.5	2	NA	NA	NA	NA	NA	NA	531	772.5	3
Y_RNA	ENSG00000200351.1	misc_RNA	476.5	938	9	30	131.5	2	22	52.5	2	528.5	1122	13
HSPA9	ENSG00000113013.8	protein_coding	506.5	744.5	7	NA	NA	NA	NA	NA	NA	527.5	773.5	8
LMF2	ENSG00000100258.13	protein_coding	518	734	6	NA	NA	NA	NA	NA	NA	524.5	745	7
SARNP	ENSG00000205323.4	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	522	787	1
RPS14	ENSG00000164587.7	protein_coding	229.5	297.5	2	NA	NA	NA	NA	NA	NA	521.5	700	4
SCAMP2	ENSG00000140497.12	protein_coding	176	268.5	3	NA	NA	NA	NA	NA	NA	521.5	782	4
PSENEN	ENSG00000205155.3	protein_coding	73.5	115	1	NA	NA	NA	NA	NA	NA	520	1229.5	2
HIST2H2BF	ENSG00000203814.5	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	519	881	1
ADIPOR1	ENSG00000159346.8	protein_coding	94.5	134.5	2	NA	NA	NA	NA	NA	NA	517.5	720	4
CPE	ENSG00000109472.9	protein_coding	506.5	708.5	6	NA	NA	NA	NA	NA	NA	506.5	708.5	6
HIST1H4D	ENSG00000188987.2	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	505.5	757	1
CERS6	ENSG00000172292.10	protein_coding	365	493.5	6	4	6	1	NA	NA	NA	502	657	8
HIST1H1C	ENSG00000187837.2	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	501.5	732.5	1
GDF1	ENSG00000130283.7	protein_coding	NA	NA	NA	NA	NA	NA	411.5	591	3	499.5	750	4
TECR	ENSG00000099797.7	protein_coding	97	172	1	NA	NA	NA	171	250	2	497.5	769	4
ITM2B	ENSG00000136156.8	protein_coding	474	694	3	15.5	22	1	4.5	6.5	1	494	722.5	5
ATP1A3	ENSG00000105409.11	protein_coding	490.5	826.5	6	NA	NA	NA	NA	NA	NA	490.5	826.5	6
CDIPT	ENSG00000103502.9	protein_coding	467.5	691	3	NA	NA	NA	NA	NA	NA	489.5	722	5
HIST1H2BC	ENSG00000180596.7	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	489.5	744.5	1
PGRMC1	ENSG00000101856.8	protein_coding	432.5	605.5	2	27.5	36.5	3	NA	NA	NA	488.5	684	6
MBOAT7	ENSG00000273446.1	protein_coding	486	736	4	NA	NA	NA	NA	NA	NA	486	736	4
TFRC	ENSG00000072274.8	protein_coding	NA	NA	NA	335	526.5	6	53	77.5	4	484.5	754	12
ATP5G2	ENSG00000135390.13	protein_coding	200.5	263	1	NA	NA	NA	NA	NA	NA	483	690	2
GPAA1	ENSG00000197858.6	protein_coding	481.5	718	6	NA	NA	NA	NA	NA	NA	481.5	718	6
PEG10	ENSG00000242265.1	protein_coding	6.5	10.5	1	175	219	6	NA	NA	NA	481.5	639.5	8
COCH	ENSG00000100473.11	protein_coding	418.5	604.5	6	NA	NA	NA	33.5	42.5	1	476	680.5	9
TMEM194A	ENSG00000166881.5	protein_coding	475.5	653.5	6	NA	NA	NA	NA	NA	NA	475.5	653.5	6
PIGO	ENSG00000165282.9	protein_coding	472	671	9	NA	NA	NA	NA	NA	NA	472	671	9
SLC19A1	ENSG00000173638.14	protein_coding	472	838	2	NA	NA	NA	NA	NA	NA	472	838	2
COL4A2	ENSG00000134871.13	protein_coding	469	729	24	NA	NA	NA	NA	NA	NA	469	729	24
CDS2	ENSG00000101290.9	protein_coding	242.5	367.5	5	NA	NA	NA	226	361	1	468.5	728.5	6
RHBDD2	ENSG00000262744.3	protein_coding	17	28.5	1	NA	NA	NA	NA	NA	NA	468.5	736	3
SAP18	ENSG00000150459.8	protein_coding	12	18	1	NA	NA	NA	NA	NA	NA	467	799.5	2
PKM	ENSG00000067225.13	protein_coding	281.5	425.5	3	NA	NA	NA	30	43.5	1	466.5	695	5
EDIL3	ENSG00000164176.8	protein_coding	450	586.5	7	NA	NA	NA	NA	NA	NA	465.5	606	8
MEGF8	ENSG00000105429.8	protein_coding	465	711.5	18	NA	NA	NA	NA	NA	NA	465	711.5	18
SPNS1	ENSG00000169682.13	protein_coding	435.5	663	5	NA	NA	NA	NA	NA	NA	465	702	6
ZMPSTE24	ENSG00000084073.4	protein_coding	464.5	645.5	6	NA	NA	NA	NA	NA	NA	464.5	645.5	6
ATP1B3	ENSG00000069849.6	protein_coding	412.5	566	3	40	61	1	6.5	9.5	1	459	636.5	5
GAA	ENSG00000171298.8	protein_coding	457.5	726	14	NA	NA	NA	NA	NA	NA	457.5	726	14
ITFG1	ENSG00000129636.8	protein_coding	250.5	339	8	NA	NA	NA	NA	NA	NA	452.5	599.5	9
PTPRS	ENSG00000105426.10	protein_coding	452	660.5	15	NA	NA	NA	NA	NA	NA	452	660.5	15
QPCT	ENSG00000115828.11	protein_coding	448.5	609	5	NA	NA	NA	NA	NA	NA	448.5	609	5
TMX2-CTNND1	ENSG00000254462.1	protein_coding	297	429	5	8	11	1	NA	NA	NA	448	685.5	7
MORF4L1	ENSG00000185787.10	protein_coding	386.5	554.5	3	NA	NA	NA	NA	NA	NA	444	620.5	4
GABARAP	ENSG00000170296.5	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	442.5	625.5	1
POMT1	ENSG00000130714.11	protein_coding	441	624	8	NA	NA	NA	NA	NA	NA	441	624	8
RPS16	ENSG00000105193.4	protein_coding	267	311.5	1	NA	NA	NA	NA	NA	NA	440.5	543.5	2
EPHX1	ENSG00000143819.8	protein_coding	404	601.5	5	NA	NA	NA	NA	NA	NA	438.5	645	6
RBBP7	ENSG00000102054.13	protein_coding	415	551.5	7	5	7	1	NA	NA	NA	435	579	9
AMFR	ENSG00000159461.10	protein_coding	408.5	590	8	5	5.5	1	NA	NA	NA	433.5	634	10
RPL4	ENSG00000174444.10	protein_coding	288.5	390	3	NA	NA	NA	144.5	192.5	2	433	582.5	5
CD63	ENSG00000135404.7	protein_coding	330.5	461.5	3	NA	NA	NA	NA	NA	NA	432.5	606.5	5
ZDHHC9	ENSG00000188706.8	protein_coding	319.5	556	3	95	100.5	1	NA	NA	NA	432.5	679	5
NPDC1	ENSG00000107281.5	protein_coding	90	135.5	3	24	35	1	299	338.5	1	431	538.5	6
ERGIC3	ENSG00000125991.14	protein_coding	277.5	409.5	6	NA	NA	NA	NA	NA	NA	429	634	7
GLO1	ENSG00000124767.6	protein_coding	182.5	263.5	3	78	95	2	NA	NA	NA	429	582	6
CD55	ENSG00000196352.9	protein_coding	155.5	222.5	1	262.5	385	5	NA	NA	NA	427	622.5	8
SRRM2	ENSG00000167978.12	protein_coding	427	659	14	NA	NA	NA	NA	NA	NA	427	659	14
RPL23	ENSG00000125691.8	protein_coding	124.5	152	1	6.5	10	1	107	154.5	2	423	561	6
HM13	ENSG00000101294.12	protein_coding	422.5	646	8	NA	NA	NA	NA	NA	NA	422.5	646	8
